scene_id,scene_label,truth,model,temperature,run,quality_score,s1_scene,s2_proximity,s3_risk,s4_length,s5_pilot_action,detected_risk,word_count,latency_ms,input_tokens,output_tokens,cost_usd,error
1,person_near,hazard,claude,0.8,4,5,1,1,1,1,1,hazard,120,6778.8,367,190,0.003951,
1,person_near,hazard,claude,1.0,4,5,1,1,1,1,1,hazard,117,6171.0,367,176,0.003741,
1,person_near,hazard,gpt4o,0.0,4,4,1,1,0,1,1,caution,51,2968.0,292,71,0.002525,
1,person_near,hazard,gpt4o,0.2,4,4,1,1,0,1,1,caution,48,3276.1,292,66,0.00245,
1,person_near,hazard,gpt4o,0.5,4,4,1,1,0,1,1,caution,40,3889.8,292,53,0.002255,
1,person_near,hazard,gpt4o,0.8,4,4,1,1,0,1,1,caution,32,3356.2,292,49,0.002195,
1,person_near,hazard,gpt4o,1.0,4,4,1,1,0,1,1,caution,53,4628.7,292,73,0.002555,
1,person_near,hazard,gpt4o_mini,0.0,4,4,1,1,0,1,1,caution,55,2767.0,3059,75,0.000504,
1,person_near,hazard,gpt4o_mini,0.2,4,4,1,1,0,1,1,caution,55,3276.2,3059,75,0.000504,
1,person_near,hazard,gpt4o_mini,0.5,4,4,1,1,0,1,1,caution,55,2967.3,3059,75,0.000504,
1,person_near,hazard,gpt4o_mini,0.8,4,4,1,1,0,1,1,caution,55,2766.4,3059,74,0.000503,
1,person_near,hazard,gpt4o_mini,1.0,4,4,1,1,0,1,1,caution,60,2867.3,3059,80,0.000507,
1,person_near,hazard,gemini,0.0,4,5,1,1,1,1,1,hazard,70,2263.6,501,96,6.6e-05,
1,person_near,hazard,gemini,0.2,4,5,1,1,1,1,1,hazard,70,2755.6,501,96,6.6e-05,
1,person_near,hazard,gemini,0.5,4,5,1,1,1,1,1,hazard,66,2050.3,501,91,6.5e-05,
1,person_near,hazard,gemini,0.8,4,5,1,1,1,1,1,hazard,53,1690.3,501,76,6e-05,
1,person_near,hazard,gemini,1.0,4,5,1,1,1,1,1,hazard,53,3433.0,501,76,6e-05,
1,person_near,hazard,claude,0.0,5,5,1,1,1,1,1,hazard,116,6343.7,367,169,0.003636,
1,person_near,hazard,claude,0.2,5,5,1,1,1,1,1,hazard,121,6213.6,367,170,0.003651,
1,person_near,hazard,claude,0.5,5,5,1,1,1,1,1,hazard,109,5973.1,367,168,0.003621,
1,person_near,hazard,claude,0.8,5,5,1,1,1,1,1,hazard,104,7063.2,367,162,0.003531,
1,person_near,hazard,claude,1.0,5,5,1,1,1,1,1,hazard,109,6038.8,367,170,0.003651,
1,person_near,hazard,gpt4o,0.0,5,4,1,1,0,1,1,caution,43,3340.9,292,59,0.002345,
1,person_near,hazard,gpt4o,0.2,5,4,1,1,0,1,1,caution,39,3930.8,292,55,0.002285,
1,person_near,hazard,gpt4o,0.5,5,4,1,1,0,1,1,caution,43,3381.3,292,61,0.002375,
1,person_near,hazard,gpt4o,0.8,5,4,1,1,0,1,1,caution,37,2901.2,292,51,0.002225,
1,person_near,hazard,gpt4o,1.0,5,4,1,1,0,1,1,caution,41,3143.7,292,57,0.002315,
1,person_near,hazard,gpt4o_mini,0.0,5,4,1,1,0,1,1,caution,55,2781.7,3059,75,0.000504,
1,person_near,hazard,gpt4o_mini,0.2,5,4,1,1,0,1,1,caution,55,3254.7,3059,75,0.000504,
1,person_near,hazard,gpt4o_mini,0.5,5,4,1,1,0,1,1,caution,59,2719.3,3059,81,0.000507,
1,person_near,hazard,gpt4o_mini,0.8,5,4,1,1,0,1,1,caution,53,3321.1,3059,75,0.000504,
1,person_near,hazard,gpt4o_mini,1.0,5,4,1,1,0,1,1,caution,58,2662.1,3059,78,0.000506,
1,person_near,hazard,gemini,0.0,5,5,1,1,1,1,1,hazard,70,3490.7,501,96,6.6e-05,
1,person_near,hazard,gemini,0.2,5,5,1,1,1,1,1,hazard,72,2247.2,501,96,6.6e-05,
1,person_near,hazard,gemini,0.5,5,5,1,1,1,1,1,hazard,69,2292.8,501,96,6.6e-05,
1,person_near,hazard,gemini,0.8,5,5,1,1,1,1,1,hazard,55,1970.8,501,78,6.1e-05,
1,person_near,hazard,gemini,1.0,5,5,1,1,1,1,1,hazard,57,2153.8,501,80,6.2e-05,
2,wall_close,hazard,claude,0.0,1,4,1,1,0,1,1,caution,117,6120.7,297,178,0.003561,
2,wall_close,hazard,claude,0.2,1,4,1,1,0,1,1,caution,106,6527.0,297,169,0.003426,
2,wall_close,hazard,claude,0.5,1,4,1,1,0,1,1,caution,114,6349.3,297,169,0.003426,
2,wall_close,hazard,claude,0.8,1,4,1,1,0,1,1,caution,114,6761.6,297,172,0.003471,
2,wall_close,hazard,claude,1.0,1,4,1,1,0,1,1,caution,99,5731.6,297,142,0.003021,
2,wall_close,hazard,gpt4o,0.0,1,4,1,1,0,1,1,safe,35,2968.1,226,50,0.00188,
2,wall_close,hazard,gpt4o,0.2,1,4,1,1,0,1,1,safe,30,3173.8,226,43,0.001775,
2,wall_close,hazard,gpt4o,0.5,1,4,1,1,0,1,1,safe,25,2797.6,226,38,0.0017,
2,wall_close,hazard,gpt4o,0.8,1,4,1,1,0,1,1,safe,32,2938.5,226,47,0.001835,
2,wall_close,hazard,gpt4o,1.0,1,4,1,1,0,1,1,safe,32,2558.2,226,43,0.001775,
2,wall_close,hazard,gpt4o_mini,0.0,1,4,1,1,0,1,1,safe,46,2253.5,2993,61,0.000486,
2,wall_close,hazard,gpt4o_mini,0.2,1,4,1,1,0,1,1,safe,40,2485.3,2993,59,0.000484,
2,wall_close,hazard,gpt4o_mini,0.5,1,4,1,1,0,1,1,safe,35,2019.4,2993,50,0.000479,
2,wall_close,hazard,gpt4o_mini,0.8,1,4,1,1,0,1,1,safe,32,2866.5,2993,48,0.000478,
2,wall_close,hazard,gpt4o_mini,1.0,1,4,1,1,0,1,1,safe,38,1998.2,2993,54,0.000481,
2,wall_close,hazard,gemini,0.0,1,4,1,1,0,1,1,safe,36,2345.6,415,54,4.7e-05,
2,wall_close,hazard,gemini,0.2,1,4,1,1,0,1,1,safe,49,1702.5,415,67,5.1e-05,
2,wall_close,hazard,gemini,0.5,1,4,1,1,0,1,1,safe,42,2264.3,415,58,4.9e-05,
2,wall_close,hazard,gemini,0.8,1,4,1,1,0,1,1,safe,36,3203.4,415,50,4.6e-05,
2,wall_close,hazard,gemini,1.0,1,4,1,1,0,1,1,safe,37,2004.8,415,50,4.6e-05,
2,wall_close,hazard,claude,0.0,2,4,1,1,0,1,1,caution,103,6962.7,297,171,0.003456,
2,wall_close,hazard,claude,0.2,2,4,1,1,0,1,1,caution,117,7070.8,297,181,0.003606,
2,wall_close,hazard,claude,0.5,2,4,1,1,0,1,1,caution,107,6342.0,297,160,0.003291,
2,wall_close,hazard,claude,0.8,2,4,1,1,0,1,1,caution,106,5427.7,297,158,0.003261,
2,wall_close,hazard,claude,1.0,2,4,1,1,0,1,1,caution,90,6146.4,297,139,0.002976,
2,wall_close,hazard,gpt4o,0.0,2,4,1,1,0,1,1,safe,30,2433.9,226,43,0.001775,
2,wall_close,hazard,gpt4o,0.2,2,4,1,1,0,1,1,safe,35,2377.2,226,50,0.00188,
2,wall_close,hazard,gpt4o,0.5,2,4,1,1,0,1,1,safe,30,3171.9,226,44,0.00179,
2,wall_close,hazard,gpt4o,0.8,2,4,1,1,0,1,1,safe,37,2970.2,226,52,0.00191,
2,wall_close,hazard,gpt4o,1.0,2,4,1,1,0,1,1,safe,30,2694.3,226,41,0.001745,
2,wall_close,hazard,gpt4o_mini,0.0,2,4,1,1,0,1,1,safe,43,2321.3,2993,59,0.000484,
2,wall_close,hazard,gpt4o_mini,0.2,2,4,1,1,0,1,1,safe,35,1948.9,2993,48,0.000478,
2,wall_close,hazard,gpt4o_mini,0.5,2,4,1,1,0,1,1,safe,33,2117.9,2993,49,0.000478,
2,wall_close,hazard,gpt4o_mini,0.8,2,4,1,1,0,1,1,safe,29,1977.3,2993,43,0.000475,
2,wall_close,hazard,gpt4o_mini,1.0,2,4,1,1,0,1,1,safe,30,2046.8,2993,46,0.000477,
2,wall_close,hazard,gemini,0.0,2,4,1,1,0,1,1,safe,41,2168.3,415,57,4.8e-05,
2,wall_close,hazard,gemini,0.2,2,4,1,1,0,1,1,safe,42,1965.6,415,58,4.9e-05,
2,wall_close,hazard,gemini,0.5,2,4,1,1,0,1,1,safe,40,1810.9,415,56,4.8e-05,
2,wall_close,hazard,gemini,0.8,2,4,1,1,0,1,1,caution,51,1946.6,415,71,5.2e-05,
2,wall_close,hazard,gemini,1.0,2,4,1,1,0,1,1,safe,32,1532.5,415,52,4.7e-05,
2,wall_close,hazard,claude,0.0,3,4,1,1,0,1,1,caution,107,6855.2,297,170,0.003441,
2,wall_close,hazard,claude,0.2,3,4,1,1,0,1,1,caution,122,7541.7,297,178,0.003561,
2,wall_close,hazard,claude,0.5,3,4,1,1,0,1,1,caution,110,6490.6,297,166,0.003381,
2,wall_close,hazard,claude,0.8,3,4,1,1,0,1,1,caution,85,5455.2,297,132,0.002871,
2,wall_close,hazard,claude,1.0,3,4,1,1,0,1,1,caution,102,6013.2,297,164,0.003351,
2,wall_close,hazard,gpt4o,0.0,3,4,1,1,0,1,1,safe,30,3581.0,226,43,0.001775,
2,wall_close,hazard,gpt4o,0.2,3,4,1,1,0,1,1,safe,26,2867.3,226,39,0.001715,
2,wall_close,hazard,gpt4o,0.5,3,4,1,1,0,1,1,safe,27,2711.3,226,40,0.00173,
2,wall_close,hazard,gpt4o,0.8,3,4,1,1,0,1,1,safe,27,2481.5,226,41,0.001745,
2,wall_close,hazard,gpt4o,1.0,3,4,1,1,0,1,1,safe,29,2437.7,226,43,0.001775,
2,wall_close,hazard,gpt4o_mini,0.0,3,4,1,1,0,1,1,safe,46,2182.7,2993,61,0.000486,
2,wall_close,hazard,gpt4o_mini,0.2,3,4,1,1,0,1,1,safe,28,2267.8,2993,46,0.000477,
2,wall_close,hazard,gpt4o_mini,0.5,3,4,1,1,0,1,1,safe,43,1908.5,2993,60,0.000485,
2,wall_close,hazard,gpt4o_mini,0.8,3,4,1,1,0,1,1,safe,33,1983.1,2993,49,0.000478,
2,wall_close,hazard,gpt4o_mini,1.0,3,4,1,1,0,1,1,safe,30,1997.6,2993,46,0.000477,
2,wall_close,hazard,gemini,0.0,3,4,1,1,0,1,1,safe,36,3435.7,415,54,4.7e-05,
2,wall_close,hazard,gemini,0.2,3,4,1,1,0,1,1,safe,36,1846.6,415,54,4.7e-05,
2,wall_close,hazard,gemini,0.5,3,4,1,1,0,1,1,safe,44,1635.3,415,61,4.9e-05,
2,wall_close,hazard,gemini,0.8,3,4,1,1,0,1,1,safe,36,3171.1,415,49,4.6e-05,
2,wall_close,hazard,gemini,1.0,3,4,1,1,0,1,1,safe,34,2055.8,415,48,4.6e-05,
2,wall_close,hazard,claude,0.0,4,4,1,1,0,1,1,caution,98,5488.1,297,147,0.003096,
2,wall_close,hazard,claude,0.2,4,4,1,1,0,1,1,caution,109,6162.2,297,172,0.003471,
2,wall_close,hazard,claude,0.5,4,4,1,1,0,1,1,caution,103,6671.5,297,160,0.003291,
2,wall_close,hazard,claude,0.8,4,4,1,1,0,1,1,caution,110,5632.6,297,157,0.003246,
2,wall_close,hazard,claude,1.0,4,4,1,1,0,1,1,caution,108,6759.3,297,171,0.003456,
2,wall_close,hazard,gpt4o,0.0,4,4,1,1,0,1,1,safe,30,3168.6,226,43,0.001775,
2,wall_close,hazard,gpt4o,0.2,4,4,1,1,0,1,1,safe,35,2878.9,226,50,0.00188,
2,wall_close,hazard,gpt4o,0.5,4,4,1,1,0,1,1,safe,36,3628.0,226,51,0.001895,
2,wall_close,hazard,gpt4o,0.8,4,4,1,1,0,1,1,safe,32,2523.6,226,43,0.001775,
2,wall_close,hazard,gpt4o,1.0,4,4,1,1,0,1,1,safe,29,2550.6,226,43,0.001775,
2,wall_close,hazard,gpt4o_mini,0.0,4,4,1,1,0,1,1,safe,43,3166.6,2993,60,0.000485,
2,wall_close,hazard,gpt4o_mini,0.2,4,4,1,1,0,1,1,safe,35,2149.9,2993,49,0.000478,
2,wall_close,hazard,gpt4o_mini,0.5,4,4,1,1,0,1,1,safe,36,1819.5,2993,50,0.000479,
2,wall_close,hazard,gpt4o_mini,0.8,4,4,1,1,0,1,1,safe,43,1990.3,2993,58,0.000484,
2,wall_close,hazard,gpt4o_mini,1.0,4,4,1,1,0,1,1,safe,23,1899.1,2993,37,0.000471,
2,wall_close,hazard,gemini,0.0,4,4,1,1,0,1,1,safe,41,1973.2,415,57,4.8e-05,
2,wall_close,hazard,gemini,0.2,4,4,1,1,0,1,1,safe,41,1843.1,415,58,4.9e-05,
2,wall_close,hazard,gemini,0.5,4,4,1,1,0,1,1,safe,35,2049.8,415,50,4.6e-05,
2,wall_close,hazard,gemini,0.8,4,4,1,1,0,1,1,safe,33,1622.4,415,46,4.5e-05,
2,wall_close,hazard,gemini,1.0,4,4,1,1,0,1,1,safe,38,2576.3,415,51,4.6e-05,
2,wall_close,hazard,claude,0.0,5,5,1,1,1,1,1,hazard,114,6551.5,297,166,0.003381,
2,wall_close,hazard,claude,0.2,5,4,1,1,0,1,1,caution,110,6348.7,297,159,0.003276,
2,wall_close,hazard,claude,0.5,5,5,1,1,1,1,1,hazard,105,6554.0,297,166,0.003381,
2,wall_close,hazard,claude,0.8,5,4,1,1,0,1,1,caution,109,6448.8,297,162,0.003321,
2,wall_close,hazard,claude,1.0,5,5,1,1,1,1,1,hazard,102,5981.0,297,156,0.003231,
2,wall_close,hazard,gpt4o,0.0,5,4,1,1,0,1,1,safe,30,2414.8,226,43,0.001775,
2,wall_close,hazard,gpt4o,0.2,5,4,1,1,0,1,1,safe,26,2460.1,226,39,0.001715,
2,wall_close,hazard,gpt4o,0.5,5,4,1,1,0,1,1,safe,26,2482.9,226,39,0.001715,
2,wall_close,hazard,gpt4o,0.8,5,4,1,1,0,1,1,safe,29,2758.0,226,40,0.00173,
2,wall_close,hazard,gpt4o,1.0,5,4,1,1,0,1,1,safe,29,2689.3,226,42,0.00176,
2,wall_close,hazard,gpt4o_mini,0.0,5,4,1,1,0,1,1,safe,46,2320.3,2993,61,0.000486,
2,wall_close,hazard,gpt4o_mini,0.2,5,4,1,1,0,1,1,safe,39,2469.6,2993,54,0.000481,
2,wall_close,hazard,gpt4o_mini,0.5,5,4,1,1,0,1,1,safe,27,1685.7,2993,40,0.000473,
2,wall_close,hazard,gpt4o_mini,0.8,5,4,1,1,0,1,1,safe,34,2282.9,2993,50,0.000479,
2,wall_close,hazard,gpt4o_mini,1.0,5,4,1,1,0,1,1,safe,28,2284.6,2993,42,0.000474,
2,wall_close,hazard,gemini,0.0,5,4,1,1,0,1,1,safe,41,2436.6,415,57,4.8e-05,
2,wall_close,hazard,gemini,0.2,5,4,1,1,0,1,1,safe,38,3780.0,415,54,4.7e-05,
2,wall_close,hazard,gemini,0.5,5,4,1,1,0,1,1,safe,48,2047.1,415,62,5e-05,
2,wall_close,hazard,gemini,0.8,5,4,1,1,0,1,1,safe,33,4105.2,415,52,4.7e-05,
2,wall_close,hazard,gemini,1.0,5,4,1,1,0,1,1,safe,28,2245.8,415,41,4.3e-05,
3,object_table,safe,claude,0.0,1,4,1,1,0,1,1,caution,102,5961.1,297,147,0.003096,
3,object_table,safe,claude,0.2,1,4,1,1,0,1,1,caution,120,6455.7,297,164,0.003351,
3,object_table,safe,claude,0.5,1,4,1,1,0,1,1,caution,118,6366.4,297,169,0.003426,
3,object_table,safe,claude,0.8,1,4,1,1,0,1,1,caution,117,6493.1,297,161,0.003306,
3,object_table,safe,claude,1.0,1,4,1,1,0,1,1,hazard,114,6285.0,297,163,0.003336,
3,object_table,safe,gpt4o,0.0,1,5,1,1,1,1,1,safe,44,3274.6,226,59,0.002015,
3,object_table,safe,gpt4o,0.2,1,5,1,1,1,1,1,safe,48,3401.3,226,61,0.002045,
3,object_table,safe,gpt4o,0.5,1,5,1,1,1,1,1,safe,50,3616.6,226,66,0.00212,
3,object_table,safe,gpt4o,0.8,1,5,1,1,1,1,1,safe,50,3835.5,226,65,0.002105,
3,object_table,safe,gpt4o,1.0,1,5,1,1,1,1,1,safe,42,2866.8,226,55,0.001955,
3,object_table,safe,gpt4o_mini,0.0,1,5,1,1,1,1,1,safe,62,3175.0,2993,79,0.000496,
3,object_table,safe,gpt4o_mini,0.2,1,5,1,1,1,1,1,safe,56,2866.4,2993,71,0.000492,
3,object_table,safe,gpt4o_mini,0.5,1,5,1,1,1,1,1,safe,55,2239.5,2993,70,0.000491,
3,object_table,safe,gpt4o_mini,0.8,1,5,1,1,1,1,1,safe,55,2581.3,2993,75,0.000494,
3,object_table,safe,gpt4o_mini,1.0,1,5,1,1,1,1,1,safe,62,2654.5,2993,81,0.000498,
3,object_table,safe,gemini,0.0,1,4,1,1,0,1,1,caution,49,2767.5,415,66,5.1e-05,
3,object_table,safe,gemini,0.2,1,4,1,1,0,1,1,caution,47,2255.6,415,63,5e-05,
3,object_table,safe,gemini,0.5,1,4,1,1,0,1,1,caution,48,2146.0,415,63,5e-05,
3,object_table,safe,gemini,0.8,1,4,1,1,0,1,1,caution,46,2058.5,415,61,4.9e-05,
3,object_table,safe,gemini,1.0,1,4,1,1,0,1,1,caution,45,2458.2,415,61,4.9e-05,
3,object_table,safe,claude,0.0,2,4,1,1,0,1,1,caution,108,5380.2,297,153,0.003186,
3,object_table,safe,claude,0.2,2,4,1,1,0,1,1,caution,109,6058.9,297,156,0.003231,
3,object_table,safe,claude,0.5,2,4,1,1,0,1,1,hazard,118,5957.8,297,165,0.003366,
3,object_table,safe,claude,0.8,2,4,1,1,0,1,1,caution,98,6349.7,297,147,0.003096,
3,object_table,safe,claude,1.0,2,4,1,1,0,1,1,caution,111,6143.2,297,154,0.003201,
3,object_table,safe,gpt4o,0.0,2,5,1,1,1,1,1,safe,44,3273.9,226,59,0.002015,
3,object_table,safe,gpt4o,0.2,2,5,1,1,1,1,1,safe,44,3380.3,226,59,0.002015,
3,object_table,safe,gpt4o,0.5,2,5,1,1,1,1,1,safe,48,3689.2,226,64,0.00209,
3,object_table,safe,gpt4o,0.8,2,5,1,1,1,1,1,safe,43,2657.5,226,59,0.002015,
3,object_table,safe,gpt4o,1.0,2,5,1,1,1,1,1,safe,41,2763.3,226,54,0.00194,
3,object_table,safe,gpt4o_mini,0.0,2,5,1,1,1,1,1,safe,62,2576.4,2993,78,0.000496,
3,object_table,safe,gpt4o_mini,0.2,2,5,1,1,1,1,1,safe,56,2546.2,2993,71,0.000492,
3,object_table,safe,gpt4o_mini,0.5,2,5,1,1,1,1,1,safe,55,2763.9,2993,70,0.000491,
3,object_table,safe,gpt4o_mini,0.8,2,5,1,1,1,1,1,safe,55,2866.4,2993,73,0.000493,
3,object_table,safe,gpt4o_mini,1.0,2,5,1,1,1,1,1,safe,43,2166.4,2993,59,0.000484,
3,object_table,safe,gemini,0.0,2,4,1,1,0,1,1,caution,52,3570.4,415,72,5.3e-05,
3,object_table,safe,gemini,0.2,2,4,1,1,0,1,1,caution,43,2362.3,415,62,5e-05,
3,object_table,safe,gemini,0.5,2,4,1,1,0,1,1,caution,48,2052.7,415,67,5.1e-05,
3,object_table,safe,gemini,0.8,2,4,1,1,0,1,1,caution,57,2041.5,415,76,5.4e-05,
3,object_table,safe,gemini,1.0,2,4,1,1,0,1,1,hazard,59,2048.8,415,77,5.4e-05,
3,object_table,safe,claude,0.0,3,4,1,1,0,1,1,caution,108,5792.8,297,153,0.003186,
3,object_table,safe,claude,0.2,3,4,1,1,0,1,1,caution,108,5892.0,297,151,0.003156,
3,object_table,safe,claude,0.5,3,4,1,1,0,1,1,caution,111,5896.4,297,162,0.003321,
3,object_table,safe,claude,0.8,3,4,1,1,0,1,1,caution,107,5975.0,297,158,0.003261,
3,object_table,safe,claude,1.0,3,4,1,1,0,1,1,caution,125,6643.4,297,173,0.003486,
3,object_table,safe,gpt4o,0.0,3,5,1,1,1,1,1,safe,44,3333.0,226,59,0.002015,
3,object_table,safe,gpt4o,0.2,3,5,1,1,1,1,1,safe,45,3079.6,226,60,0.00203,
3,object_table,safe,gpt4o,0.5,3,5,1,1,1,1,1,safe,50,3518.1,226,64,0.00209,
3,object_table,safe,gpt4o,0.8,3,5,1,1,1,1,1,safe,47,3175.4,226,60,0.00203,
3,object_table,safe,gpt4o,1.0,3,5,1,1,1,1,1,safe,41,3685.3,226,55,0.001955,
3,object_table,safe,gpt4o_mini,0.0,3,5,1,1,1,1,1,safe,53,2764.5,2993,67,0.000489,
3,object_table,safe,gpt4o_mini,0.2,3,5,1,1,1,1,1,safe,56,2568.2,2993,72,0.000492,
3,object_table,safe,gpt4o_mini,0.5,3,5,1,1,1,1,1,safe,65,2607.4,2993,85,0.0005,
