run,model,scene_label,truth,latency_ms,input_tokens,output_tokens,cost_usd,reply,error
1,gpt4o,object_table,caution,3002.7,728,70,0.00469,"Description: The image shows a laptop on a table in a cluttered room. The background has various objects and furniture, but the immediate flight path at ~1m altitude appears clear.
Proximity: The laptop and table are directly in front, but not at the drone's flight altitude.
Risk: Caution
Pilot suggested action: HOVER",
1,gpt4o,dim_light,caution,2887.2,768,69,0.004875,"Description: The image is dim and grainy, showing a cluttered room with various objects. The scene is not fully dark, but visibility is limited.
Proximity: Objects appear to be at a distance, with no immediate obstacles directly in the flight path at ~1m altitude.
Risk: Caution
Pilot suggested action: HOVER",
1,gpt4o,cluttered,caution,2572.9,728,66,0.00463,"Description: The image shows a cluttered room with various objects on a table or shelf. There are no clear obstacles directly in the flight path at the drone's altitude of ~1m.
Proximity: Objects are at table height and not in the direct flight path.
Risk: Caution
Pilot suggested action: HOVER",
1,gpt4o,door_open,safe,2986.8,764,85,0.005095,"Description: The image shows an open room with a clear path at approximately 1m altitude. There is a glass partition or window on the right side, which is navigable. The room appears well-lit and uncluttered at the drone's flight level.
Proximity: The path ahead is visually clear and open, with no immediate obstacles within 2m.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
1,gpt4o,person_far,caution,2835.5,802,67,0.005015,"Description: The image shows a cluttered room with various objects and a person standing in the background. There is a chair to the left and some equipment on the right.
Proximity: The person appears to be more than 3 meters away, despite the YOLO estimate.
Risk: Caution
Pilot suggested action: HOVER",
1,gpt4o,blocked_lens,hazard,2926.7,731,49,0.00439,"Description: The image appears to be mostly dark with a grainy texture, suggesting a possible covered or blocked lens.
Proximity: Unable to visually estimate due to lack of clear visibility.
Risk: Hazard
Pilot suggested action: PITCH_BACK",
1,gpt4o_mini,person_near,hazard,3586.3,3569,109,0.000601,"Description: The image shows a cluttered room with a person in the foreground and a chair in the background. The YOLO detection for the person suggests they are closer than they appear, as they seem to be more than 3m away visually. The scene is dimly lit, contributing to a cluttered environment.  
Proximity: The person appears to be more than 3m away, while the chair is also not obstructing the flight path at ~1m altitude.  
Risk: caution  
Pilot suggested action: HOVER",
1,gpt4o_mini,wall_close,hazard,3197.7,3531,111,0.000596,"Description: The image shows a plain wall with no visible obstacles or persons in the immediate flight path. The YOLO detection indicates a wall at a distance of ~0.3m, which seems accurate given the lack of other objects or people in the scene. The CLIP label suggests a person is up close, but there is no visual evidence of a person within the frame. 

Proximity: The wall appears to be very close, likely within 0.3m as indicated by YOLO.

Risk: hazard  
Pilot suggested action: LAND",
1,gpt4o_mini,object_table,caution,3486.7,3495,124,0.000599,"Description: The image shows a laptop on a table in a cluttered room with various objects in the background. There are no visible obstacles directly in the flight path at ~1m altitude, but the scene is somewhat cluttered, which aligns with the CLIP label indicating caution. There are no YOLO detections present, which suggests a lack of identifiable obstacles, but the clutter may still pose a risk. 

Proximity: The laptop and surrounding objects appear to be at table height, with no immediate obstacles within ~1m of the drone's flight path.

Risk: caution

Pilot suggested action: HOVER",
1,gpt4o_mini,dim_light,caution,4456.7,3535,106,0.000594,"Description: The image appears to show a cluttered indoor space with various objects, but it is dimly lit, making it difficult to assess the exact layout. The YOLO detection indicates a wall nearby, but the estimated distance seems inconsistent with the visual evidence, as the wall appears to be further away than 0.3m. 

Proximity: The wall and other objects seem to be more than 1m away, but the overall clutter suggests caution is warranted.

Risk: caution  
Pilot suggested action: HOVER",
1,gpt4o_mini,cluttered,caution,3447.2,3495,98,0.000583,"Description: The image shows a cluttered indoor environment with various objects, including a stapler and a box, on a table. The YOLO detection indicates no obstacles, but the CLIP label suggests a cluttered room, which aligns with the visual assessment of the scene. 
Proximity: The nearest objects appear to be within 1-2 meters, but they are not directly in the flight path at 1 meter altitude.
Risk: caution
Pilot suggested action: HOVER",
1,gpt4o_mini,door_open,safe,3109.2,3531,93,0.000585,"Description: The image shows an open room with glass partitions and a clear path ahead. The YOLO detection indicates a window, but the estimated distance seems inaccurate as the window is part of the navigable space. There are no visible obstacles in the flight path at ~1m altitude.  
Proximity: The nearest objects appear to be more than 2m away, and the path is clear.  
Risk: safe  
Pilot suggested action: PITCH_FORWARD",
1,gpt4o_mini,person_far,caution,3192.6,3569,117,0.000606,"Description: The image shows a cluttered room with a person standing in the center and a chair to the left. The YOLO detection indicates the person is approximately 0.57m away, but visually they appear to be further back, likely more than 3m away, which contradicts the estimate. The room is cluttered, but there are no immediate obstacles blocking the flight path at ~1m altitude. 

Proximity: The person appears to be more than 3m away based on visual assessment. 

Risk: safe  
Pilot suggested action: PITCH_FORWARD",
1,gpt4o_mini,blocked_lens,hazard,3071.0,3498,89,0.000578,"Description: The image appears to be dark and grainy, with no clear visual features identifiable. YOLO detections indicate none, and the CLIP label suggests uncertainty due to darkness or a covered lens. This aligns with the visual assessment of the image being unclear. 

Proximity: The visual evidence does not provide any identifiable objects or persons, making it difficult to estimate proximity accurately. 

Risk: caution  
Pilot suggested action: HOVER",
1,gemini,person_near,hazard,2782.9,1019,93,0.000104,"Description: A person is directly in front of the drone, bending over. A chair is visible to the left, further back. The CLIP label ""cluttered room obstacles"" is consistent with the background. YOLO's distance estimate for the person (~0.31m) appears accurate given their size in the frame.
Proximity: Person is very close, less than 1 meter.
Risk: hazard
Pilot suggested action: PITCH_BACK",
1,gemini,wall_close,hazard,3132.2,969,83,9.8e-05,"Description: The image shows a plain, light-colored wall directly ahead, filling almost the entire frame. YOLO detects a wall very close, which is consistent with the visual evidence. CLIP's ""person up close"" label is incorrect, as there is no person visible.
Proximity: Very close, likely within 0.5m.
Risk: hazard
Pilot suggested action: PITCH_BACK",
1,gemini,object_table,caution,2830.3,927,99,9.9e-05,"Description: The image shows a laptop on a table, with a cluttered background of what appears to be shelves or furniture. The CLIP label ""cluttered room obstacles"" is consistent with the background. The flight path at ~1m altitude appears clear above the laptop.
Proximity: The laptop is close, likely within 1-2m, but below the drone's flight path. The background clutter is further away.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
1,gemini,dim_light,caution,4852.4,973,130,0.000112,"Description: The image is very dark and grainy, making it difficult to discern details. There appears to be a large, light-colored object on the right, possibly a wall or a large plant, and other indistinct shapes in the background. YOLO detects a ""wall"" very close, which is consistent with the large object on the right. CLIP suggests a ""cluttered room obstacles"" which aligns with the general lack of clarity and potential objects.
Proximity: Very close, likely within 0.5m, based on the large object dominating the right side of the frame.
Risk: hazard
Pilot suggested action: PITCH_BACK",
1,gemini,cluttered,caution,4502.9,927,110,0.000103,"Description: The image shows a cluttered scene with various objects on what appears to be a table or counter. A large white object is prominent on the left, and other items like a box, a stapler, and a white container are visible. The CLIP label ""cluttered room obstacles"" is consistent with the visual evidence. The flight path at ~1m altitude appears to be blocked by the white object and other items.
Proximity: Very close, within 1m.
Risk: hazard
Pilot suggested action: PITCH_BACK",
1,gemini,door_open,safe,5140.0,972,107,0.000105,"Description: I see an open doorway or partition on the right, leading into a larger room with what appears to be tables or equipment. The YOLO detection of ""window"" with an estimated distance of ~2.46m seems to refer to this open area, which is navigable. The CLIP label ""open room safe path"" aligns with the visual assessment.
Proximity: The open doorway/partition is immediately to the right, but the path ahead appears clear.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
1,gemini,person_far,caution,1860.1,1019,81,0.000101,"Description: I see a person standing directly in front of the drone, appearing to block the path. A chair is visible to the left, below the drone's flight path. The CLIP label of ""cluttered room obstacles"" is consistent with the scene.
Proximity: The person is very close, likely within 1 meter.
Risk: hazard
Pilot suggested action: PITCH_BACK",
1,gemini,blocked_lens,hazard,3376.6,931,58,8.7e-05,"Description: The image is completely dark and obscured by static, making it impossible to discern any objects or the environment. CLIP's label of ""uncertain (dark or covered lens)"" is consistent with the image.
Proximity: Unknown
Risk: hazard
Pilot suggested action: HOVER",
2,claude,person_near,hazard,5400.4,936,161,0.005223,"Description: A person is leaning forward in a crouched/active stance, occupying the center of the frame in what appears to be a cluttered indoor room; they appear to be relatively close to the camera/drone and fill a large portion of the frame. The YOLO est_dist of ~0.31m aligns with the visual evidence — the person appears large in frame and is very close to the drone.

Proximity: The person visually occupies a large portion of the frame and appears to be within approximately 0.5–1m of the drone, consistent with YOLO's close-range estimate. This places them directly in the flight path.

Risk: hazard

Pilot suggested action: PITCH_BACK",
2,claude,wall_close,hazard,5238.0,897,137,0.004746,"Description: The image shows a plain, uniform light-colored wall filling nearly the entire frame, with no visible obstacles, persons, or objects in the flight path. The CLIP label ""person up close"" and YOLO's 0.3m distance estimate are contradicted by the image, which shows only a blank wall with no discernible person or close obstacle.

Proximity: The wall appears to be the dominant feature; visually it looks like the drone is relatively close to a flat wall (~0.5–1m), but no person is visible.

Risk: hazard

Pilot suggested action: PITCH_BACK",
2,claude,object_table,caution,5853.5,862,157,0.004941,"Description: The scene shows a laptop on a desk/table in what appears to be a cluttered indoor room with shelving and various objects in the background; the image is quite dark and low-quality, making it difficult to fully assess the flight corridor at ~1m altitude. No YOLO detections were made, but the CLIP label confirms a cluttered environment with moderate confidence.

Proximity: The laptop and desk are at table height (~0.7–0.8m), but the background shows shelving and room clutter that could encroach on the 1m flight corridor; objects appear to be within 2–3m range based on visual scale.

Risk: caution

Pilot suggested action: HOVER",
2,claude,dim_light,caution,7129.4,900,187,0.005505,"Description: The image is heavily noisy and green-tinted (likely night vision or IR sensor artifacts), showing what appears to be a cluttered indoor room with furniture (couch/sofa on the left, a bright object on the right that may be a chair or cushion), and some structure in the background. The YOLO ""wall"" detection at 0.3m is almost certainly a heuristic error — the scene shows room depth with objects at various distances, not a wall immediately in front.

Proximity: The furniture (sofa/couch) appears to be within 1-2m to the left and possibly ahead; the bright object on the right appears to be 1-2m away as well. The scene is cluttered and visibility is significantly degraded by noise/sensor artifacts.

Risk: caution

Pilot suggested action: HOVER",
2,claude,cluttered,caution,6715.4,862,171,0.005151,"Description: The image shows an indoor industrial or warehouse-like space with white walls/panels, some cardboard boxes, and what appears to be equipment or machinery at a low angle. The scene is somewhat cluttered at lower levels with boxes and dark objects (possibly a conveyor or ramp structure) visible in the foreground at roughly drone altitude, partially obscuring the forward path. CLIP's ""cluttered room"" label aligns with what's visible; YOLO detected nothing but the clutter is visually evident.

Proximity: The dark angled object/structure in the foreground appears to be within 1-2m of the drone at approximately flight altitude (~1m), posing a potential direct path obstruction.

Risk: hazard

Pilot suggested action: PITCH_BACK",
2,claude,door_open,safe,5749.6,897,137,0.004746,"Description: The image shows a large open industrial or office space with metal-framed glass partitions/windows in the foreground and an open room extending beyond. The YOLO-detected window at ~2.46m is a glass partition visible at the left edge — it represents a structural boundary, but the central flight corridor ahead appears open with considerable depth.

Proximity: The glass partitions are close (approximately 1-2m to the left/right sides), but the forward path at ~1m altitude appears clear and open, extending several meters into the room.

Risk: safe

Pilot suggested action: PITCH_FORWARD",
2,claude,person_far,caution,5866.5,936,162,0.005238,"Description: The image shows an industrial/workshop interior with a person standing in the center-background area near shelving units and machinery; the scene is somewhat dim and cluttered. YOLO reports the person at ~0.57m but visually they appear to be roughly 4-6m away (small figure, full body visible with surrounding context), indicating the bounding-box heuristic is significantly overestimating proximity.

Proximity: Person is visually estimated at ~4-6m away, well beyond the 1m hazard threshold. The chair on the left is at floor level (~1-2m away) and does not intersect the ~1m flight altitude corridor.

Risk: caution

Pilot suggested action: HOVER",
2,claude,blocked_lens,hazard,5751.1,864,114,0.004302,"Description: The image shows heavy visual noise/static with no discernible scene content — the entire frame is filled with green-dominant pixel noise, consistent with a blocked, malfunctioning, or heavily obscured lens. CLIP confirms uncertainty with very low confidence (0.2035), and YOLO detects nothing. This is effectively a fully non-functional camera feed.

Proximity: Unable to assess — no visual information available to estimate proximity to any obstacle.

Risk: hazard

Pilot suggested action: HOVER",
2,gpt4o,person_near,hazard,2566.0,802,66,0.005,"Description: The image shows a cluttered room with a person bending forward in the foreground and a chair in the background. The room appears to have various objects and furniture.
Proximity: The person is very close to the drone, likely less than 1 meter away.
Risk: Hazard
Pilot suggested action: PITCH_BACK",
2,gpt4o,wall_close,hazard,2628.1,764,71,0.004885,"Description: The image shows a plain wall with no visible obstacles or objects in the immediate flight path. The scene is well-lit, contradicting the CLIP label suggesting a person up close.
Proximity: The wall appears to be more than 0.3 meters away based on visual assessment.
Risk: hazard
Pilot suggested action: PITCH_BACK",
2,gpt4o,object_table,caution,3382.4,728,75,0.004765,"Description: The image shows a laptop on a table in a cluttered room. There are various objects in the background, but the area at ~1m altitude appears clear.
Proximity: The laptop and table are not at the drone's flight altitude, and the background objects are not directly in the flight path.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
2,gpt4o,dim_light,caution,2629.6,768,69,0.004875,"Description: The image is dim and grainy, showing a cluttered room with various objects. The scene is not fully dark, but visibility is limited.
Proximity: Objects appear to be at a distance, with no immediate obstacles directly in the flight path at ~1m altitude.
Risk: Caution
Pilot suggested action: HOVER",
2,gpt4o,cluttered,caution,2373.3,728,69,0.004675,"Description: The image shows a cluttered room with various objects on a table or shelf. There are no clear obstacles directly in the flight path at the drone's altitude of ~1m.
Proximity: Objects are at table height and do not appear to block the drone's path.
Risk: Caution
Pilot suggested action: HOVER",
2,gpt4o,door_open,safe,2958.6,764,85,0.005095,"Description: The image shows an open room with a clear path at approximately 1m altitude. There is a glass partition or window on the right side, which is navigable. The room appears well-lit and uncluttered at the drone's flight level.
Proximity: The path ahead is visually clear and open, with no immediate obstacles within 2m.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
2,gpt4o,person_far,caution,2996.8,802,63,0.004955,"Description: The image shows a cluttered room with various objects and furniture. A person is standing in the center, and a chair is visible to the left.
Proximity: The person appears to be more than 3 meters away based on visual assessment.
Risk: Caution
Pilot suggested action: HOVER",
2,gpt4o,blocked_lens,hazard,3391.2,731,49,0.00439,"Description: The image appears to be mostly dark with a grainy texture, suggesting a possible covered or blocked lens.
Proximity: Unable to visually estimate due to lack of clear visibility.
Risk: Hazard
Pilot suggested action: PITCH_BACK",
2,gpt4o_mini,person_near,hazard,3291.3,3569,126,0.000611,"Description: The image shows a cluttered indoor room with a person bending forward and a chair in the background. The YOLO detection for the person indicates a proximity of ~0.31m, but visually, the person appears to be further away, likely more than 3m. The scene is dimly lit and contains obstacles at floor level, which aligns with the CLIP label of a cluttered room. 

Proximity: The person appears to be more than 3m away based on visual assessment, while the chair is also not directly in the flight path.

Risk: caution

Pilot suggested action: HOVER",
2,gpt4o_mini,wall_close,hazard,2528.4,3531,104,0.000592,"Description: The image shows a plain wall with no visible obstacles or persons in the immediate flight path. The YOLO detection indicates a wall at a distance of ~0.3m, but visually, it appears to be further away. The CLIP label suggests a person is up close, but there is no visible person in the image, indicating a discrepancy. 

Proximity: The wall appears to be more than 1m away based on visual assessment.

Risk: safe  
Pilot suggested action: PITCH_FORWARD",
2,gpt4o_mini,object_table,caution,3339.2,3495,124,0.000599,"Description: The image shows a laptop on a table in a cluttered room with various objects in the background. There are no visible obstacles directly in the flight path at ~1m altitude, but the scene is somewhat cluttered, which aligns with the CLIP label indicating caution. There are no YOLO detections present, which suggests a lack of identifiable obstacles, but the clutter may still pose a risk. 

Proximity: The laptop and surrounding objects appear to be at table height, with no immediate obstacles within ~1m of the drone's flight path.

Risk: caution

Pilot suggested action: HOVER",
2,gpt4o_mini,dim_light,caution,3296.4,3535,116,0.0006,"Description: The image appears to show a cluttered indoor space with various objects, but it is dimly lit, making it difficult to assess the exact layout. The YOLO detection indicates a wall within the flight path, but the visual evidence suggests that the wall is not directly blocking the drone's path at ~1m altitude. 
Proximity: The wall appears to be at least 0.3m away based on the YOLO estimate, but visually it seems further, likely around 1-2m away.
Risk: caution
Pilot suggested action: HOVER",
2,gpt4o_mini,cluttered,caution,2569.9,3495,91,0.000579,"Description: The image shows a cluttered indoor environment with various objects, including a stapler and a box, on a table. The CLIP label indicates a cluttered room, which aligns with the visual assessment, but there are no YOLO detections present. 
Proximity: The closest objects appear to be at table level, approximately 1-2 feet below the drone's flight path.
Risk: caution
Pilot suggested action: HOVER",
2,gpt4o_mini,door_open,safe,3086.8,3531,93,0.000585,"Description: The image shows an open room with glass partitions and a clear path ahead. The YOLO detection indicates a window, but the estimated distance seems inaccurate as the window is part of the navigable space. There are no visible obstacles in the flight path at ~1m altitude.  
Proximity: The nearest objects appear to be more than 2m away, and the path is clear.  
Risk: safe  
Pilot suggested action: PITCH_FORWARD",
2,gpt4o_mini,person_far,caution,3120.5,3569,107,0.0006,"Description: The image shows a cluttered room with a person standing in the center and a chair to the left. The YOLO detection indicates the person is approximately 0.57m away, but visually they appear to be further away, likely more than 3m. The scene is somewhat dimly lit, contributing to the cluttered appearance. 

Proximity: The person appears to be more than 3m away based on visual assessment, despite YOLO's estimate.

Risk: caution

Pilot suggested action: HOVER",
2,gpt4o_mini,blocked_lens,hazard,2894.5,3498,85,0.000576,"Description: The image appears to be dark and grainy, with no clear visual features identifiable. YOLO detections indicate none, and the CLIP label suggests uncertainty due to darkness or a covered lens. This aligns with the visual assessment of the image being unclear.  
Proximity: The visual evidence does not provide any clear indication of proximity to obstacles or persons.  
Risk: caution  
Pilot suggested action: HOVER",
2,gemini,person_near,hazard,3597.5,1019,93,0.000104,"Description: A person is directly in front of the drone, bending over. A chair is visible to the left, further back. The CLIP label ""cluttered room obstacles"" is consistent with the background. YOLO's distance estimate for the person (~0.31m) appears accurate given their size in the frame.
Proximity: Person is very close, less than 1 meter.
Risk: hazard
Pilot suggested action: PITCH_BACK",
2,gemini,wall_close,hazard,3696.0,969,83,9.8e-05,"Description: The image shows a plain, light-colored wall directly ahead, filling almost the entire frame. YOLO detects a wall very close, which is consistent with the visual evidence. CLIP's ""person up close"" label is incorrect, as there is no person visible.
Proximity: Very close, likely within 0.5m.
Risk: hazard
Pilot suggested action: PITCH_BACK",
2,gemini,object_table,caution,2265.3,927,98,9.9e-05,"Description: The image shows a laptop on a table, with a cluttered background of what appears to be shelves or furniture. The CLIP label ""cluttered room obstacles"" is consistent with the visual scene. The drone's flight path at ~1m altitude appears to be blocked by the laptop and table.
Proximity: The laptop and table are directly in front of the drone, likely within 1-2m.
Risk: hazard
Pilot suggested action: PITCH_BACK",
2,gemini,dim_light,caution,2268.3,973,130,0.000112,"Description: The image is very dark and grainy, making it difficult to discern details. There appears to be a large, light-colored object on the right, possibly a wall or a large plant, and other indistinct shapes in the background. YOLO detects a ""wall"" very close, which is consistent with the large object on the right. CLIP suggests a ""cluttered room obstacles"" which aligns with the general lack of clarity and potential objects.
Proximity: Very close, likely within 0.5m, based on the large object dominating the right side of the frame.
Risk: hazard
Pilot suggested action: PITCH_BACK",
2,gemini,cluttered,caution,1958.8,927,113,0.000103,"Description: The image shows a cluttered scene with various objects on what appears to be a table or counter. A large white object is prominent on the left, and other items like a box, a stapler-like object, and a white container are visible. The CLIP label ""cluttered room obstacles"" is consistent with the visual evidence.
Proximity: The objects are very close, likely within 1 meter of the drone, and appear to be directly in the flight path at ~1m altitude.
Risk: hazard
Pilot suggested action: HOVER",
2,gemini,door_open,safe,2270.6,972,107,0.000105,"Description: I see an open doorway or partition on the right, leading into a larger room with what appears to be tables or equipment. The YOLO detection of ""window"" with an estimated distance of 2.46m seems to refer to this open area, which is navigable. The CLIP label ""open room safe path"" aligns with the visual assessment.
Proximity: The open doorway/partition is immediately to the right, but the path ahead appears clear.
Risk: safe
Pilot suggested action: PITCH_FORWARD",
2,gemini,person_far,caution,1854.8,1019,81,0.000101,"Description: I see a person standing directly in front of the drone, appearing to block the path. A chair is visible to the left, below the drone's flight path. The CLIP label of ""cluttered room obstacles"" is consistent with the scene.
Proximity: The person is very close, likely within 1 meter.
Risk: hazard
Pilot suggested action: PITCH_BACK",
2,gemini,blocked_lens,hazard,1746.6,931,58,8.7e-05,"Description: The image is completely dark and obscured by static, making it impossible to discern any objects or the environment. CLIP's label of ""uncertain (dark or covered lens)"" is consistent with the image.
Proximity: Unknown
Risk: hazard
Pilot suggested action: HOVER",
3,claude,person_near,hazard,5742.6,936,162,0.005238,"Description: A person is leaning forward in what appears to be a cluttered indoor workspace/shop, positioned centrally in the frame and visually appears to be quite close to the camera/drone — roughly 1-2m away. The YOLO est_dist of ~0.31m seems too close given the visible body proportions, but the person is clearly large in frame and nearby; a chair is visible to the left at floor level.

Proximity: Visually the person appears approximately 1–1.5m away, filling much of the frame — very close to or within the hazard threshold, and directly in the flight path at drone altitude (~1m).

Risk: hazard

Pilot suggested action: PITCH_BACK",
3,claude,wall_close,hazard,5014.1,897,130,0.004641,"Description: The image shows a plain, nearly featureless light-colored wall filling the entire frame; there is no visible person or obstacle despite CLIP labeling it as ""person up close."" The lens appears unobstructed but the wall is extremely close, consistent with the drone facing a wall at very short range.

Proximity: The wall appears to fill the entire frame, suggesting it is very close — likely within 0.5–1m directly ahead, consistent with the YOLO ~0.3m advisory estimate.

Risk: hazard

Pilot suggested action: PITCH_BACK",
3,claude,object_table,caution,5600.8,862,152,0.004866,"Description: A laptop is open on a desk/table displaying what appears to be a code editor or IDE, with shelving units and various objects visible in the background creating a cluttered indoor environment. YOLO detected no objects, but the image clearly shows a laptop on a table and background clutter consistent with the CLIP ""cluttered room"" label.

Proximity: The laptop and desk are at approximately table height (~0.7-0.8m), which is below the drone's ~1m flight altitude. Background shelving is roughly 2-4m away. No objects appear to be directly blocking the ~1m flight corridor immediately ahead.

Risk: caution

Pilot suggested action: HOVER",
3,claude,dim_light,caution,7328.8,900,179,0.005385,"Description: The image is heavily noisy and degraded with a strong green tint, showing what appears to be a cluttered indoor room with furniture (likely a couch/sofa on the left and what may be a chair or cushioned object on the right); visibility is very poor due to severe image noise. The YOLO wall detection with a near-zero estimated distance is clearly a heuristic artifact, as walls are background surfaces, and the CLIP label confirms a cluttered room with unknown risk.

Proximity: Visually, there appear to be large furniture objects (couch-like shapes) at roughly 1–2m range that could encroach on the ~1m flight corridor, but the severe image degradation makes precise depth assessment unreliable.

Risk: caution

Pilot suggested action: HOVER",
3,claude,cluttered,caution,6249.0,862,138,0.004656,"Description: The image shows a cluttered indoor environment with what appears to be conveyor belt or industrial equipment, boxes/cardboard, and a white container or tub at approximately drone flight altitude (~1m). There are structures and obstacles filling much of the forward view, with a dark diagonal element (possibly a conveyor ramp) in the lower left foreground.

Proximity: The equipment and objects appear to be within 1-2m of the drone, with the white tub/container and dark conveyor structure visually close and potentially intersecting the ~1m flight corridor.

Risk: hazard

Pilot suggested action: HOVER",
3,claude,door_open,safe,5856.5,897,149,0.004926,"Description: The image shows a large, well-lit industrial or warehouse-style interior with glass partitions/windows and an open corridor beyond; the YOLO-detected window at ~2.46m is a glass partition on the far left edge of the frame, and the CLIP label of ""open room safe path"" aligns with the visually open space ahead at drone altitude.

Proximity: The glass partition detected by YOLO appears to be at or beyond 2-3m to the left periphery, not directly in the forward flight path; the central corridor ahead appears open and clear at ~1m altitude.

Risk: safe

Pilot suggested action: PITCH_FORWARD",
