model,scene_label,truth,run,load_ms,local_ms,local_risk,yolo_ms,llm_ms,total_ms,yolo_objects,yolo_type,clip_label,clip_risk,clip_conf,detected_risk,risk_correct,quality_score,input_tokens,output_tokens,cost_usd,reply,error
gpt4o_mini,person_near,hazard,3,0.54,30.54,hazard,259.15,4607.8,4898.0,0,yolo-world,disabled,disabled,0.0,hazard,1,5,3556,88,0.000586,"Description: The image shows a person standing in a room with various objects around, including furniture. The person appears to be relatively close to the drone's flight path. 
Sensor note: The local detector indicates a person detected at 0.24m, which is consistent with my visual analysis. 
Proximity: The closest object/person is approximately 0.24m away. 
Risk: hazard 
Pilot suggested action: HOVER",
gemini,person_near,hazard,3,0.54,30.54,hazard,259.15,2233.5,2523.7,0,yolo-world,disabled,disabled,0.0,hazard,1,5,1026,124,0.000114,"Description: A person is standing directly in front of the drone, occupying the majority of the frame. The background appears to be an indoor room with some furniture and shelves.
Sensor note: The local detector correctly identified a person, but its estimated distance of 0.24m is too close given the visual evidence. YOLO-World detected a ""wall"" at 0.45m, which is inconsistent with the primary object being a person.
Proximity: The person is visually very close, estimated to be less than 1 meter away.
Risk: hazard
Pilot suggested action: HOVER",
claude,person_near,hazard,4,0.4,38.59,hazard,268.56,60737.6,61045.2,0,yolo-world,disabled,disabled,0.0,,0,0,0,0,0.0,,The read operation timed out
gpt4o,person_near,hazard,4,0.4,38.59,hazard,268.56,2327.5,2635.1,0,yolo-world,disabled,disabled,0.0,hazard,1,5,789,75,0.00507,"Description: The image shows a person standing indoors, with various objects and furniture around. The person appears to be close to the camera.
Sensor note: The local detector's estimation of the person being very close is consistent with the image.
Proximity: The person is visually estimated to be less than 1 meter away.
Risk: Hazard
Pilot suggested action: HOVER",
gpt4o_mini,person_near,hazard,4,0.4,38.59,hazard,268.56,3614.4,3922.0,0,yolo-world,disabled,disabled,0.0,hazard,1,5,3556,88,0.000586,"Description: The image shows a person standing in a room with various objects around, including furniture. The person appears to be relatively close to the drone's flight path. 
Sensor note: The local detector indicates a person detected at 0.24m, which is consistent with my visual analysis. 
Proximity: The closest object/person is approximately 0.24m away. 
Risk: hazard 
Pilot suggested action: HOVER",
gemini,person_near,hazard,4,0.4,38.59,hazard,268.56,1933.3,2240.8,0,yolo-world,disabled,disabled,0.0,hazard,1,5,1026,123,0.000114,"Description: A person is standing directly in front of the drone, occupying the majority of the frame. The background appears to be an indoor room with some furniture and shelves.
Sensor note: The local detector correctly identified a person, but its estimated distance of 0.24m is too close given the visual evidence. YOLO-World detected a ""wall"" at 0.45m, which is inconsistent with the prominent person in the foreground.
Proximity: The person is visually very close, estimated to be well within 1 meter.
Risk: hazard
Pilot suggested action: HOVER",
claude,person_near,hazard,5,0.55,30.34,hazard,263.29,7284.3,7578.5,0,yolo-world,disabled,disabled,0.0,caution,0,4,974,230,0.006372,"Description: A person is standing in what appears to be an indoor workshop or store, facing the camera with arms raised, positioned centrally in the frame at what appears to be a relatively close distance — estimated 2–3 metres away.

Sensor note: The local detector reports est_dist=0.24m which appears to be a gross overestimate of closeness — the person is visually much farther than 0.24m. However, the person is clearly present and reasonably close. The wall detection at 0.45m (depth) is plausible for background clutter. The person was not captured by YOLO-W with a dedicated ""person"" bbox but was flagged by the local detector — consistent with low-light/low-resolution conditions.

Proximity: Person visually estimated at approximately 2–3 metres from the drone; closer than the safe threshold of >3m but not immediately dangerous. No objects appear within the immediate 1m flight path at drone altitude.

Risk: caution

Pilot suggested action: HOVER",
gpt4o,person_near,hazard,5,0.55,30.34,hazard,263.29,2746.3,3040.5,0,yolo-world,disabled,disabled,0.0,hazard,1,5,789,75,0.00507,"Description: The image shows a person standing indoors, with various objects and furniture around. The person appears to be close to the camera.
Sensor note: The local detector's estimation of the person being very close is consistent with the image.
Proximity: The person is visually estimated to be less than 1 meter away.
Risk: Hazard
Pilot suggested action: HOVER",
gpt4o_mini,person_near,hazard,5,0.55,30.34,hazard,263.29,3788.6,4082.8,0,yolo-world,disabled,disabled,0.0,hazard,1,5,3556,88,0.000586,"Description: The image shows a person standing in a room with various objects around, including furniture. The person appears to be relatively close to the drone's flight path. 
Sensor note: The local detector indicates a person detected at 0.24m, which is consistent with my visual analysis. 
Proximity: The closest object/person is approximately 0.24m away. 
Risk: hazard 
Pilot suggested action: HOVER",
gemini,person_near,hazard,5,0.55,30.34,hazard,263.29,1745.7,2039.9,0,yolo-world,disabled,disabled,0.0,hazard,1,5,1026,124,0.000114,"Description: A person is standing directly in front of the drone, occupying the majority of the frame. The background appears to be an indoor room with some furniture and shelves.
Sensor note: The local detector correctly identified a person, but its estimated distance of 0.24m is too close given the visual evidence. YOLO-World detected a ""wall"" at 0.45m, which is inconsistent with the primary object being a person.
Proximity: The person is visually very close, estimated to be less than 1 meter away.
Risk: hazard
Pilot suggested action: HOVER",
claude,wall_close,hazard,1,0.53,28.14,hazard,265.1,11994.6,12288.4,0,yolo-world,disabled,disabled,0.0,caution,0,4,985,179,0.00564,"Description: The image shows a nearly featureless, uniformly light-colored wall or surface filling essentially the entire frame, with very little depth cue or spatial variation visible.
Sensor note: Consistent — both YOLO-World (wall at ~2.09m) and the local detector (wall/obstacle fills frame) align with the visual; the local detector's grad_std=14.3 confirms the low-texture flat surface making depth estimation unreliable.
Proximity: The wall appears to be the dominant and closest obstacle; YOLO-World estimates ~2.09m but given the wall fills the entire frame and depth is flagged as unreliable, actual distance could be closer — treating conservatively as potentially within 1–2m.
Risk: caution
Pilot suggested action: HOVER",
gpt4o,wall_close,hazard,1,0.53,28.14,hazard,265.1,2325.2,2619.0,0,yolo-world,disabled,disabled,0.0,safe,0,4,797,70,0.005035,"Description: The image shows a uniformly blank wall, indicating no visible obstacles or objects in the immediate vicinity.
Sensor note: Consistent with sensor data indicating a wall at approximately 2.09 meters.
Proximity: Closest object is the wall, visually estimated at around 2 meters.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
gpt4o_mini,wall_close,hazard,1,0.53,28.14,hazard,265.1,3303.7,3597.5,0,yolo-world,disabled,disabled,0.0,hazard,1,5,3564,75,0.00058,"Description: The image shows a blank, featureless wall with no visible obstacles or persons in the vicinity. The wall appears to fill the frame, indicating a close proximity to it. 
Sensor note: consistent
Proximity: The closest object is the wall, approximately 0.4m away based on the bounding box.
Risk: hazard
Pilot suggested action: LAND",
gemini,wall_close,hazard,1,0.53,28.14,hazard,265.1,2154.3,2448.1,0,yolo-world,disabled,disabled,0.0,hazard,1,5,1032,124,0.000115,"Description: The image shows a uniform light grey surface filling the entire frame, consistent with a wall or a very close large object. There is a faint darker line at the very top edge.
Sensor note: Consistent. YOLO-World detects a wall, and the local detector also indicates an obstacle filling the frame.
Proximity: Visually, the surface appears to be very close, likely within 1 meter. The depth_m of 2.09m from DA v2 seems too far given the visual evidence of the surface filling the frame.
Risk: hazard
Pilot suggested action: HOVER",
claude,wall_close,hazard,2,0.5,38.24,hazard,265.74,7067.9,7372.4,0,yolo-world,disabled,disabled,0.0,hazard,1,5,985,216,0.006195,"Description: The image shows a nearly featureless light grey/white wall or surface filling almost the entire frame, with very little depth cues or other objects visible — the drone appears to be facing a flat wall at close range.
Sensor note: Consistent — YOLO-World detects a wall spanning the full frame (bbox nearly full image), and the local detector confirms wall/obstacle fills the entire frame; DepthAnything v2 estimates ~2.09m but the local detector flags depth as unreliable (grad_std=14.3), which is plausible given a textureless surface — the wall may be closer than 2.09m.
Proximity: The wall appears to occupy the full frame with minimal texture variation, suggesting it is the dominant and only obstacle; visual estimate places it potentially within 1–2m, consistent with or possibly closer than the 2.09m sensor reading.
Risk: hazard
Pilot suggested action: PITCH_BACK",
gpt4o,wall_close,hazard,2,0.5,38.24,hazard,265.74,2252.1,2556.6,0,yolo-world,disabled,disabled,0.0,safe,0,4,797,70,0.005035,"Description: The image shows a uniformly blank wall, indicating no visible obstacles or objects in the immediate vicinity.
Sensor note: Consistent with sensor data indicating a wall at approximately 2.09 meters.
Proximity: Closest object is the wall, visually estimated at around 2 meters.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
gpt4o_mini,wall_close,hazard,2,0.5,38.24,hazard,265.74,3759.3,4063.8,0,yolo-world,disabled,disabled,0.0,hazard,1,5,3564,68,0.000575,"Description: The image shows a blank, featureless wall with no visible obstacles or persons in the vicinity. The wall fills the frame, indicating a close proximity to it. 
Sensor note: consistent
Proximity: The closest object is the wall, approximately 0.5m away.
Risk: hazard
Pilot suggested action: LAND",
gemini,wall_close,hazard,2,0.5,38.24,hazard,265.74,2386.6,2691.1,0,yolo-world,disabled,disabled,0.0,hazard,1,5,1032,146,0.000121,"Description: The image shows a uniform light grey surface filling the entire frame, consistent with a wall or a very close large object. There are no discernible features or open spaces.
Sensor note: Consistent. YOLO-World detects a wall, and the local detector also indicates an obstacle filling the frame.
Proximity: Visually, the surface appears to be very close, likely within 1 meter, blocking the flight path. The depth_m of 2.09m from DA v2 seems inconsistent with the visual evidence of a completely filled frame, suggesting it might be further away than it appears, but the visual evidence of a completely filled frame is strong.
Risk: hazard
Pilot suggested action: HOVER",
claude,wall_close,hazard,3,0.5,38.08,hazard,267.44,6042.2,6348.2,0,yolo-world,disabled,disabled,0.0,hazard,1,5,985,163,0.0054,"Description: The image shows a plain, featureless wall or ceiling surface filling the entire frame, appearing to be a light grey/white surface at close range with no clear depth cues or navigable space visible.
Sensor note: Consistent with local detector report of wall/obstacle filling entire frame; YOLO-W wall detection at 2.09m may be slightly optimistic — the surface appears closer given it occupies the full frame with no perspective cues.
Proximity: Wall surface appears very close, likely within 1–2m; the full-frame fill and lack of any depth gradient suggests nearer than the 2.09m DA v2 estimate.
Risk: hazard
Pilot suggested action: PITCH_BACK",
gpt4o,wall_close,hazard,3,0.5,38.08,hazard,267.44,1872.9,2178.9,0,yolo-world,disabled,disabled,0.0,hazard,1,5,797,68,0.005005,"Description: The image shows a uniformly gray surface, suggesting the drone is facing a wall or obstacle very close to the camera.
Sensor note: Consistent with sensor data indicating a wall/obstacle filling the entire frame.
Proximity: Visually estimated at less than 1 meter.
Risk: Hazard
Pilot suggested action: HOVER",
gpt4o_mini,wall_close,hazard,3,0.5,38.08,hazard,267.44,3311.1,3617.1,0,yolo-world,disabled,disabled,0.0,hazard,1,5,3564,78,0.000581,"Description: The image shows a blank, featureless wall with no visible obstacles or persons in the vicinity. The wall appears to fill the frame, indicating a close proximity to it. 
Sensor note: consistent
Proximity: The closest object is the wall, approximately 0.4m away based on the bounding box and visual analysis.
Risk: hazard
Pilot suggested action: LAND",
gemini,wall_close,hazard,3,0.5,38.08,hazard,267.44,1939.9,2245.9,0,yolo-world,disabled,disabled,0.0,hazard,1,5,1032,146,0.000121,"Description: The image shows a uniform light grey surface filling the entire frame, consistent with a wall or a very close large object. There are no discernible features or open spaces.
Sensor note: Consistent. YOLO-World detects a wall, and the local detector also indicates an obstacle filling the frame.
Proximity: Visually, the surface appears to be very close, likely within 1 meter, blocking the flight path. The depth_m of 2.09m from DA v2 seems inconsistent with the visual evidence of a completely filled frame, suggesting it might be further away than it appears, but the visual evidence of a completely filled frame is strong.
Risk: hazard
Pilot suggested action: HOVER",
claude,wall_close,hazard,4,0.59,29.78,hazard,268.13,6809.2,7107.7,0,yolo-world,disabled,disabled,0.0,hazard,1,5,985,212,0.006135,"Description: The image shows a nearly featureless, uniformly light grey/white surface filling the entire frame, consistent with a close wall or ceiling directly in front of the camera with very little visible depth or texture.
Sensor note: Consistent — both YOLO-World (wall, 2.09m) and the local detector (wall/obstacle fills frame) agree with visual; however, the local detector flags depth as unreliable (grad_std=14.3), and visually the wall appears closer than 2.09m given the lack of any perspective or spatial cues — I would distrust the DA v2 depth estimate here and treat the obstacle as potentially much closer.
Proximity: Visually indeterminate but likely <1–2m; the wall fills the entire frame with no visible edges or receding geometry, suggesting the drone is very close to a flat surface directly ahead.
Risk: hazard
Pilot suggested action: PITCH_BACK",
gpt4o,wall_close,hazard,4,0.59,29.78,hazard,268.13,603634.3,603932.8,0,yolo-world,disabled,disabled,0.0,safe,0,4,797,69,0.00502,"Description: The image shows a uniformly blank wall, indicating no visible obstacles or objects in the immediate vicinity.
Sensor note: Consistent with sensor data indicating a wall at approximately 2.09 meters.
Proximity: Closest object (wall) visually estimated at around 2 meters.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
gpt4o_mini,wall_close,hazard,4,0.59,29.78,hazard,268.13,3480.2,3778.7,0,yolo-world,disabled,disabled,0.0,hazard,1,5,3564,73,0.000578,"Description: The image shows a blank, featureless wall with no visible obstacles or persons in the vicinity. The wall fills the frame, indicating a close proximity to it. 
Sensor note: consistent
Proximity: The closest object is the wall, approximately 0.4m away based on the bounding box.
Risk: hazard
Pilot suggested action: LAND",
gemini,wall_close,hazard,4,0.59,29.78,hazard,268.13,2461.6,2760.1,0,yolo-world,disabled,disabled,0.0,hazard,1,5,1032,146,0.000121,"Description: The image shows a uniform light grey surface filling the entire frame, consistent with a wall or a very close large object. There are no discernible features or open spaces.
Sensor note: Consistent. YOLO-World detects a wall, and the local detector also indicates an obstacle filling the frame.
Proximity: Visually, the surface appears to be very close, likely within 1 meter, blocking the flight path. The depth_m of 2.09m from DA v2 seems inconsistent with the visual evidence of a completely filled frame, suggesting it might be further away than it appears, but the visual evidence of a completely filled frame is strong.
Risk: hazard
Pilot suggested action: HOVER",
claude,wall_close,hazard,5,0.58,31.95,hazard,270.14,6763.8,7066.5,0,yolo-world,disabled,disabled,0.0,hazard,1,5,985,207,0.00606,"Description: The image shows a plain, featureless light-colored wall filling nearly the entire frame, with no people, furniture, or other obstacles visible; the scene is uniformly bright and largely textureless.
Sensor note: Consistent — both YOLO-World (wall at ~2.09m) and the local detector (wall/obstacle fills frame) align with the visual; the wall is the dominant feature and appears to be the primary obstacle ahead.
Proximity: The wall ahead is estimated at approximately 2m based on DepthAnything v2 (2.09m), which appears plausible visually given the flat, close appearance of the surface filling the frame.
Risk: caution — the wall directly ahead occupies the full field of view and is within ~2m, meaning forward flight would lead to collision; however, it is not immediately within the ~1m hazard threshold yet.
Pilot suggested action: HOVER",
gpt4o,wall_close,hazard,5,0.58,31.95,hazard,270.14,2146.4,2449.1,0,yolo-world,disabled,disabled,0.0,hazard,1,5,797,74,0.005095,"Description: The image shows a uniformly gray surface, suggesting the drone is facing a wall or obstacle very close to the camera.
Sensor note: Consistent with sensor data indicating a wall/obstacle filling the entire frame.
Proximity: Visual estimate indicates the wall is very close, likely less than 1 meter.
Risk: Hazard
Pilot suggested action: HOVER",
gpt4o_mini,wall_close,hazard,5,0.58,31.95,hazard,270.14,3275.0,3577.7,0,yolo-world,disabled,disabled,0.0,hazard,1,5,3564,78,0.000581,"Description: The image shows a blank, featureless wall with no visible obstacles or persons in the vicinity. The wall appears to fill the frame, indicating a close proximity to it. 
Sensor note: consistent
Proximity: The closest object is the wall, approximately 0.4m away based on the bounding box and visual analysis.
Risk: hazard
Pilot suggested action: LAND",
gemini,wall_close,hazard,5,0.58,31.95,hazard,270.14,2154.5,2457.2,0,yolo-world,disabled,disabled,0.0,hazard,1,5,1032,146,0.000121,"Description: The image shows a uniform light grey surface filling the entire frame, consistent with a wall or a very close large object. There are no discernible features or open spaces.
Sensor note: Consistent. YOLO-World detects a wall, and the local detector also indicates an obstacle filling the frame.
Proximity: Visually, the surface appears to be very close, likely within 1 meter, blocking the flight path. The depth_m of 2.09m from DA v2 seems inconsistent with the visual evidence of a completely filled frame, suggesting it might be further away than it appears, but the visual evidence of a completely filled frame is strong.
Risk: hazard
Pilot suggested action: HOVER",
claude,object_table,caution,1,0.45,30.88,safe,269.68,8606.6,8907.6,0,yolo-world,disabled,disabled,0.0,caution,1,4,956,266,0.006858,"Description: The image shows an indoor environment with a laptop open on a table displaying code/IDE, with shelving units visible in the background; the scene is dimly lit with moderate clutter at table level but the ~1m altitude flight corridor appears partially navigable though cluttered.
Sensor note: YOLO detected a shelf at 2.53m with low confidence (0.19); the laptop on the table is a prominent undetected obstacle not flagged by sensors — this is a meaningful miss. Brightness at 126/255 is moderate, consistent with the dim but visible scene.
Proximity: The laptop/table surface appears to be the closest obstacle, visually estimated at approximately 1–1.5m forward, consistent with the general depth range; the shelf backend aligns with the ~2.53m sensor reading.
Risk: caution
Pilot suggested action: HOVER

**Reasoning:** The scene is dim but not dark, and the table with a laptop directly ahead poses a low-altitude obstruction risk at roughly drone flight height. No persons are detected or visible. The undetected laptop is a real obstacle. Hovering is appropriate until the forward path can be better assessed before any pitch-forward movement.",
gpt4o,object_table,caution,1,0.45,30.88,safe,269.68,2866.8,3167.8,0,yolo-world,disabled,disabled,0.0,safe,0,4,772,77,0.005015,"Description: The image shows a laptop on a table in an indoor environment, with shelves and other objects in the background. The scene appears well-lit and organized.
Sensor note: Consistent with sensor data; the shelf detection aligns with the image.
Proximity: The closest object is the laptop, approximately 1 meter away.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
gpt4o_mini,object_table,caution,1,0.45,30.88,safe,269.68,4505.4,4806.4,0,yolo-world,disabled,disabled,0.0,caution,1,5,3539,127,0.000607,"Description: The image shows a laptop on a table with a cluttered background, including shelves and other objects. The scene appears well-lit, but there are several items in the vicinity that could pose a risk if the drone were to navigate at 1m altitude. 

Sensor note: Consistent; the YOLO detection indicates a shelf at 2.53m, which aligns with the visual clutter present in the image.

Proximity: The closest object appears to be the edge of the table, approximately 0.5m away from the drone's expected flight path.

Risk: Caution

Pilot suggested action: HOVER",
gemini,object_table,caution,1,0.45,30.88,safe,269.68,1639.8,1940.8,0,yolo-world,disabled,disabled,0.0,hazard,0,4,1008,110,0.000109,"Description: The drone is facing a laptop on a table, which is a significant obstacle directly in the flight path. The background shows what appears to be shelves or furniture.
Sensor note: YOLO detected a ""shelf"" at 2.53m, which is inconsistent with the prominent laptop directly in front of the drone. The local detector's brightness reading is consistent with the image.
Proximity: The laptop is very close, visually estimated to be well within 1 meter.
Risk: hazard
Pilot suggested action: HOVER",
claude,object_table,caution,2,0.47,29.52,safe,275.1,8300.1,8605.2,0,yolo-world,disabled,disabled,0.0,caution,1,4,956,270,0.006918,"Description: The image shows an indoor environment with a laptop open on a table displaying code/development environment, with shelving units visible in the background; the scene is moderately dim with adequate visibility of the space around ~1m flight altitude.
Sensor note: YOLO-World detected a shelf at 2.53m with low confidence (0.19); the laptop and table are prominent in the foreground but were not detected by sensors — these represent undetected obstacles that I can visually confirm exist.
Proximity: The table/laptop assembly appears to be the closest obstacle, visually estimated at approximately 1–1.5m from the camera; this is closer than the sensor-reported shelf at 2.53m, consistent with the sensors missing the table entirely.
Risk: caution
Pilot suggested action: HOVER

**Reasoning:** The undetected table with laptop is a real obstacle in the near foreground (~1–1.5m). While the ~1m altitude corridor may be marginally clear above the table surface, the dim lighting (brightness 126/255) and cluttered environment with undetected furniture warrant a cautious hold. Recommend hovering and reassessing before any forward movement to avoid the table/laptop obstacle.",
gpt4o,object_table,caution,2,0.47,29.52,safe,275.1,2681.0,2986.1,0,yolo-world,disabled,disabled,0.0,safe,0,4,772,86,0.00515,"Description: The image shows a laptop on a table in a room with shelves and other objects in the background. The area appears clear at the ~1m flight path level.
Sensor note: Consistent with sensor data indicating a shelf at 2.53m depth.
Proximity: Closest object is the laptop on the table, visually estimated at ~1m.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
gpt4o_mini,object_table,caution,2,0.47,29.52,safe,275.1,4266.7,4571.8,0,yolo-world,disabled,disabled,0.0,caution,1,5,3539,103,0.000593,"Description: The image shows a laptop on a table with a cluttered background, including shelves and other objects. The scene appears well-lit, but there are potential obstacles in the vicinity of the laptop. 

Sensor note: Consistent with YOLO detection of a shelf at 2.53m, but no other objects detected. 

Proximity: The closest object appears to be the laptop itself, which is approximately 0.5m away. 

Risk: Caution 
Pilot suggested action: HOVER",
gemini,object_table,caution,2,0.47,29.52,safe,275.1,1960.4,2265.5,0,yolo-world,disabled,disabled,0.0,hazard,0,4,1008,110,0.000109,"Description: The drone is facing a laptop on a table, which is a significant obstacle directly in the flight path. The background shows what appears to be shelves or furniture.
Sensor note: YOLO detected a ""shelf"" at 2.53m, which is inconsistent with the prominent laptop directly in front of the drone. The local detector's brightness reading is consistent with the image.
Proximity: The laptop is very close, visually estimated to be well within 1 meter.
Risk: hazard
Pilot suggested action: HOVER",
claude,object_table,caution,3,0.53,38.54,safe,276.93,5478.8,5794.8,0,yolo-world,disabled,disabled,0.0,caution,1,5,956,161,0.005283,"Description: The scene shows an indoor environment with a laptop on a desk/table displaying code, with shelving units visible in the background; the room appears moderately lit but somewhat dim due to low ambient lighting conditions.
Sensor note: YOLO-World detected a shelf at 2.53m which is consistent with the background shelving visible in the image; no persons or immediate obstacles detected by sensors, consistent with visual analysis.
Proximity: The closest object appears to be the desk/table with the laptop, estimated at approximately 1.5–2m forward; the shelf in the background aligns with the 2.53m depth reading from DepthAnything v2.
Risk: caution
Pilot suggested action: HOVER",
gpt4o,object_table,caution,3,0.53,38.54,safe,276.93,3214.9,3530.9,0,yolo-world,disabled,disabled,0.0,safe,0,4,772,80,0.00506,"Description: The image shows a laptop on a table in a room with shelves and other furniture in the background. The area appears clear at the ~1m flight path level.
Sensor note: Consistent with sensor data; the shelf detection aligns with the image.
Proximity: Closest object is the laptop, approximately 1m away.
Risk: Safe
Pilot suggested action: PITCH_FORWARD",
gpt4o_mini,object_table,caution,3,0.53,38.54,safe,276.93,4577.4,4893.4,0,yolo-world,disabled,disabled,0.0,caution,1,5,3539,127,0.000607,"Description: The image shows a laptop on a table with a cluttered background, including shelves and other objects. The scene appears well-lit, but there are several items in the vicinity that could pose a risk if the drone were to navigate at 1m altitude. 

Sensor note: Consistent; the YOLO detection indicates a shelf at 2.53m, which aligns with the visual clutter present in the image.

Proximity: The closest object appears to be the edge of the table, approximately 0.5m away from the drone's expected flight path.

Risk: Caution

Pilot suggested action: HOVER",
gemini,object_table,caution,3,0.53,38.54,safe,276.93,2198.7,2514.7,0,yolo-world,disabled,disabled,0.0,hazard,0,4,1008,110,0.000109,"Description: The drone is facing a laptop on a table, which is a significant obstacle directly in the flight path. The background shows what appears to be shelves or furniture.
Sensor note: YOLO detected a ""shelf"" at 2.53m, which is inconsistent with the prominent laptop directly in front of the drone. The local detector's brightness reading is consistent with the image.
Proximity: The laptop is very close, visually estimated to be well within 1 meter.
Risk: hazard
Pilot suggested action: HOVER",
