scene_id,scene_label,truth,model,technique,run,quality_score,s1_scene,s2_proximity,s3_risk,s4_length,s5_pilot_action,detected_risk,detected_action,word_count,latency_ms,input_tokens,output_tokens,cost_usd,error
1,person_near,hazard,gemini,cot,4,4,1,1,1,0,1,hazard,STOP,188,3084.7,430,236,0.000103,
1,person_near,hazard,claude,structured,4,5,1,1,1,1,1,hazard,STOP,51,5730.2,315,125,0.00282,
1,person_near,hazard,gpt4o,structured,4,4,1,1,0,1,1,caution,HOLD,26,3062.3,244,68,0.00224,
1,person_near,hazard,gpt4o_mini,structured,4,4,1,1,0,1,1,caution,SLOW_DOWN,32,2559.1,3011,79,0.000499,
1,person_near,hazard,gemini,structured,4,5,1,1,1,1,1,hazard,STOP,36,1948.0,450,92,6.1e-05,
1,person_near,hazard,claude,react,4,4,1,1,1,0,1,hazard,STOP,196,10385.1,295,319,0.00567,
1,person_near,hazard,gpt4o,react,4,4,1,1,0,1,1,caution,SLOW_DOWN,106,4051.1,232,135,0.003185,
1,person_near,hazard,gpt4o_mini,react,4,5,1,1,1,1,1,hazard,SLOW_DOWN,113,3506.8,2999,145,0.000537,
1,person_near,hazard,gemini,react,4,5,1,1,1,1,1,hazard,STOP,88,2440.4,431,113,6.6e-05,
1,person_near,hazard,claude,zero_shot,5,4,1,1,1,0,1,hazard,STOP,190,9260.6,225,318,0.005445,
1,person_near,hazard,gpt4o,zero_shot,5,4,1,1,0,1,1,caution,SLOW_DOWN,56,3145.3,169,67,0.00185,
1,person_near,hazard,gpt4o_mini,zero_shot,5,4,1,1,0,1,1,safe,PROCEED,49,2583.7,2936,61,0.000477,
1,person_near,hazard,gemini,zero_shot,5,5,1,1,1,1,1,hazard,STOP,133,5747.5,365,158,7.5e-05,
1,person_near,hazard,claude,few_shot_3,5,4,1,1,1,0,1,hazard,STOP,171,9203.2,371,270,0.005163,
1,person_near,hazard,gpt4o,few_shot_3,5,4,1,1,0,1,1,caution,SLOW_DOWN,48,3276.5,301,64,0.002465,
1,person_near,hazard,gpt4o_mini,few_shot_3,5,4,1,1,0,1,1,caution,SLOW_DOWN,64,3260.7,3068,80,0.000508,
1,person_near,hazard,gemini,few_shot_3,5,4,1,1,0,1,1,caution,SLOW_DOWN,46,2097.1,505,63,5.7e-05,
1,person_near,hazard,claude,cot,5,4,1,1,1,0,1,hazard,STOP,179,9871.1,290,320,0.00567,
1,person_near,hazard,gpt4o,cot,5,4,1,1,0,1,1,caution,SLOW_DOWN,69,3832.2,230,95,0.002575,
1,person_near,hazard,gpt4o_mini,cot,5,4,1,1,0,1,1,caution,SLOW_DOWN,105,3366.9,2997,145,0.000537,
1,person_near,hazard,gemini,cot,5,5,1,1,1,1,1,hazard,STOP,128,2361.3,430,167,8.2e-05,
1,person_near,hazard,claude,structured,5,5,1,1,1,1,1,hazard,STOP,54,5624.1,315,132,0.002925,
1,person_near,hazard,gpt4o,structured,5,4,1,1,0,1,1,caution,HOLD,23,3479.2,244,65,0.002195,
1,person_near,hazard,gpt4o_mini,structured,5,4,1,1,0,1,1,caution,SLOW_DOWN,32,2660.6,3011,79,0.000499,
1,person_near,hazard,gemini,structured,5,4,1,1,0,1,1,caution,SLOW_DOWN,39,2854.4,450,100,6.4e-05,
1,person_near,hazard,claude,react,5,3,1,1,1,0,0,hazard,,180,9233.4,295,320,0.005685,
1,person_near,hazard,gpt4o,react,5,4,1,1,0,1,1,caution,SLOW_DOWN,90,3785.3,232,116,0.0029,
1,person_near,hazard,gpt4o_mini,react,5,4,1,1,0,1,1,caution,SLOW_DOWN,115,3173.9,2999,145,0.000537,
1,person_near,hazard,gemini,react,5,5,1,1,1,1,1,hazard,STOP,114,2136.7,431,145,7.6e-05,
2,wall_close,hazard,claude,zero_shot,1,4,1,1,1,0,1,hazard,STOP,195,9308.1,225,320,0.005475,
2,wall_close,hazard,gpt4o,zero_shot,1,4,1,1,0,1,1,safe,PROCEED,62,3478.6,169,73,0.00194,
2,wall_close,hazard,gpt4o_mini,zero_shot,1,4,1,1,0,1,1,caution,SLOW_DOWN,69,2559.6,2936,83,0.00049,
2,wall_close,hazard,gemini,zero_shot,1,4,1,1,0,1,1,safe,PROCEED,89,3792.2,365,111,6.1e-05,
2,wall_close,hazard,claude,few_shot_3,1,4,1,1,1,0,1,hazard,STOP,177,9624.2,371,292,0.005493,
2,wall_close,hazard,gpt4o,few_shot_3,1,4,1,1,0,1,1,caution,SLOW_DOWN,53,3888.7,301,68,0.002525,
2,wall_close,hazard,gpt4o_mini,few_shot_3,1,4,1,1,0,1,1,caution,SLOW_DOWN,48,2969.4,3068,61,0.000497,
2,wall_close,hazard,gemini,few_shot_3,1,4,1,1,0,1,1,caution,SLOW_DOWN,72,1949.4,505,89,6.5e-05,
2,wall_close,hazard,claude,cot,1,3,1,1,1,0,0,hazard,,193,11674.9,290,320,0.00567,
2,wall_close,hazard,gpt4o,cot,1,4,1,1,0,1,1,caution,SLOW_DOWN,75,4499.9,230,100,0.00265,
2,wall_close,hazard,gpt4o_mini,cot,1,4,1,1,0,1,1,caution,SLOW_DOWN,119,2969.9,2997,158,0.000544,
2,wall_close,hazard,gemini,cot,1,4,1,1,1,0,1,hazard,STOP,216,3363.7,430,281,0.000117,
2,wall_close,hazard,claude,structured,1,5,1,1,1,1,1,hazard,STOP,57,5443.9,315,133,0.00294,
2,wall_close,hazard,gpt4o,structured,1,4,1,1,0,1,1,safe,PROCEED,27,3512.8,244,70,0.00227,
2,wall_close,hazard,gpt4o_mini,structured,1,4,1,1,0,1,1,caution,SLOW_DOWN,35,2834.8,3011,80,0.0005,
2,wall_close,hazard,gemini,structured,1,4,1,1,0,1,1,caution,SLOW_DOWN,43,2155.6,450,106,6.6e-05,
2,wall_close,hazard,claude,react,1,2,1,1,0,0,0,safe,,169,8759.4,295,320,0.005685,
2,wall_close,hazard,gpt4o,react,1,4,1,1,0,1,1,caution,SLOW_DOWN,103,3726.3,232,131,0.003125,
2,wall_close,hazard,gpt4o_mini,react,1,4,1,1,0,1,1,caution,SLOW_DOWN,119,3276.9,2999,149,0.000539,
2,wall_close,hazard,gemini,react,1,4,1,1,0,1,1,caution,SLOW_DOWN,135,2677.1,431,177,8.5e-05,
2,wall_close,hazard,claude,zero_shot,2,4,1,1,1,0,1,hazard,STOP,188,9479.9,191,318,0.005343,
2,wall_close,hazard,gpt4o,zero_shot,2,3,1,0,0,1,1,safe,PROCEED,31,2960.3,137,39,0.00127,
2,wall_close,hazard,gpt4o_mini,zero_shot,2,3,1,0,0,1,1,safe,PROCEED,50,2457.2,2904,63,0.000473,
2,wall_close,hazard,gemini,zero_shot,2,4,1,1,0,1,1,safe,PROCEED,83,2835.6,322,105,5.6e-05,
2,wall_close,hazard,claude,few_shot_3,2,4,1,1,0,1,1,caution,LAND,136,6996.7,337,208,0.004131,
2,wall_close,hazard,gpt4o,few_shot_3,2,4,1,1,0,1,1,safe,PROCEED,42,3683.9,269,54,0.002155,
2,wall_close,hazard,gpt4o_mini,few_shot_3,2,4,1,1,0,1,1,safe,PROCEED,35,2455.8,3036,47,0.000484,
2,wall_close,hazard,gemini,few_shot_3,2,4,1,1,0,1,1,safe,PROCEED,54,3356.1,462,70,5.6e-05,
2,wall_close,hazard,claude,cot,2,4,1,1,1,0,1,hazard,STOP,200,9181.3,256,320,0.005568,
2,wall_close,hazard,gpt4o,cot,2,4,1,1,0,1,1,safe,PROCEED,78,3937.8,198,104,0.00255,
2,wall_close,hazard,gpt4o_mini,cot,2,5,1,1,1,1,1,hazard,STOP,103,2776.1,2965,130,0.000523,
2,wall_close,hazard,gemini,cot,2,3,1,1,0,0,1,safe,PROCEED,177,3077.6,387,223,9.6e-05,
2,wall_close,hazard,claude,structured,2,5,1,1,1,1,1,hazard,STOP,46,4404.5,281,115,0.002568,
2,wall_close,hazard,gpt4o,structured,2,4,1,1,0,1,1,safe,PROCEED,28,2860.8,212,68,0.00208,
2,wall_close,hazard,gpt4o_mini,structured,2,4,1,1,0,1,1,safe,PROCEED,28,2259.1,2979,68,0.000488,
2,wall_close,hazard,gemini,structured,2,4,1,1,0,1,1,safe,PROCEED,37,2047.0,407,90,5.8e-05,
2,wall_close,hazard,claude,react,2,4,1,1,1,0,1,hazard,STOP,195,10242.4,261,320,0.005583,
2,wall_close,hazard,gpt4o,react,2,3,1,0,0,1,1,caution,SLOW_DOWN,74,3383.4,200,96,0.00244,
2,wall_close,hazard,gpt4o_mini,react,2,5,1,1,1,1,1,hazard,SLOW_DOWN,95,3639.2,2967,124,0.000519,
2,wall_close,hazard,gemini,react,2,4,1,1,0,1,1,safe,PROCEED,89,2596.1,388,128,6.8e-05,
2,wall_close,hazard,claude,zero_shot,3,4,1,1,1,0,1,hazard,HOLD,175,8440.8,191,294,0.004983,
2,wall_close,hazard,gpt4o,zero_shot,3,3,1,0,0,1,1,safe,PROCEED,39,3688.8,137,48,0.001405,
2,wall_close,hazard,gpt4o_mini,zero_shot,3,3,1,0,0,1,1,safe,PROCEED,34,2343.4,2904,45,0.000463,
2,wall_close,hazard,gemini,zero_shot,3,4,1,1,0,1,1,safe,PROCEED,57,2776.0,322,70,4.5e-05,
2,wall_close,hazard,claude,few_shot_3,3,4,1,1,0,1,1,caution,SLOW_DOWN,91,5854.0,337,131,0.002976,
2,wall_close,hazard,gpt4o,few_shot_3,3,3,1,0,0,1,1,safe,PROCEED,27,2534.0,269,37,0.0019,
2,wall_close,hazard,gpt4o_mini,few_shot_3,3,4,1,1,0,1,1,caution,SLOW_DOWN,50,2251.0,3036,61,0.000492,
2,wall_close,hazard,gemini,few_shot_3,3,4,1,1,0,1,1,safe,PROCEED,43,2060.5,462,54,5.1e-05,
2,wall_close,hazard,claude,cot,3,4,1,1,1,0,1,hazard,SLOW_DOWN,198,9191.8,256,313,0.005463,
2,wall_close,hazard,gpt4o,cot,3,4,1,1,0,1,1,safe,PROCEED,82,4524.2,198,109,0.002625,
2,wall_close,hazard,gpt4o_mini,cot,3,4,1,1,0,1,1,safe,PROCEED,72,2681.7,2965,95,0.000502,
2,wall_close,hazard,gemini,cot,3,3,1,1,0,0,1,safe,PROCEED,170,3356.3,387,220,9.5e-05,
2,wall_close,hazard,claude,structured,3,5,1,1,1,1,1,hazard,STOP,52,4239.3,281,127,0.002748,
2,wall_close,hazard,gpt4o,structured,3,4,1,1,0,1,1,safe,PROCEED,25,3133.9,212,65,0.002035,
2,wall_close,hazard,gpt4o_mini,structured,3,4,1,1,0,1,1,safe,PROCEED,26,2556.0,2979,66,0.000486,
2,wall_close,hazard,gemini,structured,3,4,1,1,0,1,1,safe,PROCEED,35,2153.2,407,94,5.9e-05,
2,wall_close,hazard,claude,react,3,4,1,1,1,0,1,hazard,SLOW_DOWN,189,10853.5,261,303,0.005328,
2,wall_close,hazard,gpt4o,react,3,3,1,0,0,1,1,caution,SLOW_DOWN,76,3228.7,200,96,0.00244,
2,wall_close,hazard,gpt4o_mini,react,3,5,1,1,1,1,1,hazard,PROCEED,75,2808.0,2967,103,0.000507,
2,wall_close,hazard,gemini,react,3,4,1,1,0,1,1,safe,PROCEED,72,2188.1,388,98,5.8e-05,
2,wall_close,hazard,claude,zero_shot,4,4,1,1,1,0,1,hazard,LAND,184,8550.1,191,297,0.005028,
2,wall_close,hazard,gpt4o,zero_shot,4,3,1,0,0,1,1,safe,PROCEED,30,3364.9,137,38,0.001255,
2,wall_close,hazard,gpt4o_mini,zero_shot,4,3,1,0,0,1,1,safe,PROCEED,32,2252.7,2904,42,0.000461,
2,wall_close,hazard,gemini,zero_shot,4,4,1,1,0,1,1,safe,PROCEED,114,3179.8,322,145,6.8e-05,
2,wall_close,hazard,claude,few_shot_3,4,5,1,1,1,1,1,hazard,SLOW_DOWN,125,7164.5,337,190,0.003861,
2,wall_close,hazard,gpt4o,few_shot_3,4,4,1,1,0,1,1,safe,PROCEED,33,2864.5,269,46,0.002035,
2,wall_close,hazard,gpt4o_mini,few_shot_3,4,4,1,1,0,1,1,safe,PROCEED,35,1978.8,3036,44,0.000482,
2,wall_close,hazard,gemini,few_shot_3,4,4,1,1,0,1,1,caution,SLOW_DOWN,43,2030.8,462,57,5.2e-05,
2,wall_close,hazard,claude,cot,4,4,1,1,1,0,1,hazard,STOP,201,9004.4,256,317,0.005523,
2,wall_close,hazard,gpt4o,cot,4,4,1,1,0,1,1,safe,PROCEED,59,2959.9,198,81,0.002205,
2,wall_close,hazard,gpt4o_mini,cot,4,4,1,1,0,1,1,safe,PROCEED,78,3177.9,2965,99,0.000504,
2,wall_close,hazard,gemini,cot,4,4,1,1,1,0,1,hazard,STOP,176,3892.3,387,232,9.9e-05,
2,wall_close,hazard,claude,structured,4,5,1,1,1,1,1,hazard,STOP,51,4302.3,281,118,0.002613,
2,wall_close,hazard,gpt4o,structured,4,4,1,1,0,1,1,safe,PROCEED,23,3287.2,212,63,0.002005,
2,wall_close,hazard,gpt4o_mini,structured,4,4,1,1,0,1,1,safe,PROCEED,25,2113.6,2979,65,0.000486,
2,wall_close,hazard,gemini,structured,4,4,1,1,0,1,1,caution,SLOW_DOWN,38,4528.6,407,97,6e-05,
2,wall_close,hazard,claude,react,4,4,1,1,1,0,1,hazard,STOP,178,10648.6,261,320,0.005583,
2,wall_close,hazard,gpt4o,react,4,3,1,0,0,1,1,safe,PROCEED,86,3915.0,200,110,0.00265,
2,wall_close,hazard,gpt4o_mini,react,4,4,1,0,1,1,1,hazard,PROCEED,65,2850.7,2967,92,0.0005,
2,wall_close,hazard,gemini,react,4,4,1,1,0,1,1,safe,PROCEED,84,2870.3,388,114,6.3e-05,
2,wall_close,hazard,claude,zero_shot,5,4,1,1,1,0,1,hazard,LAND,177,9849.2,191,290,0.004923,
2,wall_close,hazard,gpt4o,zero_shot,5,3,1,0,0,1,1,safe,PROCEED,40,3173.1,137,49,0.00142,
2,wall_close,hazard,gpt4o_mini,zero_shot,5,3,1,0,0,1,1,safe,PROCEED,27,2151.8,2904,39,0.000459,
2,wall_close,hazard,gemini,zero_shot,5,4,1,1,0,1,1,safe,LAND,82,2971.0,322,98,5.4e-05,
2,wall_close,hazard,claude,few_shot_3,5,3,1,1,0,0,1,caution,SLOW_DOWN,172,8783.2,337,253,0.004806,
2,wall_close,hazard,gpt4o,few_shot_3,5,4,1,1,0,1,1,safe,PROCEED,30,2988.2,269,42,0.001975,
2,wall_close,hazard,gpt4o_mini,few_shot_3,5,4,1,1,0,1,1,safe,PROCEED,33,2054.2,3036,44,0.000482,
2,wall_close,hazard,gemini,few_shot_3,5,4,1,1,0,1,1,safe,PROCEED,43,2145.4,462,54,5.1e-05,
2,wall_close,hazard,claude,cot,5,3,1,1,0,0,1,caution,SLOW_DOWN,195,9256.1,256,307,0.005373,
2,wall_close,hazard,gpt4o,cot,5,4,1,1,0,1,1,safe,PROCEED,75,3439.5,198,99,0.002475,
2,wall_close,hazard,gpt4o_mini,cot,5,4,1,1,0,1,1,safe,PROCEED,85,2660.5,2965,107,0.000509,
2,wall_close,hazard,gemini,cot,5,4,1,1,0,1,1,caution,SLOW_DOWN,144,2669.2,387,191,8.6e-05,
2,wall_close,hazard,claude,structured,5,5,1,1,1,1,1,hazard,STOP,44,3689.2,281,115,0.002568,
2,wall_close,hazard,gpt4o,structured,5,4,1,1,0,1,1,safe,PROCEED,25,3628.6,212,65,0.002035,
2,wall_close,hazard,gpt4o_mini,structured,5,4,1,1,0,1,1,safe,PROCEED,26,2124.3,2979,64,0.000485,
2,wall_close,hazard,gemini,structured,5,4,1,1,0,1,1,caution,SLOW_DOWN,41,2438.3,407,103,6.1e-05,
2,wall_close,hazard,claude,react,5,4,1,1,1,0,1,hazard,HOLD,187,9518.8,261,320,0.005583,
2,wall_close,hazard,gpt4o,react,5,3,1,0,0,1,1,caution,SLOW_DOWN,85,3397.9,200,107,0.002605,
2,wall_close,hazard,gpt4o_mini,react,5,5,1,1,1,1,1,hazard,PROCEED,78,2638.6,2967,105,0.000508,
2,wall_close,hazard,gemini,react,5,4,1,1,0,1,1,safe,PROCEED,104,2054.2,388,134,6.9e-05,
3,object_table,safe,claude,zero_shot,1,3,1,1,0,0,1,hazard,SLOW_DOWN,179,8336.2,191,268,0.004593,
3,object_table,safe,gpt4o,zero_shot,1,4,1,0,1,1,1,safe,PROCEED,37,3475.1,137,46,0.001375,
3,object_table,safe,gpt4o_mini,zero_shot,1,4,1,0,1,1,1,safe,PROCEED,33,2350.7,2904,42,0.000461,
3,object_table,safe,gemini,zero_shot,1,5,1,1,1,1,1,safe,PROCEED,85,2769.1,322,99,5.4e-05,
3,object_table,safe,claude,few_shot_3,1,3,1,1,0,0,1,hazard,HOLD,187,8086.1,337,265,0.004986,
3,object_table,safe,gpt4o,few_shot_3,1,5,1,1,1,1,1,safe,PROCEED,34,3070.7,269,46,0.002035,
3,object_table,safe,gpt4o_mini,few_shot_3,1,5,1,1,1,1,1,safe,PROCEED,41,2150.0,3036,51,0.000486,
3,object_table,safe,gemini,few_shot_3,1,4,1,1,0,1,1,caution,SLOW_DOWN,48,1662.6,462,66,5.4e-05,
3,object_table,safe,claude,cot,1,3,1,1,0,0,1,hazard,LAND,202,8785.8,256,320,0.005568,
3,object_table,safe,gpt4o,cot,1,5,1,1,1,1,1,safe,PROCEED,75,3377.3,198,101,0.002505,
3,object_table,safe,gpt4o_mini,cot,1,5,1,1,1,1,1,safe,PROCEED,96,2713.8,2965,122,0.000518,
3,object_table,safe,gemini,cot,1,4,1,1,1,0,1,safe,PROCEED,152,2612.9,387,198,8.8e-05,
3,object_table,safe,claude,structured,1,4,1,1,0,1,1,hazard,LAND,51,4480.6,281,130,0.002793,
3,object_table,safe,gpt4o,structured,1,5,1,1,1,1,1,safe,PROCEED,25,3197.5,212,65,0.002035,
3,object_table,safe,gpt4o_mini,structured,1,4,1,1,0,1,1,caution,SLOW_DOWN,24,2459.2,2979,65,0.000486,
3,object_table,safe,gemini,structured,1,4,1,1,0,1,1,caution,SLOW_DOWN,35,2248.1,407,96,5.9e-05,
3,object_table,safe,claude,react,1,3,1,1,0,0,1,hazard,STOP,192,11983.1,261,320,0.005583,
3,object_table,safe,gpt4o,react,1,5,1,1,1,1,1,safe,PROCEED,90,4002.9,200,114,0.00271,
3,object_table,safe,gpt4o_mini,react,1,4,1,1,0,1,1,hazard,SLOW_DOWN,112,3228.9,2967,142,0.00053,
3,object_table,safe,gemini,react,1,5,1,1,1,1,1,safe,PROCEED,80,1854.0,388,104,6e-05,
3,object_table,safe,claude,zero_shot,2,3,1,1,0,0,1,hazard,LAND,191,9553.5,191,311,0.005238,
3,object_table,safe,gpt4o,zero_shot,2,4,1,0,1,1,1,safe,PROCEED,31,3375.5,137,41,0.0013,
3,object_table,safe,gpt4o_mini,zero_shot,2,5,1,1,1,1,1,safe,PROCEED,53,2457.4,2904,64,0.000474,
