condition,model,scene_label,truth,run,detected_risk,risk_correct,quality_score,s1_scene,s2_proximity,s3_risk,s4_length,s5_pilot_action,word_count,latency_ms,input_tokens,output_tokens,cost_usd,error
llm_only,gpt4o,object_table,safe,5,safe,1,5,1,1,1,1,1,50,2967.3,182,66,0.0019,
llm_only,gpt4o_mini,object_table,safe,5,safe,1,5,1,1,1,1,1,63,2457.0,2949,80,0.00049,
llm_only,gemini,object_table,safe,5,caution,0,4,1,1,0,1,1,51,1437.3,372,67,4.8e-05,
combined,claude,object_table,safe,1,caution,0,4,1,1,0,1,1,103,5286.6,268,157,0.003159,
combined,gpt4o,object_table,safe,1,safe,1,5,1,1,1,1,1,43,2703.4,202,56,0.00185,
combined,gpt4o_mini,object_table,safe,1,safe,1,5,1,1,1,1,1,53,2207.3,2969,71,0.000488,
combined,gemini,object_table,safe,1,caution,0,4,1,1,0,1,1,51,1926.9,390,66,4.9e-05,
combined,claude,object_table,safe,2,caution,0,4,1,1,0,1,1,96,4780.2,268,141,0.002919,
combined,gpt4o,object_table,safe,2,safe,1,5,1,1,1,1,1,44,3002.5,202,59,0.001895,
combined,gpt4o_mini,object_table,safe,2,safe,1,5,1,1,1,1,1,51,2217.1,2969,67,0.000486,
combined,gemini,object_table,safe,2,caution,0,4,1,1,0,1,1,48,1845.8,390,63,4.8e-05,
combined,claude,object_table,safe,3,caution,0,4,1,1,0,1,1,106,5734.3,268,156,0.003144,
combined,gpt4o,object_table,safe,3,safe,1,5,1,1,1,1,1,44,2455.4,202,59,0.001895,
combined,gpt4o_mini,object_table,safe,3,safe,1,5,1,1,1,1,1,56,2151.7,2969,73,0.000489,
combined,gemini,object_table,safe,3,caution,0,4,1,1,0,1,1,51,3996.6,390,66,4.9e-05,
combined,claude,object_table,safe,4,hazard,0,4,1,1,0,1,1,111,5527.3,268,153,0.003099,
combined,gpt4o,object_table,safe,4,safe,1,5,1,1,1,1,1,44,2579.3,202,59,0.001895,
combined,gpt4o_mini,object_table,safe,4,safe,1,5,1,1,1,1,1,53,2232.4,2969,67,0.000486,
combined,gemini,object_table,safe,4,caution,0,4,1,1,0,1,1,48,1848.7,390,63,4.8e-05,
combined,claude,object_table,safe,5,caution,0,4,1,1,0,1,1,110,5628.8,268,160,0.003204,
combined,gpt4o,object_table,safe,5,safe,1,5,1,1,1,1,1,38,2559.3,202,53,0.001805,
combined,gpt4o_mini,object_table,safe,5,safe,1,5,1,1,1,1,1,54,2253.5,2969,72,0.000489,
combined,gemini,object_table,safe,5,caution,0,4,1,1,0,1,1,48,3705.2,390,63,4.8e-05,
yolo_only,yolo,dim_light,caution,1,safe,0,0,0,0,0,0,0,0,30.94,0,0,0.0,
yolo_only,yolo,dim_light,caution,2,safe,0,0,0,0,0,0,0,0,28.49,0,0,0.0,
yolo_only,yolo,dim_light,caution,3,safe,0,0,0,0,0,0,0,0,27.88,0,0,0.0,
yolo_only,yolo,dim_light,caution,4,safe,0,0,0,0,0,0,0,0,26.67,0,0,0.0,
yolo_only,yolo,dim_light,caution,5,safe,0,0,0,0,0,0,0,0,28.36,0,0,0.0,
llm_only,claude,dim_light,caution,1,caution,1,5,1,1,1,1,1,113,5838.1,245,176,0.003375,
llm_only,gpt4o,dim_light,caution,1,caution,1,5,1,1,1,1,1,54,3173.0,182,69,0.001945,
llm_only,gpt4o_mini,dim_light,caution,1,caution,1,5,1,1,1,1,1,55,2253.8,2949,75,0.000487,
llm_only,gemini,dim_light,caution,1,caution,1,5,1,1,1,1,1,84,2668.1,372,111,6.1e-05,
llm_only,claude,dim_light,caution,2,caution,1,5,1,1,1,1,1,71,5120.1,245,111,0.0024,
llm_only,gpt4o,dim_light,caution,2,caution,1,5,1,1,1,1,1,54,2865.9,182,69,0.001945,
llm_only,gpt4o_mini,dim_light,caution,2,caution,1,5,1,1,1,1,1,55,2354.5,2949,75,0.000487,
llm_only,gemini,dim_light,caution,2,caution,1,5,1,1,1,1,1,84,3076.5,372,111,6.1e-05,
llm_only,claude,dim_light,caution,3,hazard,0,4,1,1,0,1,1,122,7054.1,245,185,0.00351,
llm_only,gpt4o,dim_light,caution,3,caution,1,5,1,1,1,1,1,54,2773.1,182,69,0.001945,
llm_only,gpt4o_mini,dim_light,caution,3,caution,1,5,1,1,1,1,1,55,2356.4,2949,75,0.000487,
llm_only,gemini,dim_light,caution,3,caution,1,5,1,1,1,1,1,84,1946.8,372,111,6.1e-05,
llm_only,claude,dim_light,caution,4,caution,1,5,1,1,1,1,1,129,7065.8,245,190,0.003585,
llm_only,gpt4o,dim_light,caution,4,caution,1,5,1,1,1,1,1,54,2968.5,182,69,0.001945,
llm_only,gpt4o_mini,dim_light,caution,4,caution,1,5,1,1,1,1,1,55,2661.9,2949,75,0.000487,
llm_only,gemini,dim_light,caution,4,caution,1,5,1,1,1,1,1,84,4761.8,372,111,6.1e-05,
llm_only,claude,dim_light,caution,5,caution,1,5,1,1,1,1,1,106,5892.3,245,163,0.00318,
llm_only,gpt4o,dim_light,caution,5,caution,1,5,1,1,1,1,1,54,2865.5,182,69,0.001945,
llm_only,gpt4o_mini,dim_light,caution,5,caution,1,5,1,1,1,1,1,55,2432.0,2949,75,0.000487,
llm_only,gemini,dim_light,caution,5,caution,1,5,1,1,1,1,1,82,1977.1,372,114,6.2e-05,
combined,claude,dim_light,caution,1,hazard,0,4,1,1,0,1,1,124,6655.1,268,195,0.003729,
combined,gpt4o,dim_light,caution,1,caution,1,5,1,1,1,1,1,44,2659.2,202,59,0.001895,
combined,gpt4o_mini,dim_light,caution,1,caution,1,5,1,1,1,1,1,52,2353.2,2969,70,0.000487,
combined,gemini,dim_light,caution,1,caution,1,5,1,1,1,1,1,40,2155.9,390,60,4.7e-05,
combined,claude,dim_light,caution,2,caution,1,5,1,1,1,1,1,111,6450.5,268,160,0.003204,
combined,gpt4o,dim_light,caution,2,caution,1,5,1,1,1,1,1,45,2454.6,202,60,0.00191,
combined,gpt4o_mini,dim_light,caution,2,caution,1,5,1,1,1,1,1,66,2457.9,2969,85,0.000496,
combined,gemini,dim_light,caution,2,caution,1,5,1,1,1,1,1,40,3590.5,390,60,4.7e-05,
combined,claude,dim_light,caution,3,caution,1,5,1,1,1,1,1,111,6041.8,268,167,0.003309,
combined,gpt4o,dim_light,caution,3,caution,1,5,1,1,1,1,1,54,3274.7,202,70,0.00206,
combined,gpt4o_mini,dim_light,caution,3,caution,1,5,1,1,1,1,1,57,2663.9,2969,76,0.000491,
combined,gemini,dim_light,caution,3,caution,1,5,1,1,1,1,1,40,4407.5,390,60,4.7e-05,
combined,claude,dim_light,caution,4,hazard,0,4,1,1,0,1,1,136,8087.7,268,190,0.003654,
combined,gpt4o,dim_light,caution,4,caution,1,5,1,1,1,1,1,54,2659.6,202,70,0.00206,
combined,gpt4o_mini,dim_light,caution,4,caution,1,5,1,1,1,1,1,55,2458.6,2969,73,0.000489,
combined,gemini,dim_light,caution,4,caution,1,5,1,1,1,1,1,40,2050.7,390,60,4.7e-05,
combined,claude,dim_light,caution,5,caution,1,5,1,1,1,1,1,102,5374.4,268,156,0.003144,
combined,gpt4o,dim_light,caution,5,caution,1,5,1,1,1,1,1,45,3123.8,202,60,0.00191,
combined,gpt4o_mini,dim_light,caution,5,caution,1,5,1,1,1,1,1,52,2353.5,2969,70,0.000487,
combined,gemini,dim_light,caution,5,caution,1,5,1,1,1,1,1,40,1848.5,390,60,4.7e-05,
yolo_only,yolo,cluttered,caution,1,safe,0,0,0,0,0,0,0,0,31.07,0,0,0.0,
yolo_only,yolo,cluttered,caution,2,safe,0,0,0,0,0,0,0,0,29.26,0,0,0.0,
yolo_only,yolo,cluttered,caution,3,safe,0,0,0,0,0,0,0,0,28.09,0,0,0.0,
yolo_only,yolo,cluttered,caution,4,safe,0,0,0,0,0,0,0,0,27.01,0,0,0.0,
yolo_only,yolo,cluttered,caution,5,safe,0,0,0,0,0,0,0,0,28.77,0,0,0.0,
llm_only,claude,cluttered,caution,1,hazard,0,4,1,1,0,1,1,110,5751.6,245,149,0.00297,
llm_only,gpt4o,cluttered,caution,1,caution,1,5,1,1,1,1,1,42,2598.0,182,56,0.00175,
llm_only,gpt4o_mini,cluttered,caution,1,safe,0,4,1,1,0,1,1,49,2005.1,2949,68,0.000483,
llm_only,gemini,cluttered,caution,1,hazard,0,4,1,1,0,1,1,54,2494.5,372,73,5e-05,
llm_only,claude,cluttered,caution,2,,0,0,0,0,0,0,0,0,60553.9,0,0,0.0,The read operation timed out
llm_only,gpt4o,cluttered,caution,2,caution,1,5,1,1,1,1,1,42,2499.1,182,56,0.00175,
llm_only,gpt4o_mini,cluttered,caution,2,safe,0,4,1,1,0,1,1,47,2332.3,2949,69,0.000484,
llm_only,gemini,cluttered,caution,2,hazard,0,4,1,1,0,1,1,54,3190.8,372,73,5e-05,
llm_only,claude,cluttered,caution,3,hazard,0,4,1,1,0,1,1,98,5158.2,245,150,0.002985,
llm_only,gpt4o,cluttered,caution,3,caution,1,5,1,1,1,1,1,42,2888.1,182,56,0.00175,
llm_only,gpt4o_mini,cluttered,caution,3,safe,0,4,1,1,0,1,1,49,2189.9,2949,71,0.000485,
llm_only,gemini,cluttered,caution,3,hazard,0,4,1,1,0,1,1,54,3793.2,372,73,5e-05,
llm_only,claude,cluttered,caution,4,hazard,0,4,1,1,0,1,1,91,5735.2,245,140,0.002835,
llm_only,gpt4o,cluttered,caution,4,caution,1,5,1,1,1,1,1,42,2864.1,182,56,0.00175,
llm_only,gpt4o_mini,cluttered,caution,4,safe,0,4,1,1,0,1,1,54,2048.0,2949,78,0.000489,
llm_only,gemini,cluttered,caution,4,hazard,0,4,1,1,0,1,1,54,1641.9,372,73,5e-05,
llm_only,claude,cluttered,caution,5,hazard,0,4,1,1,0,1,1,57,4096.7,245,94,0.002145,
llm_only,gpt4o,cluttered,caution,5,caution,1,5,1,1,1,1,1,42,2558.6,182,56,0.00175,
llm_only,gpt4o_mini,cluttered,caution,5,safe,0,4,1,1,0,1,1,49,2149.3,2949,68,0.000483,
llm_only,gemini,cluttered,caution,5,hazard,0,4,1,1,0,1,1,54,1846.9,372,73,5e-05,
combined,claude,cluttered,caution,1,hazard,0,4,1,1,0,1,1,115,5939.1,268,169,0.003339,
combined,gpt4o,cluttered,caution,1,safe,0,4,1,1,0,1,1,45,2557.9,202,61,0.001925,
combined,gpt4o_mini,cluttered,caution,1,safe,0,4,1,1,0,1,1,43,2192.4,2969,64,0.000484,
combined,gemini,cluttered,caution,1,caution,1,5,1,1,1,1,1,51,2624.3,390,71,5.1e-05,
combined,claude,cluttered,caution,2,caution,1,5,1,1,1,1,1,75,4472.4,268,108,0.002424,
combined,gpt4o,cluttered,caution,2,safe,0,4,1,1,0,1,1,45,2385.6,202,61,0.001925,
combined,gpt4o_mini,cluttered,caution,2,safe,0,4,1,1,0,1,1,45,1997.9,2969,62,0.000483,
combined,gemini,cluttered,caution,2,caution,1,5,1,1,1,1,1,51,1953.3,390,71,5.1e-05,
combined,claude,cluttered,caution,3,caution,1,5,1,1,1,1,1,77,4755.9,268,109,0.002439,
combined,gpt4o,cluttered,caution,3,safe,0,4,1,1,0,1,1,51,2867.8,202,66,0.002,
combined,gpt4o_mini,cluttered,caution,3,safe,0,4,1,1,0,1,1,50,2163.0,2969,73,0.000489,
combined,gemini,cluttered,caution,3,caution,1,5,1,1,1,1,1,51,3427.7,390,71,5.1e-05,
combined,claude,cluttered,caution,4,caution,1,5,1,1,1,1,1,76,5017.4,268,116,0.002544,
combined,gpt4o,cluttered,caution,4,safe,0,4,1,1,0,1,1,51,2602.9,202,66,0.002,
combined,gpt4o_mini,cluttered,caution,4,safe,0,4,1,1,0,1,1,45,2250.6,2969,66,0.000485,
combined,gemini,cluttered,caution,4,caution,1,5,1,1,1,1,1,51,3896.6,390,71,5.1e-05,
combined,claude,cluttered,caution,5,hazard,0,4,1,1,0,1,1,71,4093.0,268,103,0.002349,
combined,gpt4o,cluttered,caution,5,safe,0,4,1,1,0,1,1,53,3054.6,202,68,0.00203,
combined,gpt4o_mini,cluttered,caution,5,safe,0,4,1,1,0,1,1,43,2269.5,2969,64,0.000484,
combined,gemini,cluttered,caution,5,caution,1,5,1,1,1,1,1,51,6354.2,390,71,5.1e-05,
yolo_only,yolo,door_open,safe,1,safe,1,1,0,0,1,0,0,0,30.86,0,0,0.0,
yolo_only,yolo,door_open,safe,2,safe,1,1,0,0,1,0,0,0,30.7,0,0,0.0,
yolo_only,yolo,door_open,safe,3,safe,1,1,0,0,1,0,0,0,28.23,0,0,0.0,
yolo_only,yolo,door_open,safe,4,safe,1,1,0,0,1,0,0,0,27.47,0,0,0.0,
yolo_only,yolo,door_open,safe,5,safe,1,1,0,0,1,0,0,0,29.27,0,0,0.0,
llm_only,claude,door_open,safe,1,hazard,0,4,1,1,0,1,1,117,6480.6,245,176,0.003375,
llm_only,gpt4o,door_open,safe,1,caution,0,4,1,1,0,1,1,42,2573.9,182,55,0.001735,
llm_only,gpt4o_mini,door_open,safe,1,safe,1,5,1,1,1,1,1,57,2621.4,2949,74,0.000487,
llm_only,gemini,door_open,safe,1,hazard,0,4,1,1,0,1,1,65,2706.4,372,82,5.2e-05,
llm_only,claude,door_open,safe,2,hazard,0,4,1,1,0,1,1,110,6272.3,245,174,0.003345,
llm_only,gpt4o,door_open,safe,2,caution,0,4,1,1,0,1,1,42,2547.8,182,55,0.001735,
llm_only,gpt4o_mini,door_open,safe,2,safe,1,5,1,1,1,1,1,58,2498.8,2949,75,0.000487,
llm_only,gemini,door_open,safe,2,hazard,0,4,1,1,0,1,1,65,2485.4,372,82,5.2e-05,
llm_only,claude,door_open,safe,3,hazard,0,4,1,1,0,1,1,132,7521.9,245,200,0.003735,
llm_only,gpt4o,door_open,safe,3,caution,0,4,1,1,0,1,1,42,2146.4,182,54,0.00172,
llm_only,gpt4o_mini,door_open,safe,3,safe,1,5,1,1,1,1,1,68,2494.8,2949,87,0.000495,
llm_only,gemini,door_open,safe,3,hazard,0,4,1,1,0,1,1,64,1868.7,372,88,5.4e-05,
llm_only,claude,door_open,safe,4,caution,0,4,1,1,0,1,1,105,7044.7,245,168,0.003255,
llm_only,gpt4o,door_open,safe,4,caution,0,4,1,1,0,1,1,42,2770.8,182,55,0.001735,
llm_only,gpt4o_mini,door_open,safe,4,safe,1,5,1,1,1,1,1,56,2247.1,2949,72,0.000486,
llm_only,gemini,door_open,safe,4,hazard,0,4,1,1,0,1,1,65,3070.4,372,82,5.2e-05,
llm_only,claude,door_open,safe,5,hazard,0,4,1,1,0,1,1,122,6470.7,245,190,0.003585,
llm_only,gpt4o,door_open,safe,5,caution,0,4,1,1,0,1,1,42,2298.3,182,55,0.001735,
llm_only,gpt4o_mini,door_open,safe,5,safe,1,5,1,1,1,1,1,57,2224.3,2949,73,0.000486,
llm_only,gemini,door_open,safe,5,hazard,0,4,1,1,0,1,1,64,2128.3,372,88,5.4e-05,
combined,claude,door_open,safe,1,caution,0,4,1,1,0,1,1,130,6358.9,268,183,0.003549,
combined,gpt4o,door_open,safe,1,safe,1,5,1,1,1,1,1,59,2437.9,202,76,0.00215,
combined,gpt4o_mini,door_open,safe,1,safe,1,5,1,1,1,1,1,52,2239.1,2969,73,0.000489,
combined,gemini,door_open,safe,1,caution,0,4,1,1,0,1,1,69,1962.0,390,93,5.7e-05,
combined,claude,door_open,safe,2,caution,0,4,1,1,0,1,1,78,5510.1,268,120,0.002604,
