scene_id,scene_label,truth,model,max_tokens,run,quality_score,s1_scene,s2_proximity,s3_risk,s4_length,s5_pilot_action,detected_risk,word_count,truncated,latency_ms,input_tokens,output_tokens,cost_usd,efficiency,error
1,person_near,hazard,gpt4o_mini,256,3,4,1,1,0,1,1,caution,56,1,2345.4,3059,76,0.000504,7936.51,
1,person_near,hazard,gpt4o_mini,512,3,4,1,1,0,1,1,caution,55,1,2761.6,3059,75,0.000504,7936.51,
1,person_near,hazard,gemini,64,3,3,1,1,0,1,0,,54,1,2086.2,501,63,5.6e-05,53571.43,
1,person_near,hazard,gemini,128,3,5,1,1,1,1,1,hazard,70,1,3652.6,501,96,6.6e-05,75757.58,
1,person_near,hazard,gemini,256,3,5,1,1,1,1,1,hazard,70,1,2400.7,501,96,6.6e-05,75757.58,
1,person_near,hazard,gemini,512,3,5,1,1,1,1,1,hazard,70,1,4061.1,501,96,6.6e-05,75757.58,
1,person_near,hazard,claude,64,4,3,1,1,0,1,0,,51,1,4008.1,367,64,0.002061,1455.6,
1,person_near,hazard,claude,128,4,5,1,1,1,1,1,hazard,86,1,5522.4,367,128,0.003021,1655.08,
1,person_near,hazard,claude,256,4,5,1,1,1,1,1,hazard,124,0,6652.4,367,182,0.003831,1305.14,
1,person_near,hazard,claude,512,4,5,1,1,1,1,1,hazard,131,0,6283.7,367,196,0.004041,1237.32,
1,person_near,hazard,gpt4o,64,4,4,1,1,0,1,1,caution,39,1,3135.3,292,55,0.002285,1750.55,
1,person_near,hazard,gpt4o,128,4,4,1,1,0,1,1,caution,43,1,3380.5,292,59,0.002345,1705.76,
1,person_near,hazard,gpt4o,256,4,4,1,1,0,1,1,caution,35,1,3278.1,292,50,0.00221,1809.95,
1,person_near,hazard,gpt4o,512,4,4,1,1,0,1,1,caution,39,1,2968.1,292,53,0.002255,1773.84,
1,person_near,hazard,gpt4o_mini,64,4,3,1,1,0,1,0,,50,1,2762.4,3059,64,0.000497,6036.22,
1,person_near,hazard,gpt4o_mini,128,4,4,1,1,0,1,1,caution,56,1,2376.8,3059,76,0.000504,7936.51,
1,person_near,hazard,gpt4o_mini,256,4,4,1,1,0,1,1,caution,55,1,3055.8,3059,75,0.000504,7936.51,
1,person_near,hazard,gpt4o_mini,512,4,4,1,1,0,1,1,caution,55,1,2482.5,3059,75,0.000504,7936.51,
1,person_near,hazard,gemini,64,4,3,1,1,0,1,0,,54,1,1929.3,501,63,5.6e-05,53571.43,
1,person_near,hazard,gemini,128,4,5,1,1,1,1,1,hazard,70,1,2344.7,501,96,6.6e-05,75757.58,
1,person_near,hazard,gemini,256,4,5,1,1,1,1,1,hazard,70,1,2559.5,501,96,6.6e-05,75757.58,
1,person_near,hazard,gemini,512,4,5,1,1,1,1,1,hazard,70,1,2161.7,501,96,6.6e-05,75757.58,
1,person_near,hazard,claude,64,5,3,1,1,0,1,0,caution,50,1,4113.7,367,64,0.002061,1455.6,
1,person_near,hazard,claude,128,5,5,1,1,1,1,1,hazard,76,1,5826.3,367,128,0.003021,1655.08,
1,person_near,hazard,claude,256,5,5,1,1,1,1,1,hazard,114,0,6659.9,367,173,0.003696,1352.81,
1,person_near,hazard,claude,512,5,5,1,1,1,1,1,hazard,101,0,5918.3,367,153,0.003396,1472.32,
1,person_near,hazard,gpt4o,64,5,4,1,1,0,1,1,caution,39,1,2435.7,292,53,0.002255,1773.84,
1,person_near,hazard,gpt4o,128,5,4,1,1,0,1,1,caution,39,1,2468.9,292,55,0.002285,1750.55,
1,person_near,hazard,gpt4o,256,5,4,1,1,0,1,1,caution,39,1,3203.2,292,55,0.002285,1750.55,
1,person_near,hazard,gpt4o,512,5,4,1,1,0,1,1,caution,39,1,2715.5,292,53,0.002255,1773.84,
1,person_near,hazard,gpt4o_mini,64,5,3,1,1,0,1,0,,50,1,3119.2,3059,64,0.000497,6036.22,
1,person_near,hazard,gpt4o_mini,128,5,4,1,1,0,1,1,caution,55,1,2585.1,3059,75,0.000504,7936.51,
1,person_near,hazard,gpt4o_mini,256,5,4,1,1,0,1,1,caution,55,1,3452.5,3059,75,0.000504,7936.51,
1,person_near,hazard,gpt4o_mini,512,5,4,1,1,0,1,1,caution,55,1,3584.4,3059,75,0.000504,7936.51,
1,person_near,hazard,gemini,64,5,3,1,1,0,1,0,,54,1,4204.9,501,63,5.6e-05,53571.43,
1,person_near,hazard,gemini,128,5,5,1,1,1,1,1,hazard,70,1,1922.3,501,96,6.6e-05,75757.58,
1,person_near,hazard,gemini,256,5,5,1,1,1,1,1,hazard,70,1,2961.0,501,96,6.6e-05,75757.58,
1,person_near,hazard,gemini,512,5,5,1,1,1,1,1,hazard,70,1,2692.8,501,96,6.6e-05,75757.58,
2,wall_close,hazard,claude,64,1,4,1,1,1,1,0,hazard,45,0,3718.6,297,64,0.001851,2160.99,
2,wall_close,hazard,claude,128,1,5,1,1,1,1,1,hazard,77,1,9534.1,297,128,0.002811,1778.73,
2,wall_close,hazard,claude,256,1,4,1,1,0,1,1,caution,113,0,6852.0,297,173,0.003486,1147.45,
2,wall_close,hazard,claude,512,1,4,1,1,0,1,1,caution,109,0,6294.0,297,166,0.003381,1183.08,
2,wall_close,hazard,gpt4o,64,1,4,1,1,0,1,1,safe,30,1,2609.8,226,43,0.001775,2253.52,
2,wall_close,hazard,gpt4o,128,1,4,1,1,0,1,1,safe,35,1,2560.6,226,50,0.00188,2127.66,
2,wall_close,hazard,gpt4o,256,1,4,1,1,0,1,1,safe,35,1,2559.2,226,50,0.00188,2127.66,
2,wall_close,hazard,gpt4o,512,1,4,1,1,0,1,1,safe,35,1,2867.7,226,50,0.00188,2127.66,
2,wall_close,hazard,gpt4o_mini,64,1,4,1,1,0,1,1,safe,35,1,2252.6,2993,49,0.000478,8368.2,
2,wall_close,hazard,gpt4o_mini,128,1,4,1,1,0,1,1,safe,45,1,2201.5,2993,60,0.000485,8247.42,
2,wall_close,hazard,gpt4o_mini,256,1,4,1,1,0,1,1,safe,26,1,1892.7,2993,39,0.000472,8474.58,
2,wall_close,hazard,gpt4o_mini,512,1,4,1,1,0,1,1,safe,26,1,2560.3,2993,39,0.000472,8474.58,
2,wall_close,hazard,gemini,64,1,4,1,1,0,1,1,safe,41,1,2358.0,415,57,4.8e-05,83333.33,
2,wall_close,hazard,gemini,128,1,4,1,1,0,1,1,safe,41,1,2250.6,415,57,4.8e-05,83333.33,
2,wall_close,hazard,gemini,256,1,4,1,1,0,1,1,safe,41,1,2150.9,415,57,4.8e-05,83333.33,
2,wall_close,hazard,gemini,512,1,4,1,1,0,1,1,safe,41,1,2274.6,415,57,4.8e-05,83333.33,
2,wall_close,hazard,claude,64,2,4,1,1,1,1,0,hazard,46,1,3874.0,297,64,0.001851,2160.99,
2,wall_close,hazard,claude,128,2,4,1,1,0,1,1,caution,89,1,5644.9,297,128,0.002811,1422.98,
2,wall_close,hazard,claude,256,2,4,1,1,0,1,1,caution,125,0,7067.6,297,190,0.003741,1069.23,
2,wall_close,hazard,claude,512,2,5,1,1,1,1,1,hazard,95,1,7065.1,297,154,0.003201,1562.01,
2,wall_close,hazard,gpt4o,64,2,4,1,1,0,1,1,safe,26,1,3235.5,226,39,0.001715,2332.36,
2,wall_close,hazard,gpt4o,128,2,4,1,1,0,1,1,safe,35,1,2642.5,226,50,0.00188,2127.66,
2,wall_close,hazard,gpt4o,256,2,4,1,1,0,1,1,safe,35,1,2223.3,226,50,0.00188,2127.66,
2,wall_close,hazard,gpt4o,512,2,4,1,1,0,1,1,safe,30,1,2697.5,226,43,0.001775,2253.52,
2,wall_close,hazard,gpt4o_mini,64,2,4,1,1,0,1,1,safe,35,1,1956.0,2993,49,0.000478,8368.2,
2,wall_close,hazard,gpt4o_mini,128,2,4,1,1,0,1,1,safe,23,1,2581.2,2993,38,0.000472,8474.58,
2,wall_close,hazard,gpt4o_mini,256,2,4,1,1,0,1,1,safe,46,1,2887.1,2993,61,0.000486,8230.45,
2,wall_close,hazard,gpt4o_mini,512,2,4,1,1,0,1,1,safe,46,1,2352.8,2993,61,0.000486,8230.45,
2,wall_close,hazard,gemini,64,2,4,1,1,0,1,1,safe,41,1,3621.9,415,57,4.8e-05,83333.33,
2,wall_close,hazard,gemini,128,2,4,1,1,0,1,1,safe,41,1,3962.1,415,57,4.8e-05,83333.33,
2,wall_close,hazard,gemini,256,2,4,1,1,0,1,1,safe,41,1,2153.0,415,57,4.8e-05,83333.33,
2,wall_close,hazard,gemini,512,2,4,1,1,0,1,1,safe,36,1,2350.7,415,54,4.7e-05,85106.38,
2,wall_close,hazard,claude,64,3,4,1,1,1,1,0,hazard,45,0,4732.0,297,64,0.001851,2160.99,
2,wall_close,hazard,claude,128,3,4,1,1,0,1,1,caution,89,0,5429.2,297,128,0.002811,1422.98,
2,wall_close,hazard,claude,256,3,4,1,1,0,1,1,caution,88,1,5369.5,297,139,0.002976,1344.09,
2,wall_close,hazard,claude,512,3,4,1,1,0,1,1,caution,113,0,7424.6,297,173,0.003486,1147.45,
2,wall_close,hazard,gpt4o,64,3,4,1,1,0,1,1,safe,35,1,2872.9,226,50,0.00188,2127.66,
2,wall_close,hazard,gpt4o,128,3,4,1,1,0,1,1,safe,30,1,2866.0,226,43,0.001775,2253.52,
2,wall_close,hazard,gpt4o,256,3,4,1,1,0,1,1,safe,35,1,2583.4,226,50,0.00188,2127.66,
2,wall_close,hazard,gpt4o,512,3,4,1,1,0,1,1,safe,35,1,2243.6,226,50,0.00188,2127.66,
2,wall_close,hazard,gpt4o_mini,64,3,4,1,1,0,1,1,safe,45,1,2059.1,2993,60,0.000485,8247.42,
2,wall_close,hazard,gpt4o_mini,128,3,4,1,1,0,1,1,safe,43,1,2426.9,2993,60,0.000485,8247.42,
2,wall_close,hazard,gpt4o_mini,256,3,4,1,1,0,1,1,safe,35,1,2250.1,2993,49,0.000478,8368.2,
2,wall_close,hazard,gpt4o_mini,512,3,4,1,1,0,1,1,safe,35,1,2253.3,2993,49,0.000478,8368.2,
2,wall_close,hazard,gemini,64,3,4,1,1,0,1,1,safe,36,1,2261.5,415,54,4.7e-05,85106.38,
2,wall_close,hazard,gemini,128,3,4,1,1,0,1,1,safe,36,1,2144.7,415,54,4.7e-05,85106.38,
2,wall_close,hazard,gemini,256,3,4,1,1,0,1,1,safe,41,1,1640.0,415,57,4.8e-05,83333.33,
2,wall_close,hazard,gemini,512,3,4,1,1,0,1,1,safe,36,1,2020.3,415,54,4.7e-05,85106.38,
2,wall_close,hazard,claude,64,4,3,1,1,0,1,0,,46,1,4041.0,297,64,0.001851,1620.75,
2,wall_close,hazard,claude,128,4,4,1,1,0,1,1,caution,82,1,5427.2,297,128,0.002811,1422.98,
2,wall_close,hazard,claude,256,4,4,1,1,0,1,1,caution,111,0,6041.1,297,171,0.003456,1157.41,
2,wall_close,hazard,claude,512,4,4,1,1,0,1,1,caution,93,1,6761.3,297,156,0.003231,1238.01,
2,wall_close,hazard,gpt4o,64,4,4,1,1,0,1,1,safe,30,1,2516.4,226,43,0.001775,2253.52,
2,wall_close,hazard,gpt4o,128,4,4,1,1,0,1,1,safe,30,1,2598.6,226,43,0.001775,2253.52,
2,wall_close,hazard,gpt4o,256,4,4,1,1,0,1,1,safe,35,1,2863.5,226,50,0.00188,2127.66,
2,wall_close,hazard,gpt4o,512,4,4,1,1,0,1,1,safe,35,1,2866.8,226,50,0.00188,2127.66,
2,wall_close,hazard,gpt4o_mini,64,4,4,1,1,0,1,1,safe,46,1,2563.9,2993,61,0.000486,8230.45,
2,wall_close,hazard,gpt4o_mini,128,4,4,1,1,0,1,1,safe,26,1,1945.9,2993,39,0.000472,8474.58,
2,wall_close,hazard,gpt4o_mini,256,4,4,1,1,0,1,1,safe,45,1,3481.6,2993,60,0.000485,8247.42,
2,wall_close,hazard,gpt4o_mini,512,4,4,1,1,0,1,1,safe,45,1,2360.4,2993,60,0.000485,8247.42,
2,wall_close,hazard,gemini,64,4,4,1,1,0,1,1,safe,36,1,2385.2,415,54,4.7e-05,85106.38,
2,wall_close,hazard,gemini,128,4,4,1,1,0,1,1,safe,36,1,2013.7,415,54,4.7e-05,85106.38,
2,wall_close,hazard,gemini,256,4,4,1,1,0,1,1,safe,41,1,2253.5,415,57,4.8e-05,83333.33,
2,wall_close,hazard,gemini,512,4,4,1,1,0,1,1,safe,41,1,1944.0,415,57,4.8e-05,83333.33,
2,wall_close,hazard,claude,64,5,4,1,1,1,1,0,hazard,47,1,4424.8,297,64,0.001851,2160.99,
2,wall_close,hazard,claude,128,5,4,1,1,0,1,1,caution,86,1,5426.2,297,128,0.002811,1422.98,
2,wall_close,hazard,claude,256,5,4,1,1,0,1,1,caution,116,0,6346.3,297,173,0.003486,1147.45,
2,wall_close,hazard,claude,512,5,4,1,1,0,1,1,caution,96,0,6451.1,297,140,0.002991,1337.35,
2,wall_close,hazard,gpt4o,64,5,4,1,1,0,1,1,safe,35,1,2561.1,226,50,0.00188,2127.66,
2,wall_close,hazard,gpt4o,128,5,4,1,1,0,1,1,safe,36,1,3478.3,226,52,0.00191,2094.24,
2,wall_close,hazard,gpt4o,256,5,4,1,1,0,1,1,safe,35,1,2868.6,226,50,0.00188,2127.66,
2,wall_close,hazard,gpt4o,512,5,4,1,1,0,1,1,safe,35,1,3291.7,226,50,0.00188,2127.66,
2,wall_close,hazard,gpt4o_mini,64,5,4,1,1,0,1,1,safe,43,1,2852.2,2993,60,0.000485,8247.42,
2,wall_close,hazard,gpt4o_mini,128,5,4,1,1,0,1,1,safe,46,1,2869.6,2993,61,0.000486,8230.45,
2,wall_close,hazard,gpt4o_mini,256,5,4,1,1,0,1,1,safe,38,1,2560.4,2993,54,0.000481,8316.01,
2,wall_close,hazard,gpt4o_mini,512,5,4,1,1,0,1,1,safe,46,1,2319.0,2993,61,0.000486,8230.45,
2,wall_close,hazard,gemini,64,5,4,1,1,0,1,1,safe,41,1,3414.4,415,57,4.8e-05,83333.33,
2,wall_close,hazard,gemini,128,5,4,1,1,0,1,1,safe,41,1,2088.4,415,57,4.8e-05,83333.33,
2,wall_close,hazard,gemini,256,5,4,1,1,0,1,1,safe,36,1,1970.8,415,54,4.7e-05,85106.38,
2,wall_close,hazard,gemini,512,5,4,1,1,0,1,1,safe,41,1,4068.9,415,57,4.8e-05,83333.33,
3,object_table,safe,claude,64,1,3,1,1,0,1,0,,50,1,4204.0,297,64,0.001851,1620.75,
3,object_table,safe,claude,128,1,4,1,1,0,1,1,caution,88,1,6166.6,297,128,0.002811,1422.98,
3,object_table,safe,claude,256,1,4,1,1,0,1,1,caution,98,1,6016.4,297,136,0.002931,1364.72,
3,object_table,safe,claude,512,1,4,1,1,0,1,1,caution,112,1,6292.2,297,170,0.003441,1162.45,
3,object_table,safe,gpt4o,64,1,5,1,1,1,1,1,safe,44,1,3799.4,226,59,0.002015,2481.39,
3,object_table,safe,gpt4o,128,1,5,1,1,1,1,1,safe,44,1,2808.1,226,59,0.002015,2481.39,
3,object_table,safe,gpt4o,256,1,5,1,1,1,1,1,safe,44,1,4099.7,226,59,0.002015,2481.39,
3,object_table,safe,gpt4o,512,1,5,1,1,1,1,1,safe,44,1,3479.6,226,59,0.002015,2481.39,
3,object_table,safe,gpt4o_mini,64,1,4,1,1,1,1,0,safe,53,1,3483.2,2993,64,0.000487,8213.55,
3,object_table,safe,gpt4o_mini,128,1,5,1,1,1,1,1,safe,54,1,3321.1,2993,69,0.00049,10204.08,
3,object_table,safe,gpt4o_mini,256,1,5,1,1,1,1,1,safe,54,1,3130.0,2993,69,0.00049,10204.08,
3,object_table,safe,gpt4o_mini,512,1,5,1,1,1,1,1,safe,54,1,2865.1,2993,69,0.00049,10204.08,
3,object_table,safe,gemini,64,1,3,1,1,0,1,0,caution,48,1,3054.0,415,64,5e-05,60000.0,
3,object_table,safe,gemini,128,1,4,1,1,0,1,1,caution,52,1,2110.8,415,72,5.3e-05,75471.7,
3,object_table,safe,gemini,256,1,4,1,1,0,1,1,caution,52,1,2239.5,415,72,5.3e-05,75471.7,
3,object_table,safe,gemini,512,1,4,1,1,0,1,1,caution,52,1,3242.9,415,72,5.3e-05,75471.7,
3,object_table,safe,claude,64,2,3,1,1,0,1,0,hazard,50,0,4935.7,297,64,0.001851,1620.75,
3,object_table,safe,claude,128,2,4,1,1,0,1,1,caution,88,1,5581.0,297,128,0.002811,1422.98,
3,object_table,safe,claude,256,2,4,1,1,0,1,1,caution,106,0,8864.1,297,155,0.003216,1243.78,
3,object_table,safe,claude,512,2,4,1,1,0,1,1,caution,116,0,6450.5,297,167,0.003396,1177.86,
3,object_table,safe,gpt4o,64,2,5,1,1,1,1,1,safe,44,1,2864.5,226,59,0.002015,2481.39,
3,object_table,safe,gpt4o,128,2,5,1,1,1,1,1,safe,44,1,4825.2,226,59,0.002015,2481.39,
3,object_table,safe,gpt4o,256,2,5,1,1,1,1,1,safe,44,1,2854.3,226,59,0.002015,2481.39,
3,object_table,safe,gpt4o,512,2,5,1,1,1,1,1,safe,44,1,3176.7,226,59,0.002015,2481.39,
3,object_table,safe,gpt4o_mini,64,2,4,1,1,1,1,0,safe,52,1,2556.7,2993,64,0.000487,8213.55,
3,object_table,safe,gpt4o_mini,128,2,5,1,1,1,1,1,safe,52,1,2562.2,2993,66,0.000489,10224.95,
3,object_table,safe,gpt4o_mini,256,2,5,1,1,1,1,1,safe,52,1,3172.8,2993,66,0.000489,10224.95,
3,object_table,safe,gpt4o_mini,512,2,5,1,1,1,1,1,safe,54,1,3216.6,2993,69,0.00049,10204.08,
3,object_table,safe,gemini,64,2,3,1,1,0,1,0,caution,48,1,2141.4,415,64,5e-05,60000.0,
3,object_table,safe,gemini,128,2,4,1,1,0,1,1,caution,49,1,1618.2,415,66,5.1e-05,78431.37,
3,object_table,safe,gemini,256,2,4,1,1,0,1,1,caution,49,1,2028.9,415,66,5.1e-05,78431.37,
3,object_table,safe,gemini,512,2,4,1,1,0,1,1,caution,49,1,2259.2,415,66,5.1e-05,78431.37,
3,object_table,safe,claude,64,3,4,1,1,1,1,0,safe,50,1,4146.7,297,64,0.001851,2160.99,
3,object_table,safe,claude,128,3,4,1,1,0,1,1,caution,89,1,5090.0,297,128,0.002811,1422.98,
3,object_table,safe,claude,256,3,4,1,1,0,1,1,caution,114,0,6574.5,297,166,0.003381,1183.08,
3,object_table,safe,claude,512,3,4,1,1,0,1,1,caution,102,1,6223.9,297,149,0.003126,1279.59,
3,object_table,safe,gpt4o,64,3,5,1,1,1,1,1,safe,44,1,2858.2,226,59,0.002015,2481.39,
3,object_table,safe,gpt4o,128,3,5,1,1,1,1,1,safe,44,1,2872.2,226,59,0.002015,2481.39,
3,object_table,safe,gpt4o,256,3,5,1,1,1,1,1,safe,44,1,3274.1,226,59,0.002015,2481.39,
3,object_table,safe,gpt4o,512,3,5,1,1,1,1,1,safe,44,1,3580.3,226,59,0.002015,2481.39,
3,object_table,safe,gpt4o_mini,64,3,4,1,1,1,1,0,safe,53,1,3702.0,2993,64,0.000487,8213.55,
3,object_table,safe,gpt4o_mini,128,3,5,1,1,1,1,1,safe,62,1,2365.2,2993,78,0.000496,10080.65,
3,object_table,safe,gpt4o_mini,256,3,5,1,1,1,1,1,safe,62,1,2437.9,2993,78,0.000496,10080.65,
3,object_table,safe,gpt4o_mini,512,3,5,1,1,1,1,1,safe,61,1,2558.7,2993,77,0.000495,10101.01,
3,object_table,safe,gemini,64,3,3,1,1,0,1,0,caution,48,1,2257.3,415,63,5e-05,60000.0,
3,object_table,safe,gemini,128,3,4,1,1,0,1,1,caution,52,1,2253.3,415,72,5.3e-05,75471.7,
3,object_table,safe,gemini,256,3,4,1,1,0,1,1,caution,49,1,1842.4,415,66,5.1e-05,78431.37,
3,object_table,safe,gemini,512,3,4,1,1,0,1,1,caution,52,1,2034.5,415,72,5.3e-05,75471.7,
3,object_table,safe,claude,64,4,4,1,1,1,1,0,safe,51,1,3728.9,297,64,0.001851,2160.99,
3,object_table,safe,claude,128,4,4,1,1,0,1,1,caution,91,1,5720.5,297,128,0.002811,1422.98,
3,object_table,safe,claude,256,4,4,1,1,0,1,1,caution,106,1,6143.1,297,149,0.003126,1279.59,
3,object_table,safe,claude,512,4,4,1,1,0,1,1,caution,102,0,6042.2,297,146,0.003081,1298.28,
3,object_table,safe,gpt4o,64,4,5,1,1,1,1,1,safe,44,1,2863.6,226,59,0.002015,2481.39,
3,object_table,safe,gpt4o,128,4,5,1,1,1,1,1,safe,44,1,3586.8,226,59,0.002015,2481.39,
3,object_table,safe,gpt4o,256,4,5,1,1,1,1,1,safe,44,1,3173.3,226,59,0.002015,2481.39,
3,object_table,safe,gpt4o,512,4,5,1,1,1,1,1,safe,44,1,2888.7,226,59,0.002015,2481.39,
3,object_table,safe,gpt4o_mini,64,4,4,1,1,1,1,0,safe,53,1,2840.3,2993,64,0.000487,8213.55,
3,object_table,safe,gpt4o_mini,128,4,5,1,1,1,1,1,safe,62,1,2873.4,2993,78,0.000496,10080.65,
3,object_table,safe,gpt4o_mini,256,4,5,1,1,1,1,1,safe,54,1,2554.0,2993,69,0.00049,10204.08,
3,object_table,safe,gpt4o_mini,512,4,5,1,1,1,1,1,safe,53,1,2866.7,2993,70,0.000491,10183.3,
3,object_table,safe,gemini,64,4,3,1,1,0,1,0,caution,48,1,3897.5,415,64,5e-05,60000.0,
3,object_table,safe,gemini,128,4,4,1,1,0,1,1,caution,52,1,2258.4,415,72,5.3e-05,75471.7,
3,object_table,safe,gemini,256,4,4,1,1,0,1,1,caution,49,1,3576.9,415,66,5.1e-05,78431.37,
3,object_table,safe,gemini,512,4,4,1,1,0,1,1,caution,52,1,2169.0,415,72,5.3e-05,75471.7,
3,object_table,safe,claude,64,5,4,1,1,1,1,0,safe,50,1,3479.4,297,64,0.001851,2160.99,
3,object_table,safe,claude,128,5,4,1,1,0,1,1,hazard,92,1,5086.5,297,128,0.002811,1422.98,
3,object_table,safe,claude,256,5,4,1,1,0,1,1,caution,110,0,7408.2,297,155,0.003216,1243.78,
3,object_table,safe,claude,512,5,4,1,1,0,1,1,caution,114,1,6395.8,297,159,0.003276,1221.0,
3,object_table,safe,gpt4o,64,5,5,1,1,1,1,1,safe,44,1,3838.6,226,59,0.002015,2481.39,
3,object_table,safe,gpt4o,128,5,5,1,1,1,1,1,safe,44,1,3792.7,226,59,0.002015,2481.39,
3,object_table,safe,gpt4o,256,5,5,1,1,1,1,1,safe,44,1,3497.7,226,59,0.002015,2481.39,
3,object_table,safe,gpt4o,512,5,5,1,1,1,1,1,safe,44,1,2545.3,226,59,0.002015,2481.39,
