condition,model,scene_label,truth,run,yolo_type,yolo_meta,clip_label,clip_risk,clip_conf,detected_risk,risk_correct,quality_score,s1_scene,s2_proximity,s3_risk,s4_length,s5_pilot_action,word_count,latency_ms,input_tokens,output_tokens,cost_usd,reply,error
llm_only,gpt4o,person_near,hazard,2,,,,,0.0,caution,0,4,1,1,0,1,1,48,2711.2,207,60,0.001935,"Description: The image shows a person standing indoors, leaning forward with hands behind their back. There is a plastic chair and some furniture in the background.
Proximity: The person appears to be very close to the camera, possibly within a few feet.
Risk: caution
Pilot suggested action: HOLD",
llm_only,gpt4o_mini,person_near,hazard,2,,,,,0.0,caution,0,4,1,1,0,1,1,52,2155.4,2974,68,0.000487,"Description: The image shows a person bending forward in a dimly lit indoor environment, with some furniture visible in the background, including a chair and what appears to be a desk or table.  
Proximity: The person seems to be within a few meters of the camera.  
Risk: caution  
Pilot suggested action: SLOW_DOWN",
llm_only,gemini,person_near,hazard,2,,,,,0.0,caution,0,4,1,1,0,1,1,56,1946.0,398,79,5.4e-05,"Description: A person is standing in what appears to be an indoor setting, possibly a workshop or office, with various objects and furniture in the background. The image quality is poor, making details difficult to discern.
Proximity: The person appears to be within 5-10 feet of the drone's current position.
Risk: caution
Pilot suggested action: SLOW_DOWN",
llm_only,claude,person_near,hazard,3,,,,,0.0,hazard,1,5,1,1,1,1,1,58,3588.5,274,85,0.002097,"Description: A person is leaning forward aggressively toward the camera in what appears to be an indoor workspace or workshop environment with shelving and equipment visible in the background.
Proximity: Person is very close to the drone, estimated 1–2 meters away and approaching or leaning directly into the camera's field of view.
Risk: hazard
Pilot suggested action: LAND",
llm_only,gpt4o,person_near,hazard,3,,,,,0.0,caution,0,4,1,1,0,1,1,47,2658.9,207,59,0.00192,"Description: The image shows a person standing indoors, leaning forward with hands behind their back. There is a plastic chair and some furniture in the background.
Proximity: The person appears to be close to the camera, possibly within a few feet.
Risk: caution
Pilot suggested action: HOLD",
llm_only,gpt4o_mini,person_near,hazard,3,,,,,0.0,caution,0,4,1,1,0,1,1,52,2251.6,2974,69,0.000487,"Description: The image shows a person bending forward in a dimly lit indoor environment, with some furniture visible in the background, including a chair and what appears to be a desk or table.  
Proximity: The person seems to be relatively close, possibly within a few meters.  
Risk: caution  
Pilot suggested action: SLOW_DOWN",
llm_only,gemini,person_near,hazard,3,,,,,0.0,caution,0,4,1,1,0,1,1,54,1464.9,398,75,5.2e-05,"Description: A person is standing in what appears to be an indoor setting, possibly a workshop or office, with various objects and furniture in the background. The image quality is poor, making details difficult to discern.
Proximity: The person appears to be within 5-10 feet of the drone.
Risk: caution
Pilot suggested action: SLOW_DOWN",
llm_only,claude,person_near,hazard,4,,,,,0.0,hazard,1,5,1,1,1,1,1,57,5505.2,274,83,0.002067,"Description: A person is standing in what appears to be an indoor workshop or storage area, leaning forward in an active stance, possibly moving or dancing.
Proximity: Person appears to be approximately 2–4 meters from the camera, taking up a significant portion of the frame and posing an immediate obstruction risk.
Risk: hazard
Pilot suggested action: STOP",
llm_only,gpt4o,person_near,hazard,4,,,,,0.0,caution,0,4,1,1,0,1,1,45,2762.0,207,58,0.001905,"Description: The image shows a person standing indoors, leaning forward with hands behind their back. There are chairs and office equipment in the background.
Proximity: The person appears to be close to the camera, possibly within a few feet.
Risk: Caution
Pilot suggested action: HOLD",
llm_only,gpt4o_mini,person_near,hazard,4,,,,,0.0,caution,0,4,1,1,0,1,1,52,2253.2,2974,69,0.000487,"Description: The image shows a person bending forward in a dimly lit indoor environment, with some furniture visible in the background, including a chair and what appears to be a desk or table.  
Proximity: The person seems to be relatively close, possibly within a few meters.  
Risk: caution  
Pilot suggested action: SLOW_DOWN",
llm_only,gemini,person_near,hazard,4,,,,,0.0,caution,0,4,1,1,0,1,1,56,3592.6,398,79,5.4e-05,"Description: A person is standing in what appears to be an indoor setting, possibly a workshop or office, with various objects and furniture in the background. The image quality is poor, making details difficult to discern.
Proximity: The person appears to be within 5-10 feet of the drone's current position.
Risk: caution
Pilot suggested action: SLOW_DOWN",
llm_only,claude,person_near,hazard,5,,,,,0.0,hazard,1,5,1,1,1,1,1,51,3787.8,274,78,0.001992,"Description: A person is leaning forward in what appears to be an indoor workspace or workshop environment, possibly in motion or dancing.
Proximity: Person appears to be **very close** to the camera/drone, estimated within 1–2 meters based on their large size relative to the frame.
Risk: hazard

Pilot suggested action: STOP",
llm_only,gpt4o,person_near,hazard,5,,,,,0.0,caution,0,4,1,1,0,1,1,48,2452.9,207,61,0.00195,"Description: The image shows a person standing indoors, leaning forward with hands behind their back. There is a plastic chair and some furniture in the background.
Proximity: The person appears to be very close to the camera, possibly within a few feet.
Risk: Caution
Pilot suggested action: HOLD",
llm_only,gpt4o_mini,person_near,hazard,5,,,,,0.0,caution,0,4,1,1,0,1,1,56,2558.2,2974,74,0.000491,"Description: The image shows a person in a gray shirt and jeans, bending forward in what appears to be an indoor space with some furniture in the background. The lighting is dim, and the environment seems cluttered.  
Proximity: The person appears to be relatively close, possibly within a few meters.  
Risk: caution  
Pilot suggested action: SLOW_DOWN",
llm_only,gemini,person_near,hazard,5,,,,,0.0,caution,0,4,1,1,0,1,1,56,2157.3,398,79,5.4e-05,"Description: A person is standing in what appears to be an indoor setting, possibly a workshop or office, with various objects and furniture in the background. The image quality is poor, making details difficult to discern.
Proximity: The person appears to be within 5-10 feet of the drone's current position.
Risk: caution
Pilot suggested action: SLOW_DOWN",
combined_enhanced,claude,person_near,hazard,1,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",uncertain (a person standing very close t),unknown,0.1176,hazard,1,5,1,1,1,1,1,89,4706.0,492,132,0.003456,"Description: A person is leaning forward aggressively toward the camera in what appears to be an indoor workspace, with a chair visible to the left; the person occupies a large portion of the frame, consistent with being very close to the drone, and the YOLO distance estimate of ~0.31m appears plausible given the large bounding box coverage.
Proximity: Very close — the person fills roughly half the frame vertically and horizontally, suggesting they are within 0.5–1m of the drone, possibly reaching toward it.
Risk: hazard

Pilot suggested action: STOP",
combined_enhanced,gpt4o,person_near,hazard,1,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",uncertain (a person standing very close t),unknown,0.1176,caution,0,4,1,1,0,1,1,57,2763.9,402,71,0.003075,"Description: The image shows a person standing in an indoor space with a chair and some furniture in the background. The person is leaning forward, and the environment appears to be a room with various objects.
Proximity: The person is very close to the camera, likely less than 1 meter away.
Risk: Caution
Pilot suggested action: HOLD",
combined_enhanced,gpt4o_mini,person_near,hazard,1,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",uncertain (a person standing very close t),unknown,0.1176,caution,0,4,1,1,0,1,1,75,2460.7,3169,100,0.000535,"Description: The image shows a person bending forward in a room with a chair in the background. The YOLO detection estimates a distance of approximately 0.31m for the person, which seems inconsistent with the visual evidence, as the person appears to be closer than that. The CLIP label indicates uncertainty about the scene. 

Proximity: The person appears to be very close, likely within 1 meter based on visual assessment. 

Risk: caution  
Pilot suggested action: SLOW_DOWN",
combined_enhanced,gemini,person_near,hazard,1,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",uncertain (a person standing very close t),unknown,0.1176,hazard,1,5,1,1,1,1,1,77,3529.0,606,97,7.5e-05,"Description: The image shows a person standing in what appears to be an indoor setting, possibly a workshop or storage area, with a white plastic chair visible to the left. The person is facing the camera and appears to be looking down or bending forward slightly. The YOLO estimate for the person's distance seems plausible given their size in the frame.
Proximity: The person is very close, likely within 1-2 meters.
Risk: hazard
Pilot suggested action: STOP",
combined_enhanced,claude,person_near,hazard,2,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",uncertain (a person standing very close t),unknown,0.1176,hazard,1,5,1,1,1,1,1,86,4870.0,492,129,0.003411,"Description: A person is leaning forward aggressively toward the camera in what appears to be an indoor workspace, with a plastic chair visible to the left. The YOLO estimate of ~0.31m feels consistent with the visual — the person occupies most of the frame and appears very close, likely within 0.5–1m of the drone.

Proximity: Extremely close — the person fills the majority of the frame, indicating they are within approximately 0.5–1 meter of the drone based on visual assessment.

Risk: hazard

Pilot suggested action: STOP",
combined_enhanced,gpt4o,person_near,hazard,2,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",uncertain (a person standing very close t),unknown,0.1176,caution,0,4,1,1,0,1,1,49,2863.3,402,64,0.00297,"Description: The image shows a person standing in an indoor space with a chair and some furniture in the background. The person appears to be leaning forward slightly.
Proximity: The person is very close to the camera, likely less than 0.5 meters away.
Risk: Caution
Pilot suggested action: HOLD",
combined_enhanced,gpt4o_mini,person_near,hazard,2,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",uncertain (a person standing very close t),unknown,0.1176,caution,0,4,1,1,0,1,1,80,2499.2,3169,103,0.000537,"Description: The image shows a person bending forward in a room with a chair in the background. The YOLO detection estimates a distance of approximately 0.31m for the person, which seems inaccurate as they appear to be much closer than that. The CLIP label indicates uncertainty about the scene, which aligns with the visual ambiguity of the situation.

Proximity: The person appears to be very close, likely within 1 meter based on visual assessment.

Risk: caution

Pilot suggested action: SLOW_DOWN",
combined_enhanced,gemini,person_near,hazard,2,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",uncertain (a person standing very close t),unknown,0.1176,hazard,1,5,1,1,1,1,1,70,2297.9,606,92,7.3e-05,"Description: The image shows a person standing in what appears to be an indoor setting, possibly a workshop or storage area, with a white plastic chair visible to the left. The person is facing the camera and appears to be relatively close. The YOLO estimated distance for the person (0.31m) seems plausible given their size in the frame.
Proximity: Very close (within 1 meter)
Risk: hazard
Pilot suggested action: STOP",
combined_enhanced,claude,person_near,hazard,3,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",uncertain (a person standing very close t),unknown,0.1176,hazard,1,5,1,1,1,1,1,88,5754.7,492,142,0.003606,"Description: A person is leaning forward aggressively toward the camera in what appears to be an indoor workshop/store environment; their large presence in the frame confirms they are very close to the drone, consistent with the YOLO estimate of ~0.31m, though that specific value may be slightly underestimated given the full-body visibility — visually I'd estimate 1–2 meters realistically, but still dangerously close.
Proximity: Very close — person occupies most of the frame, estimated 1–2m visually, posing immediate risk to drone operation.
Risk: hazard

Pilot suggested action: STOP",
combined_enhanced,gpt4o,person_near,hazard,3,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",uncertain (a person standing very close t),unknown,0.1176,caution,0,4,1,1,0,1,1,47,2627.8,402,62,0.00294,"Description: The image shows a person standing in an indoor space with a chair and some furniture in the background. The person appears to be leaning forward slightly.
Proximity: The person is relatively close to the camera, likely within 1 meter.
Risk: Caution
Pilot suggested action: SLOW_DOWN",
combined_enhanced,gpt4o_mini,person_near,hazard,3,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",uncertain (a person standing very close t),unknown,0.1176,caution,0,4,1,1,0,1,1,77,2489.0,3169,102,0.000537,"Description: The image shows a person bending forward in a room with a chair in the background. The YOLO detection estimates a distance of approximately 0.31m for the person, which seems inaccurate as they appear to be much closer than that. The CLIP label indicates uncertainty about the scene, which aligns with the visual ambiguity. 

Proximity: The person appears to be very close, likely within 1 meter based on visual assessment. 

Risk: caution  
Pilot suggested action: SLOW_DOWN",
combined_enhanced,gemini,person_near,hazard,3,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",uncertain (a person standing very close t),unknown,0.1176,hazard,1,5,1,1,1,1,1,70,1914.9,606,92,7.3e-05,"Description: The image shows a person standing in what appears to be an indoor setting, possibly a workshop or storage area, with a white plastic chair visible to the left. The person is facing the camera and appears to be relatively close. The YOLO estimated distance for the person (0.31m) seems plausible given their size in the frame.
Proximity: Very close (within 1 meter)
Risk: hazard
Pilot suggested action: STOP",
combined_enhanced,claude,person_near,hazard,4,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",uncertain (a person standing very close t),unknown,0.1176,hazard,1,5,1,1,1,1,1,82,4950.1,492,124,0.003336,"Description: A person is leaning forward aggressively toward the camera in what appears to be an indoor workspace, with a white chair visible to the left. The YOLO estimated distance of ~0.31m appears consistent with the visual — the person's large bounding box and close framing confirm they are very near the drone.

Proximity: Extremely close, likely under 0.5m based on how large the person appears in frame and their forward-leaning posture directly toward the camera/drone.

Risk: hazard

Pilot suggested action: STOP",
combined_enhanced,gpt4o,person_near,hazard,4,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",uncertain (a person standing very close t),unknown,0.1176,caution,0,4,1,1,0,1,1,47,2865.6,402,62,0.00294,"Description: The image shows a person standing in an indoor space with a chair and some furniture in the background. The person appears to be leaning forward slightly.
Proximity: The person is relatively close to the camera, likely within 1 meter.
Risk: Caution
Pilot suggested action: SLOW_DOWN",
combined_enhanced,gpt4o_mini,person_near,hazard,4,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",uncertain (a person standing very close t),unknown,0.1176,caution,0,4,1,1,0,1,1,68,2459.4,3169,92,0.000531,"Description: The image shows a person standing in a room with a chair visible in the background. The YOLO detection estimates a distance of approximately 0.31m for the person, which seems inaccurate as they appear to be standing much closer than that. The CLIP label indicates uncertainty about the scene.  
Proximity: The person appears to be very close, likely within 1 meter.  
Risk: caution  
Pilot suggested action: SLOW_DOWN",
combined_enhanced,gemini,person_near,hazard,4,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",uncertain (a person standing very close t),unknown,0.1176,hazard,1,5,1,1,1,1,1,77,2033.3,606,97,7.5e-05,"Description: The image shows a person standing in what appears to be an indoor setting, possibly a workshop or storage area, with a white plastic chair visible to the left. The person is facing the camera and appears to be looking down or bending forward slightly. The YOLO estimate for the person's distance seems plausible given their size in the frame.
Proximity: The person is very close, likely within 1-2 meters.
Risk: hazard
Pilot suggested action: STOP",
combined_enhanced,claude,person_near,hazard,5,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",uncertain (a person standing very close t),unknown,0.1176,hazard,1,5,1,1,1,1,1,103,5239.4,492,154,0.003786,"Description: A person is leaning forward aggressively toward the camera in what appears to be an indoor workspace/workshop environment, with a white plastic chair visible to the left. The person's large bounding box and forward-leaning posture suggest they are very close to the drone, consistent with YOLO's ~0.31m estimate, though visually they appear to occupy most of the frame suggesting extreme proximity.

Proximity: Extremely close — the person fills the majority of the frame and is leaning directly toward the camera, indicating they are likely within 0.5–1m at most, possibly closer than the YOLO advisory estimate suggests.

Risk: hazard

Pilot suggested action: STOP",
combined_enhanced,gpt4o,person_near,hazard,5,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",uncertain (a person standing very close t),unknown,0.1176,caution,0,4,1,1,0,1,1,49,2559.3,402,64,0.00297,"Description: The image shows a person standing in an indoor space with a chair and some furniture in the background. The person appears to be leaning forward slightly.
Proximity: The person is very close to the camera, likely less than 0.5 meters away.
Risk: Caution
Pilot suggested action: HOLD",
combined_enhanced,gpt4o_mini,person_near,hazard,5,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",uncertain (a person standing very close t),unknown,0.1176,caution,0,4,1,1,0,1,1,60,2262.3,3169,84,0.000526,"Description: The image shows a person standing in a room with a chair visible in the background. The YOLO detection estimates a distance of approximately 0.31m for the person, which seems inconsistent with the visual evidence, as the person appears to be further away than that. 

Proximity: Approximately 1-2 meters based on visual assessment. 

Risk: caution  
Pilot suggested action: SLOW_DOWN",
combined_enhanced,gemini,person_near,hazard,5,yolo-world,"YOLO detections: chair (conf=0.65, est_dist~0.75m [advisory], bbox=[49.9,139.9,112.4,235.7]); person (conf=0.41, est_dist~0.31m [advisory], bbox=[132.4,4.3,245.2,239.9])",uncertain (a person standing very close t),unknown,0.1176,hazard,1,5,1,1,1,1,1,70,2146.3,606,92,7.3e-05,"Description: The image shows a person standing in what appears to be an indoor setting, possibly a workshop or storage area, with a white plastic chair visible to the left. The person is facing the camera and appears to be relatively close. The YOLO estimated distance for the person (0.31m) seems plausible given their size in the frame.
Proximity: Very close (within 1 meter)
Risk: hazard
Pilot suggested action: STOP",
yolo_enhanced_only,yolo_enhanced,wall_close,hazard,1,yolo-world,"YOLO detections: wall (conf=0.49, est_dist~0.3m [advisory], bbox=[0.4,0.1,319.8,239.6])",uncertain (a wall directly blocking and f),unknown,0.1174,hazard,1,1,0,0,1,0,0,0,56.46,0,0,0.0,,
yolo_enhanced_only,yolo_enhanced,wall_close,hazard,2,yolo-world,"YOLO detections: wall (conf=0.49, est_dist~0.3m [advisory], bbox=[0.4,0.1,319.8,239.6])",uncertain (a wall directly blocking and f),unknown,0.1174,hazard,1,1,0,0,1,0,0,0,56.75,0,0,0.0,,
yolo_enhanced_only,yolo_enhanced,wall_close,hazard,3,yolo-world,"YOLO detections: wall (conf=0.49, est_dist~0.3m [advisory], bbox=[0.4,0.1,319.8,239.6])",uncertain (a wall directly blocking and f),unknown,0.1174,hazard,1,1,0,0,1,0,0,0,59.15,0,0,0.0,,
yolo_enhanced_only,yolo_enhanced,wall_close,hazard,4,yolo-world,"YOLO detections: wall (conf=0.49, est_dist~0.3m [advisory], bbox=[0.4,0.1,319.8,239.6])",uncertain (a wall directly blocking and f),unknown,0.1174,hazard,1,1,0,0,1,0,0,0,58.75,0,0,0.0,,
yolo_enhanced_only,yolo_enhanced,wall_close,hazard,5,yolo-world,"YOLO detections: wall (conf=0.49, est_dist~0.3m [advisory], bbox=[0.4,0.1,319.8,239.6])",uncertain (a wall directly blocking and f),unknown,0.1174,hazard,1,1,0,0,1,0,0,0,58.82,0,0,0.0,,
llm_only,claude,wall_close,hazard,1,,,,,0.0,hazard,1,5,1,1,1,1,1,66,4282.1,274,99,0.002307,"Description: The image shows a nearly blank, light gray surface — likely a wall or ceiling viewed at close range. The image is very low contrast and blurry with minimal distinguishable features.
Proximity: The drone appears to be very close to a flat surface (wall or ceiling), possibly within 0.5–1 meter based on the uniform, featureless fill of the frame.
Risk: hazard
Pilot suggested action: STOP",
llm_only,gpt4o,wall_close,hazard,1,,,,,0.0,caution,0,4,1,1,0,1,1,33,2455.7,207,45,0.00171,"Description: The image appears to be very dark or possibly blocked, showing no discernible objects or features.
Proximity: Unable to estimate due to lack of visible objects.
Risk: Caution
Pilot suggested action: HOLD",
llm_only,gpt4o_mini,wall_close,hazard,1,,,,,0.0,safe,0,4,1,1,0,1,1,27,1740.9,2974,42,0.000471,"Description: The image shows a blank, well-lit surface with no visible objects or features.  
Proximity: No objects or persons are visible.  
Risk: safe  
Pilot suggested action: PROCEED",
llm_only,gemini,wall_close,hazard,1,,,,,0.0,caution,0,4,1,1,0,1,1,37,4002.6,398,55,4.6e-05,"Description: The image is mostly white with a slight gradient, suggesting a very bright, possibly overexposed, or blank scene. There are no discernible objects or features.
Proximity: N/A (No objects visible)
Risk: caution
Pilot suggested action: HOLD",
llm_only,claude,wall_close,hazard,2,,,,,0.0,hazard,1,5,1,1,1,1,1,70,4397.8,274,95,0.002247,"Description: The image shows a nearly featureless, light gray surface — likely a blank wall or ceiling very close to the drone's camera, with a dark edge visible at the top suggesting a border or surface boundary.
Proximity: Extremely close — the surface appears to fill almost the entire frame, suggesting an object is within centimeters to less than a meter of the lens.
Risk: hazard
Pilot suggested action: STOP",
llm_only,gpt4o,wall_close,hazard,2,,,,,0.0,caution,0,4,1,1,0,1,1,33,2352.1,207,45,0.00171,"Description: The image appears to be very dark or possibly blocked, showing no discernible objects or features.
Proximity: Unable to estimate due to lack of visible objects.
Risk: Caution
Pilot suggested action: HOLD",
llm_only,gpt4o_mini,wall_close,hazard,2,,,,,0.0,safe,0,4,1,1,0,1,1,27,1799.5,2974,42,0.000471,"Description: The image shows a blank, light-colored surface with no visible objects or features.  
Proximity: No objects or persons are visible.  
Risk: safe  
Pilot suggested action: PROCEED",
llm_only,gemini,wall_close,hazard,2,,,,,0.0,caution,0,4,1,1,0,1,1,37,2099.6,398,55,4.6e-05,"Description: The image is mostly white with a slight gradient, suggesting a very bright, possibly overexposed, or blank scene. There are no discernible objects or features.
Proximity: N/A (No objects visible)
Risk: caution
Pilot suggested action: HOLD",
llm_only,claude,wall_close,hazard,3,,,,,0.0,hazard,1,5,1,1,1,1,1,64,4194.9,274,100,0.002322,"Description: The image appears nearly blank/white with very little visible detail, suggesting the camera lens may be obscured, overexposed, or the drone is very close to a flat light-colored surface such as a wall or ceiling.
Proximity: Potentially very close to a surface — estimated within 0.5–1 meter based on the uniform, featureless white fill of the frame.
Risk: hazard
Pilot suggested action: HOLD",
llm_only,gpt4o,wall_close,hazard,3,,,,,0.0,caution,0,4,1,1,0,1,1,34,2147.4,207,46,0.001725,"Description: The image appears to be very dark or possibly blocked, with no discernible objects or features visible.
Proximity: Unable to estimate due to lack of visible objects.
Risk: Caution
Pilot suggested action: HOLD",
llm_only,gpt4o_mini,wall_close,hazard,3,,,,,0.0,caution,0,4,1,1,0,1,1,32,1843.7,2974,46,0.000474,"Description: The image shows a blank, light-colored surface with no visible objects or features.  
Proximity: No objects or persons are visible, so proximity cannot be estimated.  
Risk: caution  
Pilot suggested action: HOLD",
