scene_id,scene_label,truth,model,condition,run,quality_score,s3_risk,detected_risk,word_count,latency_ms,call2_latency_ms,input_tokens,call2_tokens,output_tokens,cost_usd,error
6,door_open,safe,claude,react_agentic,2,4,1,safe,85,13557.6,5009.3,649,462,450,0.008697,
6,door_open,safe,gpt4o,react_agentic,2,5,1,safe,64,6448.6,2047.5,579,442,386,0.008685,
6,door_open,safe,gpt4o_mini,react_agentic,2,2,1,safe,8,8601.6,1586.2,3286,382,260,0.000649,
6,door_open,safe,gemini,react_agentic,2,1,0,caution,6,4406.5,1432.8,775,451,310,0.000151,
6,door_open,safe,claude,react_agentic,3,4,0,hazard,85,14418.9,4811.3,649,462,450,0.008697,
6,door_open,safe,gpt4o,react_agentic,3,4,0,hazard,64,5835.1,2275.0,512,375,323,0.007405,
6,door_open,safe,gpt4o_mini,react_agentic,3,3,1,safe,17,7577.1,1683.1,3252,348,234,0.000628,
6,door_open,safe,gemini,react_agentic,3,2,1,safe,6,4099.7,820.3,775,451,312,0.000151,
6,door_open,safe,claude,react_agentic,4,4,0,hazard,77,14202.6,4914.9,647,460,448,0.008661,
6,door_open,safe,gpt4o,react_agentic,4,3,0,caution,91,6604.9,2921.1,525,388,359,0.00801,
6,door_open,safe,gpt4o_mini,react_agentic,4,2,1,safe,8,9161.8,1330.7,3293,389,266,0.000654,
6,door_open,safe,gemini,react_agentic,4,1,0,caution,6,3851.2,869.5,775,451,310,0.000151,
6,door_open,safe,claude,react_agentic,5,4,1,safe,80,13865.8,4946.8,647,460,450,0.008691,
6,door_open,safe,gpt4o,react_agentic,5,5,1,safe,76,6594.0,2355.1,517,380,340,0.007685,
6,door_open,safe,gpt4o_mini,react_agentic,5,2,1,safe,8,9011.0,1843.7,3295,391,269,0.000655,
6,door_open,safe,gemini,react_agentic,5,1,0,caution,6,4121.2,1147.6,775,451,310,0.000151,
