scene_id,scene_label,truth,model,run,quality_score,s1_scene,s2_proximity,s3_risk,s4_length,s5_pilot_action,detected_risk,detected_action,word_count,latency_ms,input_tokens,output_tokens,cost_usd,error
4,dim_light,caution,claude,2,5,1,1,1,1,1,caution,SLOW_DOWN,114,7782.7,297,178,0.003561,
4,dim_light,caution,gpt4o,2,5,1,1,1,1,1,caution,SLOW_DOWN,36,3712.7,226,51,0.001895,
4,dim_light,caution,gpt4o_mini,2,5,1,1,1,1,1,caution,SLOW_DOWN,63,3043.0,2993,80,0.000497,
4,dim_light,caution,gemini,2,4,1,1,0,1,1,safe,PROCEED,62,2768.1,415,80,5.5e-05,
4,dim_light,caution,claude,3,4,1,1,0,1,1,hazard,SLOW_DOWN,120,7585.2,297,183,0.003636,
4,dim_light,caution,gpt4o,3,5,1,1,1,1,1,caution,SLOW_DOWN,42,2970.4,226,58,0.002,
4,dim_light,caution,gpt4o_mini,3,5,1,1,1,1,1,caution,SLOW_DOWN,54,3060.7,2993,72,0.000492,
4,dim_light,caution,gemini,3,5,1,1,1,1,1,caution,SLOW_DOWN,56,2870.2,415,73,5.3e-05,
4,dim_light,caution,claude,4,5,1,1,1,1,1,caution,SLOW_DOWN,117,6945.3,297,172,0.003471,
4,dim_light,caution,gpt4o,4,5,1,1,1,1,1,caution,SLOW_DOWN,56,4518.3,226,72,0.00221,
4,dim_light,caution,gpt4o_mini,4,5,1,1,1,1,1,caution,SLOW_DOWN,63,2960.5,2993,78,0.000496,
4,dim_light,caution,gemini,4,5,1,1,1,1,1,caution,SLOW_DOWN,72,3110.9,415,89,5.8e-05,
4,dim_light,caution,claude,5,4,1,1,0,1,1,hazard,SLOW_DOWN,112,7833.6,297,164,0.003351,
4,dim_light,caution,gpt4o,5,5,1,1,1,1,1,caution,SLOW_DOWN,55,3678.9,226,72,0.00221,
4,dim_light,caution,gpt4o_mini,5,5,1,1,1,1,1,caution,SLOW_DOWN,52,4108.6,2993,66,0.000489,
4,dim_light,caution,gemini,5,5,1,1,1,1,1,caution,SLOW_DOWN,74,3573.8,415,94,5.9e-05,
5,cluttered,caution,claude,1,5,1,1,1,1,1,caution,SLOW_DOWN,124,6747.6,297,186,0.003681,
5,cluttered,caution,gpt4o,1,5,1,1,1,1,1,caution,SLOW_DOWN,59,5120.2,226,77,0.002285,
5,cluttered,caution,gpt4o_mini,1,5,1,1,1,1,1,caution,SLOW_DOWN,70,2983.4,2993,87,0.000501,
5,cluttered,caution,gemini,1,5,1,1,1,1,1,caution,SLOW_DOWN,44,2921.0,415,61,4.9e-05,
5,cluttered,caution,claude,2,4,1,1,0,1,1,hazard,LAND,141,7175.0,297,216,0.004131,
5,cluttered,caution,gpt4o,2,4,1,1,0,1,1,safe,PROCEED,45,5116.9,226,60,0.00203,
5,cluttered,caution,gpt4o_mini,2,4,1,1,0,1,1,safe,PROCEED,45,2562.1,2993,60,0.000485,
5,cluttered,caution,gemini,2,4,1,1,0,1,1,safe,PROCEED,56,2710.7,415,72,5.3e-05,
5,cluttered,caution,claude,3,4,1,1,0,1,1,hazard,LAND,126,7165.3,297,185,0.003666,
5,cluttered,caution,gpt4o,3,4,1,1,0,1,1,safe,PROCEED,41,3478.8,226,55,0.001955,
5,cluttered,caution,gpt4o_mini,3,4,1,1,0,1,1,safe,PROCEED,48,2252.5,2993,65,0.000488,
5,cluttered,caution,gemini,3,5,1,1,1,1,1,caution,HOLD,46,2799.5,415,66,5.1e-05,
5,cluttered,caution,claude,4,4,1,1,0,1,1,hazard,LAND,98,5345.1,297,138,0.002961,
5,cluttered,caution,gpt4o,4,4,1,1,0,1,1,safe,PROCEED,45,2946.6,226,59,0.002015,
5,cluttered,caution,gpt4o_mini,4,4,1,1,0,1,1,safe,PROCEED,45,2354.8,2993,60,0.000485,
5,cluttered,caution,gemini,4,5,1,1,1,1,1,caution,SLOW_DOWN,51,3075.6,415,73,5.3e-05,
5,cluttered,caution,claude,5,4,1,1,0,1,1,hazard,LAND,140,7380.5,297,201,0.003906,
5,cluttered,caution,gpt4o,5,4,1,1,0,1,1,safe,HOLD,52,3521.0,226,65,0.002105,
5,cluttered,caution,gpt4o_mini,5,4,1,1,0,1,1,safe,PROCEED,48,2415.2,2993,66,0.000489,
5,cluttered,caution,gemini,5,4,1,1,0,1,1,safe,PROCEED,72,2666.2,415,93,5.9e-05,
6,door_open,safe,claude,1,4,1,1,0,1,1,caution,SLOW_DOWN,105,5840.3,331,150,0.003243,
6,door_open,safe,gpt4o,1,4,0,1,1,1,1,safe,PROCEED,44,2663.1,258,62,0.00222,
6,door_open,safe,gpt4o_mini,1,5,1,1,1,1,1,safe,PROCEED,38,2559.8,3025,55,0.000487,
6,door_open,safe,gemini,1,4,1,1,0,1,1,caution,SLOW_DOWN,49,2869.7,458,70,5.5e-05,
6,door_open,safe,claude,2,4,1,1,0,1,1,caution,SLOW_DOWN,126,6966.1,297,189,0.003726,
6,door_open,safe,gpt4o,2,5,1,1,1,1,1,safe,PROCEED,48,3020.6,226,62,0.00206,
6,door_open,safe,gpt4o_mini,2,5,1,1,1,1,1,safe,PROCEED,51,2525.0,2993,69,0.00049,
6,door_open,safe,gemini,2,5,1,1,1,1,1,safe,PROCEED,58,3158.8,415,74,5.3e-05,
6,door_open,safe,claude,3,4,1,1,0,1,1,caution,SLOW_DOWN,105,5899.9,297,157,0.003246,
6,door_open,safe,gpt4o,3,5,1,1,1,1,1,safe,PROCEED,53,3707.5,226,67,0.002135,
6,door_open,safe,gpt4o_mini,3,5,1,1,1,1,1,safe,PROCEED,47,2785.8,2993,62,0.000486,
6,door_open,safe,gemini,3,5,1,1,1,1,1,safe,PROCEED,52,2561.8,415,72,5.3e-05,
6,door_open,safe,claude,4,4,1,1,0,1,1,caution,SLOW_DOWN,128,6669.8,297,186,0.003681,
6,door_open,safe,gpt4o,4,5,1,1,1,1,1,safe,PROCEED,51,2707.1,226,67,0.002135,
6,door_open,safe,gpt4o_mini,4,5,1,1,1,1,1,safe,PROCEED,58,2514.5,2993,79,0.000496,
6,door_open,safe,gemini,4,5,1,1,1,1,1,safe,PROCEED,77,2469.8,415,96,6e-05,
6,door_open,safe,claude,5,4,1,1,0,1,1,hazard,SLOW_DOWN,107,6310.6,297,160,0.003291,
6,door_open,safe,gpt4o,5,5,1,1,1,1,1,safe,PROCEED,59,3584.1,226,74,0.00224,
6,door_open,safe,gpt4o_mini,5,5,1,1,1,1,1,safe,PROCEED,61,3171.6,2993,78,0.000496,
6,door_open,safe,gemini,5,5,1,1,1,1,1,safe,PROCEED,60,2663.5,415,85,5.7e-05,
7,person_far,safe,claude,1,4,1,1,0,1,1,caution,SLOW_DOWN,122,6462.7,297,185,0.003666,
7,person_far,safe,gpt4o,1,5,1,1,1,1,1,safe,PROCEED,54,5424.8,226,68,0.00215,
7,person_far,safe,gpt4o_mini,1,5,1,1,1,1,1,safe,PROCEED,60,2539.5,2993,77,0.000495,
7,person_far,safe,gemini,1,5,1,1,1,1,1,safe,PROCEED,60,2516.7,415,79,5.5e-05,
7,person_far,safe,claude,2,4,1,1,0,1,1,hazard,STOP,114,6471.2,331,176,0.003633,
7,person_far,safe,gpt4o,2,4,1,1,0,1,1,caution,HOLD,40,2565.7,258,53,0.002085,
7,person_far,safe,gpt4o_mini,2,4,1,1,0,1,1,caution,SLOW_DOWN,45,2937.3,3025,62,0.000491,
7,person_far,safe,gemini,2,4,1,1,0,1,1,hazard,STOP,44,3011.8,455,60,5.2e-05,
7,person_far,safe,claude,3,4,1,1,0,1,1,caution,SLOW_DOWN,134,7475.3,297,199,0.003876,
7,person_far,safe,gpt4o,3,4,1,1,0,1,1,caution,SLOW_DOWN,41,2557.8,226,55,0.001955,
7,person_far,safe,gpt4o_mini,3,4,1,1,0,1,1,caution,SLOW_DOWN,50,2559.3,2993,63,0.000487,
7,person_far,safe,gemini,3,4,1,1,0,1,1,caution,SLOW_DOWN,59,2718.4,415,81,5.5e-05,
7,person_far,safe,claude,4,4,1,1,0,1,1,caution,SLOW_DOWN,115,6668.0,331,185,0.003768,
7,person_far,safe,gpt4o,4,4,1,1,0,1,1,caution,SLOW_DOWN,52,4196.6,258,71,0.002355,
7,person_far,safe,gpt4o_mini,4,4,1,1,0,1,1,caution,SLOW_DOWN,46,2479.7,3025,64,0.000492,
7,person_far,safe,gemini,4,5,1,1,1,1,1,safe,PROCEED,91,2949.4,457,116,6.9e-05,
7,person_far,safe,claude,5,4,1,1,0,1,1,caution,SLOW_DOWN,127,7038.2,297,188,0.003711,
7,person_far,safe,gpt4o,5,4,1,1,0,1,1,caution,SLOW_DOWN,53,2452.6,226,72,0.00221,
7,person_far,safe,gpt4o_mini,5,4,1,1,0,1,1,caution,SLOW_DOWN,47,2523.1,2993,66,0.000489,
7,person_far,safe,gemini,5,4,1,1,0,1,1,caution,SLOW_DOWN,54,2968.2,415,74,5.3e-05,
8,blocked_lens,hazard,claude,1,4,1,1,0,1,1,caution,SLOW_DOWN,100,7887.8,331,163,0.003438,
8,blocked_lens,hazard,gpt4o,1,4,1,1,0,1,1,safe,PROCEED,42,4195.6,258,58,0.00216,
8,blocked_lens,hazard,gpt4o_mini,1,4,1,1,0,1,1,caution,SLOW_DOWN,53,2662.6,3025,72,0.000497,
8,blocked_lens,hazard,gemini,1,4,1,1,0,1,1,caution,SLOW_DOWN,61,5074.9,457,82,5.9e-05,
8,blocked_lens,hazard,claude,2,4,1,1,0,1,1,caution,HOLD,99,6553.0,297,161,0.003306,
8,blocked_lens,hazard,gpt4o,2,4,1,1,0,1,1,safe,PROCEED,39,2511.9,226,52,0.00191,
8,blocked_lens,hazard,gpt4o_mini,2,4,1,1,0,1,1,safe,PROCEED,35,2605.4,2993,49,0.000478,
8,blocked_lens,hazard,gemini,2,4,1,1,0,1,1,safe,PROCEED,61,3971.4,415,81,5.5e-05,
8,blocked_lens,hazard,claude,3,5,1,1,1,1,1,hazard,STOP,128,7384.6,331,203,0.004038,
8,blocked_lens,hazard,gpt4o,3,4,1,1,0,1,1,caution,HOLD,34,2455.0,258,52,0.00207,
8,blocked_lens,hazard,gpt4o_mini,3,4,1,1,0,1,1,caution,SLOW_DOWN,43,2680.6,3025,62,0.000491,
8,blocked_lens,hazard,gemini,3,5,1,1,1,1,1,hazard,STOP,83,3011.3,454,103,6.5e-05,
8,blocked_lens,hazard,claude,4,5,1,1,1,1,1,hazard,LAND,104,7795.6,297,153,0.003186,
8,blocked_lens,hazard,gpt4o,4,5,1,1,1,1,1,hazard,HOLD,34,4093.1,226,44,0.00179,
8,blocked_lens,hazard,gpt4o_mini,4,4,1,1,0,1,1,safe,PROCEED,30,2833.0,2993,44,0.000475,
8,blocked_lens,hazard,gemini,4,5,1,1,1,1,1,hazard,LAND,36,3108.9,415,50,4.6e-05,
8,blocked_lens,hazard,claude,5,4,1,1,0,1,1,caution,SLOW_DOWN,141,7331.2,297,203,0.003936,
8,blocked_lens,hazard,gpt4o,5,4,1,1,0,1,1,caution,HOLD,33,2504.0,226,44,0.00179,
8,blocked_lens,hazard,gpt4o_mini,5,4,1,1,0,1,1,safe,PROCEED,35,2473.3,2993,50,0.000479,
8,blocked_lens,hazard,gemini,5,4,1,1,0,1,1,caution,HOLD,31,2533.1,415,45,4.5e-05,
2,wall_close,hazard,claude,1,4,1,1,0,1,1,caution,SLOW_DOWN,124,6853.1,297,178,0.003561,
2,wall_close,hazard,gpt4o,1,4,1,1,0,1,1,safe,PROCEED,37,3485.0,226,51,0.001895,
2,wall_close,hazard,gpt4o_mini,1,4,1,1,0,1,1,safe,PROCEED,33,2536.6,2993,50,0.000479,
2,wall_close,hazard,gemini,1,4,1,1,0,1,1,caution,HOLD,34,3258.6,415,48,4.6e-05,
2,wall_close,hazard,claude,2,5,1,1,1,1,1,hazard,STOP,106,9035.0,297,141,0.003006,
2,wall_close,hazard,gpt4o,2,4,1,1,0,1,1,caution,SLOW_DOWN,38,2850.5,226,52,0.00191,
2,wall_close,hazard,gpt4o_mini,2,4,1,1,0,1,1,safe,PROCEED,55,2518.8,2993,73,0.000493,
2,wall_close,hazard,gemini,2,4,1,1,0,1,1,caution,SLOW_DOWN,64,2920.6,415,90,5.8e-05,
2,wall_close,hazard,claude,3,5,1,1,1,1,1,hazard,STOP,80,6894.4,331,125,0.002868,
2,wall_close,hazard,gpt4o,3,4,1,1,0,1,1,safe,PROCEED,38,2783.9,258,54,0.0021,
2,wall_close,hazard,gpt4o_mini,3,4,1,1,0,1,1,safe,PROCEED,45,2640.7,3025,62,0.000491,
2,wall_close,hazard,gemini,3,5,1,1,1,1,1,hazard,STOP,41,3179.4,455,61,5.2e-05,
2,wall_close,hazard,claude,4,5,1,1,1,1,1,hazard,STOP,95,5813.4,297,135,0.002916,
2,wall_close,hazard,gpt4o,4,4,1,1,0,1,1,safe,PROCEED,38,2591.5,226,51,0.001895,
2,wall_close,hazard,gpt4o_mini,4,4,1,1,0,1,1,safe,PROCEED,43,2635.1,2993,63,0.000487,
2,wall_close,hazard,gemini,4,5,1,1,1,1,1,hazard,STOP,70,2367.7,415,88,5.8e-05,
2,wall_close,hazard,claude,5,5,1,1,1,1,1,hazard,STOP,105,5429.4,297,166,0.003381,
2,wall_close,hazard,gpt4o,5,4,1,1,0,1,1,caution,HOLD,38,2257.9,226,50,0.00188,
2,wall_close,hazard,gpt4o_mini,5,4,1,1,0,1,1,safe,PROCEED,47,2242.0,2993,66,0.000489,
2,wall_close,hazard,gemini,5,4,1,1,0,1,1,safe,PROCEED,47,3484.3,415,63,5e-05,
