t_s,roll_deg,pitch_deg,roll_error_deg,pitch_error_deg
0.0,-0.028,0.108,0.0461,-0.105
0.005,-0.034,0.124,0.0283,-0.1079
0.01,-0.025,0.138,0.0344,-0.1239
0.015,-0.035,0.123,0.0248,-0.1379
0.02,-0.048,0.114,0.0353,-0.1231
0.025,-0.059,0.112,0.0485,-0.1139
0.03,-0.049,0.119,0.0586,-0.1124
0.035,-0.064,0.106,0.0488,-0.1195
0.04,-0.062,0.081,0.0642,-0.106
0.045,-0.053,0.094,0.0619,-0.0814
0.05,-0.056,0.074,0.0531,-0.0943
0.055,-0.039,0.062,0.0563,-0.0737
0.06,-0.023,0.046,0.0387,-0.0617
0.065,-0.027,0.027,0.0232,-0.0458
0.07,-0.014,0.01,0.0267,-0.0267
0.075,-0.024,-0.001,0.0135,-0.0103
0.08,-0.003,0.001,0.0244,0.0015
0.085,-0.002,0.02,0.0032,-0.0012
0.09,-0.015,0.025,0.0019,-0.0198
0.095,-0.009,0.037,0.0154,-0.0249
0.1,0.001,0.053,0.0093,-0.0375
0.105,-0.004,0.037,-0.0008,-0.0529
0.11,-0.008,0.025,0.004,-0.0367
0.115,-0.012,0.012,0.008,-0.0254
0.12,-0.024,0.001,0.0119,-0.012
0.125,-0.037,-0.002,0.0237,-0.001
0.13,-0.04,-0.02,0.0368,0.0019
0.135,-0.043,-0.002,0.0398,0.0203
0.14,-0.054,0.006,0.0431,0.0016
0.145,-0.067,-0.0,0.0541,-0.0064
0.15,-0.07,-0.014,0.0669,0.0
0.155,-0.055,0.001,0.0699,0.0144
0.16,-0.067,-0.002,0.0555,-0.0011
0.165,-0.05,-0.017,0.0668,0.0024
0.17,-0.06,-0.026,0.05,0.0167
0.175,-0.05,-0.008,0.0598,0.0258
0.18,-0.063,-0.006,0.0502,0.0081
0.185,-0.076,-0.006,0.0628,0.0064
0.19,-0.086,0.005,0.0762,0.0063
0.195,-0.094,0.017,0.0864,-0.0045
0.2,-0.095,-0.004,0.0939,-0.0168
0.205,-0.089,0.012,0.0952,0.0039
0.21,-0.091,-0.002,0.0888,-0.0116
0.215,-0.091,-0.021,0.091,0.0025
0.22,-0.08,-0.0,0.0906,0.0211
0.225,-0.087,0.012,0.0805,0.0
0.23,-0.07,0.007,0.087,-0.0122
0.235,-0.081,0.01,0.0702,-0.0071
0.24,-0.055,0.026,0.0805,-0.0105
0.245,-0.034,0.03,0.0546,-0.0261
0.25,-0.037,0.041,0.034,-0.0304
0.255,-0.027,0.029,0.0371,-0.0412
0.26,-0.04,0.026,0.0275,-0.0293
0.265,-0.056,0.027,0.0404,-0.0262
0.27,-0.07,0.027,0.0561,-0.0272
0.275,-0.084,0.027,0.0698,-0.0265
0.28,-0.078,0.035,0.0843,-0.0268
0.285,-0.091,0.026,0.0783,-0.0349
0.29,-0.109,0.022,0.0909,-0.0262
0.295,-0.117,0.005,0.1087,-0.0223
0.3,-0.123,0.017,0.1168,-0.0046
0.305,-0.113,-0.001,0.1229,-0.0166
0.31,-0.116,0.017,0.1128,0.0008
0.315,-0.101,0.0,0.1162,-0.017
0.32,-0.076,-0.005,0.1006,-0.0004
0.325,-0.054,0.001,0.0757,0.0051
0.33,-0.03,-0.008,0.0539,-0.0008
0.335,-0.008,-0.02,0.0299,0.0082
0.34,-0.018,-0.011,0.0078,0.0195
0.345,-0.007,0.004,0.0181,0.011
0.35,0.014,0.004,0.0068,-0.004
0.355,0.033,0.006,-0.014,-0.0036
0.36,0.028,0.028,-0.0326,-0.0059
0.365,0.042,0.028,-0.028,-0.0281
0.37,0.053,0.015,-0.0415,-0.0284
0.375,0.04,0.028,-0.0527,-0.015
0.38,0.044,0.007,-0.0395,-0.0284
0.385,0.034,-0.008,-0.0445,-0.0073
0.39,0.047,-0.005,-0.034,0.0076
0.395,0.063,-0.01,-0.0465,0.0049
0.4,0.062,0.003,-0.0626,0.0098
0.405,0.065,-0.017,-0.0619,-0.003
0.41,0.052,-0.006,-0.0646,0.0171
0.415,0.036,0.002,-0.0516,0.0064
0.42,0.05,-0.005,-0.0357,-0.0016
0.425,0.062,-0.005,-0.0503,0.0051
0.43,0.04,-0.006,-0.0624,0.0052
0.435,0.043,0.007,-0.0401,0.0063
0.44,0.03,-0.002,-0.0429,-0.0065
0.445,0.013,-0.01,-0.0297,0.0021
0.45,0.017,0.003,-0.0127,0.0099
0.455,0.006,-0.012,-0.0169,-0.0029
0.46,0.015,0.0,-0.0065,0.0124
0.465,0.024,-0.005,-0.0149,-0.0005
0.47,0.036,-0.011,-0.0242,0.0047
0.475,0.032,0.008,-0.0363,0.0111
0.48,0.014,0.001,-0.032,-0.0081
0.485,0.008,0.008,-0.0138,-0.0007
0.49,0.026,-0.002,-0.0078,-0.0078
0.495,0.018,-0.016,-0.0259,0.0016
0.5,0.008,-0.004,-0.0176,0.0158
0.505,0.012,-0.021,-0.0081,0.0037
0.51,0.011,-0.037,-0.0119,0.0213
0.515,0.025,-0.034,-0.0107,0.0375
0.52,0.039,-0.032,-0.0253,0.0339
0.525,0.024,-0.018,-0.0388,0.0325
0.53,0.025,-0.031,-0.0242,0.0176
0.535,0.019,-0.012,-0.025,0.0311
0.54,0.03,-0.021,-0.0188,0.0118
0.545,0.034,0.0,-0.0303,0.0213
0.55,0.03,-0.015,-0.0341,-0.0001
0.555,0.041,-0.031,-0.0305,0.0152
0.56,0.021,-0.024,-0.0411,0.0312
0.565,0.039,-0.032,-0.0212,0.0237
0.57,0.023,-0.026,-0.0389,0.0322
0.575,0.037,-0.01,-0.0233,0.0257
0.58,0.051,-0.002,-0.0374,0.0099
0.585,0.038,0.005,-0.0513,0.0022
0.59,0.035,-0.006,-0.0377,-0.0052
0.595,0.012,-0.015,-0.0347,0.0059
0.6,-0.005,-0.029,-0.0121,0.0149
0.605,0.004,-0.016,0.0047,0.029
0.61,-0.008,-0.005,-0.0043,0.0162
0.615,0.006,0.006,0.0081,0.0054
0.62,0.012,-0.01,-0.0061,-0.0063
0.625,0.027,-0.005,-0.0119,0.0104
0.63,0.043,-0.011,-0.0265,0.0047
0.635,0.066,-0.015,-0.0426,0.0109
0.64,0.081,-0.006,-0.0656,0.0148
0.645,0.1,-0.018,-0.0814,0.0057
0.65,0.09,-0.025,-0.1004,0.0175
0.655,0.09,-0.003,-0.0897,0.0247
0.66,0.098,0.012,-0.0896,0.0033
0.665,0.075,0.005,-0.098,-0.0116
0.67,0.055,-0.008,-0.0752,-0.005
0.675,0.036,0.007,-0.055,0.008
0.68,0.037,0.023,-0.0363,-0.0071
0.685,0.047,0.025,-0.0372,-0.0231
0.69,0.046,0.01,-0.0469,-0.0247
0.695,0.055,0.006,-0.0463,-0.0097
0.7,0.05,0.023,-0.0545,-0.0056
0.705,0.035,0.031,-0.0504,-0.0225
0.71,0.025,0.044,-0.035,-0.0308
0.715,0.03,0.059,-0.0246,-0.0439
0.72,0.016,0.055,-0.0296,-0.0595
0.725,0.009,0.072,-0.016,-0.0545
0.73,0.027,0.07,-0.0092,-0.0725
0.735,0.041,0.06,-0.0271,-0.0697
0.74,0.055,0.076,-0.0414,-0.0604
0.745,0.049,0.061,-0.0555,-0.0756
0.75,0.06,0.044,-0.0492,-0.0607
0.755,0.049,0.051,-0.0598,-0.0442
0.76,0.041,0.026,-0.049,-0.0512
0.765,0.046,0.036,-0.0406,-0.026
0.77,0.03,0.041,-0.0464,-0.0356
0.775,0.017,0.052,-0.0301,-0.0412
0.78,-0.003,0.056,-0.0168,-0.0525
0.785,0.0,0.068,0.0026,-0.0555
0.79,0.014,0.062,-0.0003,-0.0685
0.795,0.012,0.043,-0.0139,-0.0624
0.8,0.026,0.042,-0.0117,-0.0434
0.805,0.042,0.041,-0.0262,-0.0424
0.81,0.055,0.031,-0.0421,-0.0408
0.815,0.039,0.035,-0.0554,-0.0307
0.82,0.051,0.045,-0.0394,-0.0346
0.825,0.051,0.059,-0.0506,-0.0452
0.83,0.031,0.065,-0.0512,-0.0585
0.835,0.04,0.052,-0.0314,-0.0646
0.84,0.022,0.043,-0.0398,-0.0517
0.845,0.014,0.053,-0.0215,-0.0431
0.85,0.02,0.035,-0.0139,-0.0528
0.855,0.038,0.03,-0.0198,-0.0347
0.86,0.02,0.038,-0.0375,-0.0303
0.865,0.035,0.037,-0.0205,-0.0382
0.87,0.042,0.05,-0.0355,-0.0369
0.875,0.026,0.05,-0.0424,-0.0503
0.88,0.045,0.041,-0.026,-0.0505
0.885,0.024,0.051,-0.0445,-0.0409
0.89,0.045,0.046,-0.0241,-0.0508
0.895,0.028,0.035,-0.0445,-0.0458
0.9,0.037,0.026,-0.0278,-0.035
0.905,0.025,0.041,-0.0375,-0.0262
0.91,0.012,0.026,-0.0251,-0.0411
0.915,0.021,0.011,-0.0118,-0.0257
0.92,0.021,-0.006,-0.0213,-0.011
0.925,0.034,0.001,-0.0206,0.0056
0.93,0.038,0.013,-0.0341,-0.0015
0.935,0.028,0.022,-0.0378,-0.0129
0.94,0.037,0.036,-0.028,-0.0223
0.945,0.025,0.027,-0.0371,-0.0356
0.95,0.029,0.043,-0.0254,-0.0269
0.955,0.045,0.03,-0.0294,-0.043
0.96,0.024,0.034,-0.0447,-0.0303
0.965,0.008,0.023,-0.0243,-0.0343
0.97,0.013,0.032,-0.0085,-0.0231
0.975,0.005,0.041,-0.0129,-0.0316
0.98,-0.012,0.033,-0.0051,-0.0411
0.985,0.004,0.03,0.0116,-0.0333
0.99,0.007,0.048,-0.0042,-0.0304
0.995,0.02,0.054,-0.0067,-0.048
1.0,0.016,0.068,-0.0202,-0.0542
1.005,0.014,0.053,-0.0162,-0.0684
1.01,-0.003,0.053,-0.0141,-0.0527
1.015,-0.019,0.061,0.0032,-0.0529
1.02,-0.017,0.051,0.0193,-0.0615
1.025,-0.031,0.04,0.0174,-0.0511
1.03,-0.038,0.021,0.0311,-0.0399
1.035,-0.055,0.03,0.0378,-0.0212
1.04,-0.066,0.037,0.0546,-0.0297
1.045,-0.077,0.045,0.0659,-0.037
1.05,-0.065,0.034,0.0767,-0.0454
1.055,-0.057,0.015,0.0652,-0.0336
1.06,-0.039,0.018,0.057,-0.0145
1.065,-0.022,0.002,0.0391,-0.0178
1.07,-0.021,-0.019,0.0224,-0.002
1.075,-0.036,-0.03,0.0212,0.0189
1.08,-0.014,-0.035,0.0362,0.0302
1.085,-0.023,-0.022,0.0138,0.035
1.09,-0.016,-0.026,0.0228,0.0217
1.095,-0.011,-0.003,0.0162,0.0264
1.1,-0.02,0.011,0.0106,0.0032
1.105,0.003,0.02,0.0198,-0.0109
1.11,0.026,0.022,-0.0027,-0.0195
1.115,0.034,0.01,-0.0261,-0.0216
1.12,0.053,0.017,-0.0339,-0.0097
1.125,0.068,0.025,-0.0531,-0.0168
1.13,0.064,0.043,-0.0683,-0.0248
1.135,0.078,0.047,-0.064,-0.0426
1.14,0.083,0.058,-0.0779,-0.0469
1.145,0.093,0.065,-0.083,-0.0584
1.15,0.071,0.078,-0.0926,-0.0653
1.155,0.051,0.066,-0.0712,-0.078
1.16,0.058,0.049,-0.0506,-0.0661
1.165,0.047,0.027,-0.0577,-0.0487
1.17,0.041,0.007,-0.0469,-0.0267
1.175,0.028,0.019,-0.0408,-0.0069
1.18,0.046,0.012,-0.0277,-0.0194
1.185,0.035,-0.006,-0.0458,-0.0123
1.19,0.016,-0.015,-0.0349,0.0059
1.195,0.002,-0.011,-0.0156,0.0147
1.2,-0.015,-0.009,-0.0016,0.0109
1.205,-0.005,0.007,0.0145,0.009
1.21,0.013,0.01,0.0054,-0.0067
1.215,0.028,0.019,-0.0128,-0.0095
1.22,0.026,-0.001,-0.0281,-0.0185
1.225,0.041,0.005,-0.0263,0.0009
1.23,0.047,-0.009,-0.0406,-0.0053
1.235,0.031,-0.009,-0.0469,0.0088
1.24,0.03,0.012,-0.0314,0.0088
1.245,0.036,-0.002,-0.0303,-0.0118
1.25,0.045,0.009,-0.0362,0.0017
1.255,0.025,0.008,-0.0454,-0.0086
1.26,0.03,-0.012,-0.0254,-0.0084
1.265,0.029,-0.031,-0.0297,0.0124
1.27,0.019,-0.047,-0.0291,0.0314
1.275,0.004,-0.055,-0.0192,0.0468
1.28,0.009,-0.038,-0.0037,0.0545
1.285,0.014,-0.022,-0.0092,0.0379
1.29,-0.002,-0.013,-0.014,0.0224
1.295,0.002,0.006,0.0021,0.0135
1.3,0.019,0.011,-0.0021,-0.0056
1.305,0.036,0.022,-0.0194,-0.0109
1.31,0.049,0.009,-0.0364,-0.0216
1.315,0.035,0.021,-0.0487,-0.0091
1.32,0.045,0.033,-0.0349,-0.0214
1.325,0.059,0.047,-0.0454,-0.0328
1.33,0.073,0.054,-0.0591,-0.047
1.335,0.087,0.057,-0.0726,-0.0536
1.34,0.078,0.035,-0.0868,-0.0568
1.345,0.089,0.025,-0.0779,-0.0351
1.35,0.074,0.006,-0.089,-0.0251
1.355,0.078,0.015,-0.0744,-0.0063
1.36,0.065,0.031,-0.0781,-0.015
1.365,0.067,0.046,-0.0647,-0.031
1.37,0.06,0.035,-0.0674,-0.0462
1.375,0.065,0.048,-0.0596,-0.0345
1.38,0.043,0.049,-0.0653,-0.0482
1.385,0.048,0.065,-0.0435,-0.0487
1.39,0.044,0.048,-0.0479,-0.0652
1.395,0.057,0.062,-0.0444,-0.0484
1.4,0.049,0.041,-0.0573,-0.0615
1.405,0.033,0.035,-0.0493,-0.0409
1.41,0.049,0.028,-0.0334,-0.0354
1.415,0.067,0.017,-0.0487,-0.0283
1.42,0.049,0.007,-0.0666,-0.0172
1.425,0.062,-0.007,-0.049,-0.0075
1.43,0.04,-0.014,-0.0617,0.0072
1.435,0.044,-0.03,-0.0404,0.0141
1.44,0.041,-0.009,-0.0435,0.0298
1.445,0.04,0.008,-0.0412,0.0091
1.45,0.048,0.007,-0.0401,-0.0077
1.455,0.024,0.01,-0.0483,-0.0069
1.46,0.019,-0.003,-0.024,-0.0105
1.465,0.033,-0.006,-0.019,0.0028
1.47,0.013,-0.009,-0.0334,0.0056
1.475,0.025,0.006,-0.0135,0.0089
1.48,0.005,0.011,-0.0249,-0.0062
1.485,-0.001,-0.01,-0.0049,-0.0107
1.49,-0.014,-0.024,0.0008,0.0096
1.495,-0.031,-0.026,0.0141,0.0244
1.5,-0.032,-0.044,0.0308,0.026
1.505,-0.034,-0.031,0.0321,0.0435
1.51,-0.019,-0.036,0.0344,0.0307
1.515,-0.002,-0.028,0.0191,0.0359
1.52,-0.005,-0.042,0.0023,0.0284
1.525,-0.015,-0.032,0.005,0.0421
1.53,-0.02,-0.019,0.0155,0.0316
1.535,-0.037,-0.01,0.0199,0.0194
1.54,-0.028,-0.024,0.0373,0.0102
1.545,-0.03,-0.032,0.0278,0.0242
1.55,-0.012,-0.026,0.0299,0.0322
1.555,0.003,-0.029,0.012,0.0265
1.56,-0.015,-0.034,-0.0028,0.0288
1.565,-0.026,-0.051,0.0152,0.0336
1.57,-0.033,-0.065,0.026,0.0507
1.575,-0.049,-0.052,0.033,0.0654
1.58,-0.06,-0.037,0.0495,0.052
1.585,-0.058,-0.016,0.0597,0.0369
1.59,-0.078,-0.009,0.0578,0.0162
1.595,-0.068,0.013,0.0783,0.0089
1.6,-0.078,0.018,0.0681,-0.0129
1.605,-0.069,0.033,0.0776,-0.0183
1.61,-0.05,0.043,0.0693,-0.0329
1.615,-0.061,0.032,0.0495,-0.0431
1.62,-0.04,0.037,0.0614,-0.0322
1.625,-0.021,0.049,0.04,-0.0368
1.63,-0.019,0.069,0.0214,-0.0495
1.635,-0.003,0.071,0.0193,-0.0689
1.64,-0.001,0.05,0.0033,-0.071
1.645,-0.016,0.048,0.0006,-0.0505
1.65,-0.001,0.054,0.016,-0.0478
1.655,0.017,0.041,0.0015,-0.0538
1.66,0.01,0.024,-0.0167,-0.0408
1.665,0.014,-0.001,-0.0097,-0.0241
1.67,0.034,-0.001,-0.0144,0.0006
1.675,0.038,0.009,-0.0344,0.0013
1.68,0.026,0.024,-0.0376,-0.0093
1.685,0.022,0.008,-0.0261,-0.0238
1.69,0.008,0.018,-0.0218,-0.0084
1.695,-0.003,0.037,-0.0085,-0.0177
1.7,0.01,0.042,0.0034,-0.0373
1.705,-0.009,0.042,-0.0096,-0.0422
1.71,-0.014,0.024,0.0092,-0.0421
1.715,-0.015,0.043,0.0143,-0.0243
1.72,-0.027,0.025,0.0155,-0.0429
1.725,-0.034,0.006,0.0271,-0.0246
1.73,-0.039,-0.012,0.034,-0.0059
1.735,-0.06,-0.013,0.0393,0.012
1.74,-0.047,-0.026,0.0602,0.0127
1.745,-0.045,-0.008,0.0469,0.0256
1.75,-0.035,-0.022,0.0446,0.0084
1.755,-0.013,-0.032,0.035,0.0223
1.76,0.003,-0.033,0.0133,0.0317
1.765,-0.011,-0.023,-0.003,0.0328
1.77,0.011,-0.019,0.0108,0.0229
1.775,0.022,-0.028,-0.0106,0.0193
1.78,0.02,-0.005,-0.0221,0.0275
1.785,0.034,0.015,-0.02,0.0051
1.79,0.051,0.01,-0.0342,-0.0148
1.795,0.036,0.015,-0.0512,-0.0097
1.8,0.018,-0.003,-0.0364,-0.015
1.805,0.01,-0.014,-0.0182,0.0031
1.81,0.027,-0.006,-0.0096,0.0141
1.815,0.008,-0.005,-0.0274,0.006
1.82,-0.004,-0.014,-0.0079,0.0054
1.825,0.004,-0.002,0.0041,0.0141
1.83,-0.002,-0.014,-0.0037,0.0016
1.835,-0.022,-0.013,0.0023,0.0136
1.84,-0.027,-0.032,0.0221,0.0128
1.845,-0.031,-0.018,0.027,0.0319
1.85,-0.036,-0.002,0.0308,0.0181
1.855,-0.037,0.014,0.0357,0.002
1.86,-0.052,0.028,0.0371,-0.0144
1.865,-0.051,0.012,0.0524,-0.0283
1.87,-0.044,0.03,0.051,-0.0122
1.875,-0.029,0.031,0.044,-0.0295
1.88,-0.012,0.035,0.029,-0.0311
1.885,-0.016,0.048,0.0115,-0.0354
1.89,-0.016,0.06,0.0161,-0.048
1.895,-0.027,0.071,0.0165,-0.06
1.9,-0.006,0.072,0.0275,-0.071
1.905,-0.018,0.062,0.0058,-0.0723
1.91,-0.017,0.072,0.0183,-0.0618
1.915,-0.021,0.054,0.0172,-0.0725
1.92,-0.022,0.037,0.0214,-0.0541
1.925,-0.013,0.051,0.0217,-0.0369
1.93,0.003,0.043,0.013,-0.0511
1.935,-0.01,0.034,-0.0029,-0.0435
1.94,-0.004,0.014,0.0096,-0.0345
1.945,0.014,0.019,0.0039,-0.0135
1.95,-0.003,0.016,-0.014,-0.0188
1.955,-0.021,0.013,0.0031,-0.0162
1.96,-0.038,0.016,0.0212,-0.0132
1.965,-0.05,0.007,0.0381,-0.0159
1.97,-0.063,0.022,0.0504,-0.0068
1.975,-0.066,0.009,0.0625,-0.0222
1.98,-0.07,0.025,0.0659,-0.0095
1.985,-0.081,0.041,0.0705,-0.0253
1.99,-0.078,0.023,0.0815,-0.0405
1.995,-0.08,0.038,0.0779,-0.0235
2.0,-0.084,0.019,0.0802,-0.0384
2.005,-0.033,0.01,10.0838,-0.0185
2.01,0.043,0.007,10.0326,-0.0097
2.015,0.185,0.004,9.957,-0.0067
2.02,0.426,-0.02,9.8146,-0.0042
2.025,0.772,-0.021,9.5738,0.0198
2.03,1.155,-0.039,9.2281,0.0215
2.035,1.589,-0.034,8.8452,0.0391
2.04,2.083,-0.038,8.4114,0.034
2.045,2.561,-0.04,7.9175,0.0381
2.05,3.047,-0.047,7.4388,0.0398
2.055,3.507,-0.053,6.9534,0.0468
2.06,3.934,-0.051,6.4929,0.0527
2.065,4.315,-0.048,6.0657,0.0512
2.07,4.643,-0.052,5.6848,0.048
2.075,4.924,-0.062,5.3573,0.052
2.08,5.145,-0.066,5.0758,0.0618
2.085,5.323,-0.061,4.8551,0.066
2.09,5.459,-0.053,4.6767,0.0613
2.095,5.563,-0.047,4.5407,0.0534
2.1,5.647,-0.042,4.4369,0.0466
2.105,5.724,-0.036,4.3525,0.0421
2.11,5.797,-0.044,4.2755,0.0364
2.115,5.874,-0.051,4.2034,0.0444
2.12,5.962,-0.053,4.1263,0.0507
2.125,6.062,-0.06,4.0384,0.0531
2.13,6.175,-0.061,3.9378,0.0598
2.135,6.306,-0.052,3.8249,0.0608
2.14,6.447,-0.049,3.6942,0.0523
2.145,6.597,-0.041,3.5529,0.049
2.15,6.756,-0.037,3.4033,0.0409
2.155,6.91,-0.033,3.2445,0.037
2.16,7.06,-0.029,3.0898,0.0331
2.165,7.206,-0.031,2.9397,0.0285
2.17,7.341,-0.029,2.7938,0.0306
2.175,7.469,-0.028,2.6593,0.0287
2.18,7.58,-0.035,2.5307,0.0282
2.185,7.683,-0.032,2.4201,0.0352
2.19,7.77,-0.029,2.3172,0.0324
2.195,7.851,-0.034,2.23,0.0294
2.2,7.911,-0.033,2.149,0.0341
2.205,7.972,-0.032,2.0888,0.0328
2.21,8.026,-0.032,2.0283,0.0321
2.215,8.068,-0.03,1.9743,0.0322
2.22,8.114,-0.029,1.9316,0.0304
2.225,8.159,-0.032,1.8863,0.0291
2.23,8.201,-0.027,1.8414,0.0318
2.235,8.248,-0.023,1.7988,0.0272
2.24,8.295,-0.021,1.7517,0.0233
2.245,8.345,-0.021,1.7054,0.0213
2.25,8.398,-0.018,1.6548,0.0211
2.255,8.446,-0.018,1.6019,0.0177
2.26,8.501,-0.018,1.5544,0.0182
2.265,8.555,-0.018,1.4989,0.0179
2.27,8.608,-0.011,1.4453,0.0183
2.275,8.66,-0.017,1.3922,0.0109
2.28,8.708,-0.016,1.3398,0.0171
2.285,8.753,-0.018,1.2923,0.0163
2.29,8.791,-0.015,1.2473,0.0177
2.295,8.828,-0.012,1.2094,0.0154
2.3,8.859,-0.012,1.1715,0.0124
2.305,8.886,-0.011,1.1413,0.0117
2.31,8.913,-0.011,1.1139,0.0114
2.315,8.936,-0.011,1.0867,0.0112
2.32,8.956,-0.014,1.0639,0.0105
2.325,8.974,-0.012,1.0438,0.0137
2.33,8.996,-0.012,1.0257,0.0122
2.335,9.017,-0.01,1.0044,0.0119
2.34,9.036,-0.009,0.9828,0.01
2.345,9.065,-0.017,0.9635,0.0087
2.35,9.085,-0.02,0.9348,0.0166
2.355,9.112,-0.026,0.9149,0.02
2.36,9.137,-0.031,0.8879,0.0265
2.365,9.164,-0.029,0.8627,0.0311
2.37,9.19,-0.028,0.8363,0.0288
2.375,9.211,-0.027,0.8096,0.0283
2.38,9.228,-0.028,0.7887,0.0273
2.385,9.247,-0.029,0.7724,0.0284
2.39,9.265,-0.023,0.7528,0.0288
2.395,9.281,-0.023,0.7353,0.0229
2.4,9.294,-0.027,0.719,0.0227
2.405,9.301,-0.021,0.7062,0.0272
2.41,9.309,-0.02,0.6993,0.0211
2.415,9.317,-0.014,0.6911,0.02
2.42,9.327,-0.012,0.6835,0.0139
2.425,9.332,-0.013,0.6731,0.0119
2.43,9.339,-0.012,0.6676,0.0125
2.435,9.347,-0.008,0.6608,0.0122
2.44,9.357,-0.008,0.6526,0.0079
2.445,9.37,-0.009,0.6433,0.0075
2.45,9.378,-0.007,0.6298,0.0089
2.455,9.392,-0.006,0.6218,0.0065
2.46,9.408,-0.007,0.6081,0.0058
2.465,9.42,-0.01,0.5922,0.0072
2.47,9.439,-0.012,0.5802,0.0103
2.475,9.448,-0.009,0.5614,0.012
2.48,9.456,-0.009,0.5515,0.0093
2.485,9.464,-0.013,0.5441,0.009
2.49,9.469,-0.015,0.5355,0.0134
2.495,9.48,-0.021,0.5306,0.0152
2.5,9.488,-0.023,0.5199,0.0206
2.505,9.49,-0.027,0.5121,0.0225
2.51,9.492,-0.022,0.5098,0.0271
2.515,9.499,-0.021,0.5081,0.022
2.52,9.504,-0.023,0.5006,0.0214
2.525,9.514,-0.026,0.496,0.0228
2.53,9.521,-0.025,0.486,0.0256
2.535,9.526,-0.022,0.4793,0.0252
2.54,9.535,-0.017,0.4737,0.0219
2.545,9.542,-0.017,0.4649,0.0169
2.55,9.547,-0.016,0.4581,0.0169
2.555,9.559,-0.022,0.4526,0.016
2.56,9.563,-0.015,0.4409,0.0216
2.565,9.562,-0.015,0.4372,0.0152
2.57,9.566,-0.018,0.4384,0.0153
2.575,9.571,-0.015,0.4342,0.0179
2.58,9.573,-0.02,0.4292,0.0146
2.585,9.571,-0.027,0.4269,0.0196
2.59,9.573,-0.035,0.4288,0.0268
2.595,9.57,-0.047,0.4268,0.0349
2.6,9.57,-0.046,0.4296,0.0466
2.605,9.572,-0.05,0.4299,0.0456
2.61,9.571,-0.051,0.4283,0.05
2.615,9.58,-0.047,0.4289,0.0509
2.62,9.582,-0.054,0.4198,0.0473
2.625,9.588,-0.051,0.4176,0.0542
2.63,9.589,-0.042,0.4123,0.0513
2.635,9.588,-0.039,0.4109,0.0424
2.64,9.591,-0.037,0.4118,0.0388
2.645,9.593,-0.037,0.4087,0.0373
2.65,9.593,-0.03,0.4068,0.0371
2.655,9.591,-0.027,0.4069,0.0299
2.66,9.591,-0.026,0.4091,0.0275
2.665,9.592,-0.022,0.4094,0.0258
2.67,9.598,-0.026,0.4082,0.0223
2.675,9.598,-0.03,0.4025,0.0257
2.68,9.6,-0.026,0.4023,0.0299
2.685,9.6,-0.03,0.4002,0.0262
2.69,9.603,-0.028,0.4004,0.0297
2.695,9.598,-0.029,0.3973,0.0279
2.7,9.598,-0.033,0.4018,0.0294
2.705,9.598,-0.033,0.4024,0.0329
2.71,9.597,-0.034,0.4019,0.0328
2.715,9.6,-0.025,0.403,0.0336
2.72,9.604,-0.025,0.3997,0.0248
2.725,9.605,-0.026,0.3961,0.025
2.73,9.614,-0.019,0.3949,0.0263
2.735,9.62,-0.019,0.3859,0.0185
2.74,9.622,-0.019,0.3798,0.0192
2.745,9.628,-0.011,0.3777,0.0187
2.75,9.623,-0.008,0.3715,0.011
2.755,9.624,-0.01,0.3766,0.0077
2.76,9.624,-0.013,0.3763,0.01
2.765,9.621,-0.013,0.3765,0.0129
2.77,9.619,-0.013,0.3791,0.0132
2.775,9.618,-0.018,0.3812,0.0131
2.78,9.62,-0.021,0.3819,0.0178
2.785,9.621,-0.027,0.3804,0.0215
2.79,9.621,-0.036,0.3794,0.0273
2.795,9.616,-0.041,0.379,0.0357
2.8,9.618,-0.039,0.3837,0.0408
2.805,9.62,-0.04,0.3821,0.0387
2.81,9.619,-0.037,0.3805,0.0401
2.815,9.62,-0.034,0.3808,0.037
2.82,9.623,-0.028,0.3801,0.0342
2.825,9.628,-0.028,0.3767,0.0282
2.83,9.633,-0.023,0.3723,0.028
2.835,9.636,-0.028,0.3671,0.0232
2.84,9.635,-0.026,0.3641,0.0279
2.845,9.633,-0.023,0.3648,0.026
2.85,9.631,-0.019,0.3669,0.0229
2.855,9.627,-0.023,0.3688,0.0193
2.86,9.624,-0.026,0.3728,0.0232
2.865,9.626,-0.024,0.3764,0.0261
2.87,9.627,-0.023,0.3742,0.024
2.875,9.624,-0.031,0.3732,0.0231
2.88,9.623,-0.034,0.3763,0.0308
2.885,9.62,-0.031,0.3766,0.0337
2.89,9.619,-0.026,0.3797,0.0305
2.895,9.616,-0.033,0.3813,0.0256
2.9,9.616,-0.029,0.384,0.0332
2.905,9.612,-0.029,0.3842,0.0289
2.91,9.612,-0.028,0.3884,0.029
2.915,9.613,-0.032,0.3876,0.0279
2.92,9.615,-0.029,0.3875,0.0318
2.925,9.614,-0.03,0.3855,0.0293
2.93,9.614,-0.022,0.3861,0.0301
2.935,9.613,-0.02,0.3857,0.0217
2.94,9.613,-0.019,0.3865,0.0204
2.945,9.614,-0.012,0.3869,0.0193
2.95,9.611,-0.014,0.3864,0.0125
2.955,9.613,-0.008,0.3891,0.0138
2.96,9.619,-0.007,0.3865,0.0075
2.965,9.622,-0.015,0.3814,0.0067
