run,cmd_idx,command,cmd_type,z_before_m,z_after_m,increment_m,target_m,target_source,asked_clarify,correct,api_calls,tokens
10,1,go to 2 metres,explicit,0.997,1.998,1.001,2.0,set_altitude_target,0,1,9,21610
10,2,climb to 2m,paraphrase,1.998,2.001,0.003,2.0,set_altitude_target,0,1,5,11371
10,3,go higher,relative_no_num,2.001,2.403,0.402,2.4,set_altitude_target,0,1,4,9204
10,4,go up a bit,vague_relative,2.403,2.399,-0.004,2.4,set_altitude_target,0,0,4,9344
10,5,ascend slowly to a safe height,abstract,2.399,2.403,0.004,2.4,set_altitude_target,0,0,5,11929
10,6,I want it higher,indirect,2.403,2.4,-0.003,2.4,set_altitude_target,0,0,2,4709
11,1,go to 2 metres,explicit,0.997,1.999,1.002,2.0,set_altitude_target,0,1,9,21615
11,2,climb to 2m,paraphrase,1.999,2.006,0.007,2.0,set_altitude_target,0,1,5,11385
11,3,go higher,relative_no_num,2.006,2.402,0.396,2.4,set_altitude_target,0,1,4,9370
11,4,go up a bit,vague_relative,2.402,2.402,0.0,2.4,set_altitude_target,0,0,3,6978
11,5,ascend slowly to a safe height,abstract,2.402,2.399,-0.003,2.4,set_altitude_target,0,0,2,4658
11,6,I want it higher,indirect,2.399,2.4,0.001,2.4,set_altitude_target,0,0,2,4725
12,1,go to 2 metres,explicit,0.993,2.007,1.014,2.0,set_altitude_target,0,1,10,24267
12,2,climb to 2m,paraphrase,2.007,2.002,-0.005,2.0,set_altitude_target,0,1,6,14071
12,3,go higher,relative_no_num,2.002,2.401,0.399,2.4,set_altitude_target,0,1,4,9148
12,4,go up a bit,vague_relative,2.401,2.4,-0.001,2.4,set_altitude_target,0,0,3,6887
12,5,ascend slowly to a safe height,abstract,2.4,-0.331,-2.731,2.4,set_altitude_target,0,0,10,24468
12,6,I want it higher,indirect,-0.331,1.178,1.509,2.4,set_altitude_target,0,1,10,28117
13,1,go to 2 metres,explicit,0.993,-36.03,-37.023,2.0,set_altitude_target,0,1,10,24152
13,2,climb to 2m,paraphrase,-36.03,-13.195,22.835,2.0,set_altitude_target,0,1,8,18995
13,3,go higher,relative_no_num,-13.195,-1.399,11.796,2.0,set_altitude_target,0,0,3,6777
13,4,go up a bit,vague_relative,-1.399,1.5,2.899,1.5,set_altitude_target,0,0,9,32780
13,5,ascend slowly to a safe height,abstract,1.5,2.0,0.5,2.0,set_altitude_target,0,1,9,22588
13,6,I want it higher,indirect,2.0,2.401,0.401,2.4,set_altitude_target,0,1,4,9954
14,1,go to 2 metres,explicit,1.001,1.998,0.997,2.0,set_altitude_target,0,1,9,21615
14,2,climb to 2m,paraphrase,1.998,2.001,0.003,2.0,set_altitude_target,0,1,5,11385
14,3,go higher,relative_no_num,2.001,2.402,0.401,2.4,set_altitude_target,0,1,10,25456
14,4,go up a bit,vague_relative,2.402,2.407,0.005,2.4,set_altitude_target,0,0,5,12491
14,5,ascend slowly to a safe height,abstract,2.407,2.414,0.007,2.4,set_altitude_target,0,0,5,12753
14,6,I want it higher,indirect,2.414,2.399,-0.015,2.4,set_altitude_target,0,0,3,7772
15,1,go to 2 metres,explicit,1.003,2.0,0.997,2.0,set_altitude_target,0,1,9,21615
15,2,climb to 2m,paraphrase,2.0,1.998,-0.002,2.0,set_altitude_target,0,1,5,11720
15,3,go higher,relative_no_num,1.998,2.404,0.406,2.4,set_altitude_target,0,1,8,19716
15,4,go up a bit,vague_relative,2.404,2.401,-0.003,2.4,set_altitude_target,0,0,2,4564
15,5,ascend slowly to a safe height,abstract,2.401,2.401,0.0,2.4,set_altitude_target,0,0,2,4645
15,6,I want it higher,indirect,2.401,2.401,0.0,2.4,text_inference,0,0,1,2335
